target,text,stance,word_count,sentence_count,avg_word_length,std_word_length,type_token_ratio,hapax_legomena,stopword_ratio,punctuation_density,noun_ratio,verb_ratio,adj_ratio,adv_ratio,pronoun_ratio,avg_dependency_depth,function_word_ratio,punctuation_usage,readability_score,sentence_length_variation,subordinate_clause_ratio,sentiment_polarity,sentiment_subjectivity,anger,joy,fear,sadness,disgust,surprise,certainty_adverbs_count,certainty_verbs_count,certainty_adjectives_count,doubt_adverbs_count,doubt_verbs_count,doubt_adjectives_count,hedges_score,hedge_C_count,hedge_D_count,hedge_E_count,hedge_I_count,hedge_N_count,C_ratio,D_ratio,E_ratio,I_ratio,N_ratio
Donald Trump,She is my new hero! Yes! @NewYorkStateAG She is going ti get #Trump,0,17.0,3.0,3.235294117647059,2.961108929094875,0.8235294117647058,0.6470588235294118,0.29411764705882354,0.23529411764705882,0.17647058823529413,0.23529411764705882,0.17647058823529413,0.0,0.17647058823529413,1.0,0.375,0.11764705882352941,1.1,2.494438257849294,0.058823529411764705,0.2130681818181818,0.45454545454545453,0.05636321008205414,0.06771714240312576,0.7819792628288269,0.020314907655119896,0.0008527269237674773,0.042849987745285034,1.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Donald Trump,"ALERT! The Russians are coming! The #Russians are coming! Nope, they're already here, courtesy of @realDonaldTrump @SpeakerRyan @SenMajLdr and the @GOP. #GOPRussia",1,35.0,5.0,4.057142857142857,3.405397876001797,0.6857142857142857,0.45714285714285713,0.2571428571428571,0.37142857142857144,0.34285714285714286,0.14285714285714285,0.0,0.05714285714285714,0.02857142857142857,1.0,0.3548387096774194,0.11428571428571428,7.3,4.029888335921977,0.0,0.0,0.0,0.015446489676833153,0.002698426367715001,0.9639037847518921,0.003649636171758175,0.00028540490893647075,0.007059095427393913,0.0,0.0,0.0,0.0,0.0,1.0,0.0,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Donald Trump,Im SO GLAD #StormyDaniels is suing DT for defamation. Its about time someone holds him accountable for his damaging BS Tweets! #DemForce #Trump,0,28.0,3.0,4.321428571428571,3.174154234129277,0.8928571428571429,0.8214285714285714,0.2857142857142857,0.17857142857142858,0.4642857142857143,0.10714285714285714,0.03571428571428571,0.0,0.10714285714285714,1.0,0.3448275862068966,0.07142857142857142,5.4,4.189935029992179,0.07142857142857142,0.625,1.0,0.32776328921318054,0.012212702073156834,0.01830669306218624,0.636141836643219,0.0009933740366250277,0.002628216054290533,0.0,1.0,1.0,1.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Donald Trump,"Sure can! #Trump Republican &amp; Democrat patriots unite! Proud to say My Twitter-feed is full of bipartisans who don't always agree, but who share a common vision for national security, constitutional freedoms, and rule of law.",0,46.0,3.0,4.217391304347826,3.189064490589956,0.8913043478260869,0.8043478260869565,0.2826086956521739,0.2391304347826087,0.30434782608695654,0.10869565217391304,0.13043478260869565,0.043478260869565216,0.0,1.0,0.3541666666666667,0.06521739130434782,11.5,11.430952132988164,0.06521739130434782,0.40781249999999997,0.7347222222222223,0.0493948869407177,0.7900069952011108,0.11583425849676132,0.014931915327906609,0.0007152145262807608,0.01650392636656761,1.0,2.0,1.0,0.0,0.0,1.0,0.0,36.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Donald Trump,I am a #Trump Never voted for him. Dont know any others that did. means NEVER EVER!,0,21.0,3.0,3.1904761904761907,1.6509462688914018,0.9523809523809523,0.9047619047619048,0.38095238095238093,0.19047619047619047,0.2857142857142857,0.19047619047619047,0.047619047619047616,0.0,0.09523809523809523,1.0,0.5909090909090909,0.14285714285714285,2.0,2.0548046676563256,0.09523809523809523,0.0,0.0,0.2585940361022949,0.007333606015890837,0.5873138308525085,0.041128166019916534,0.002806462347507477,0.046168092638254166,0.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Donald Trump,Im just curious if anyone knows who sponsored former SECNAV Spencers nomination? Appears to be another #Trump guy. No other pro-Trump Navy Vets available?,1,28.0,3.0,4.678571428571429,2.765263762007051,0.9642857142857143,0.9285714285714286,0.25,0.17857142857142858,0.32142857142857145,0.10714285714285714,0.17857142857142858,0.03571428571428571,0.0,1.0,0.3548387096774194,0.10714285714285714,6.4,2.8284271247461903,0.14285714285714285,0.09062500000000001,0.44375,0.019172117114067078,0.008818277157843113,0.09000586718320847,0.01613554358482361,0.0024116854183375835,0.6473107933998108,1.0,1.0,1.0,0.0,0.0,0.0,0.9686650037765503,23.0,0.0,0.0,1.0,0.0,0.9583333333333334,0.0,0.0,0.041666666666666664,0.0
Donald Trump,"Thank YOU @RVAT2020 I am SORRY your party sold their soul to hate, FEAR, GREED and the Anti-CHRIST himself @realDonaldTrump!",0,25.0,1.0,4.2,3.2496153618543846,0.92,0.84,0.36,0.24,0.4,0.16,0.04,0.0,0.16,1.0,0.36,0.04,8.7,0.0,0.16,-0.75,0.95,0.3145298361778259,0.012252671644091606,0.5216400623321533,0.14247721433639526,0.0014186009066179395,0.004974031820893288,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Donald Trump,I agree. I have a few clients that are physicians and Im always being challenged (which I love) on my decisions. They rely on data and facts. #Trump,1,34.0,4.0,3.5588235294117645,2.5343658734726597,0.8235294117647058,0.7058823529411765,0.47058823529411764,0.17647058823529413,0.20588235294117646,0.20588235294117646,0.029411764705882353,0.029411764705882353,0.14705882352941177,1.0,0.5142857142857142,0.08823529411764706,5.2,7.176350047203662,0.029411764705882353,0.15,0.35,0.15497568249702454,0.007902868092060089,0.8211979866027832,0.0047671119682490826,0.0008827143465168774,0.006343919318169355,1.0,3.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Donald Trump,What if it isn't. And in fact is sealing his legacy in the History books for the greatest takeover's of a corrupt government. This will not hurt Trump. Everything they've tried has failed. This will too. #LockThemAllUp,1,46.0,6.0,3.9565217391304346,2.6699334117989637,0.8043478260869565,0.6739130434782609,0.4782608695652174,0.1956521739130435,0.17391304347826086,0.1956521739130435,0.043478260869565216,0.06521739130434782,0.06521739130434782,1.0,0.5652173913043478,0.10869565217391304,3.8,5.899623340142619,0.021739130434782608,0.0,0.7666666666666666,0.6378771662712097,0.001429232070222497,0.3441754877567291,0.00876044575124979,0.0024112865794450045,0.002032957039773464,1.0,1.0,2.0,0.0,0.0,0.0,0.9665358066558838,35.0,0.0,0.0,0.0,2.0,0.9459459459459459,0.0,0.0,0.0,0.05405405405405406
Donald Trump,SCOTUS: Ending DACA is unconstitutional. Trump: There must be another way. #GOP #SCOTUS #DACADecision,1,21.0,3.0,4.190476190476191,3.7999880653828577,0.7619047619047619,0.5714285714285714,0.14285714285714285,0.3333333333333333,0.38095238095238093,0.09523809523809523,0.047619047619047616,0.0,0.0,1.0,0.23809523809523808,0.09523809523809523,9.8,1.247219128924647,0.09523809523809523,0.0,0.0,0.05025428906083107,0.006491035223007202,0.925778329372406,0.009329164400696754,0.0007163584814406931,0.00280524673871696,1.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
