feature,shap_importance,iteration,stance,model
avg_word_length,0.7835028809606159,1,NONE,Logistic Regression
function_word_ratio,0.6737283707725484,1,NONE,Logistic Regression
type_token_ratio,0.5152067697618126,1,NONE,Logistic Regression
noun_ratio,0.44617909054335586,1,NONE,Logistic Regression
std_word_length,0.34452889217679156,1,NONE,Logistic Regression
fear,0.33612874109032453,1,NONE,Logistic Regression
hapax_legomena,0.31935591199942076,1,NONE,Logistic Regression
adj_ratio,0.3127280139396335,1,NONE,Logistic Regression
C_ratio,0.266298797644903,1,NONE,Logistic Regression
certainty_adjectives_count,0.2617625726020934,1,NONE,Logistic Regression
N_ratio,0.25262289015395023,1,NONE,Logistic Regression
certainty_verbs_count,0.2474072693875513,1,NONE,Logistic Regression
sentiment_subjectivity,0.22852464137562695,1,NONE,Logistic Regression
joy,0.20858841805386302,1,NONE,Logistic Regression
punctuation_density,0.19797672531267121,1,NONE,Logistic Regression
anger,0.18055679106234535,1,NONE,Logistic Regression
hedge_N_count,0.1767800654063993,1,NONE,Logistic Regression
stopword_ratio,0.16646448362390845,1,NONE,Logistic Regression
sentence_count,0.1475270027769814,1,NONE,Logistic Regression
word_count,0.14417371364949408,1,NONE,Logistic Regression
hedge_C_count,0.11946351220553536,1,NONE,Logistic Regression
doubt_adjectives_count,0.11817378024577081,1,NONE,Logistic Regression
verb_ratio,0.09470498159225918,1,NONE,Logistic Regression
sadness,0.07443043932286904,1,NONE,Logistic Regression
adv_ratio,0.07408488475824006,1,NONE,Logistic Regression
punctuation_usage,0.07288188604300681,1,NONE,Logistic Regression
readability_score,0.07135014511312421,1,NONE,Logistic Regression
sentence_length_variation,0.07082081765961741,1,NONE,Logistic Regression
certainty_adverbs_count,0.07010133059681223,1,NONE,Logistic Regression
hedges_score,0.06547699516523979,1,NONE,Logistic Regression
subordinate_clause_ratio,0.05250709761657268,1,NONE,Logistic Regression
doubt_adverbs_count,0.04682608183210409,1,NONE,Logistic Regression
pronoun_ratio,0.03892934073526392,1,NONE,Logistic Regression
surprise,0.03822864669705357,1,NONE,Logistic Regression
disgust,0.03821741206325376,1,NONE,Logistic Regression
E_ratio,0.03305497554275997,1,NONE,Logistic Regression
doubt_verbs_count,0.030536206148387795,1,NONE,Logistic Regression
hedge_E_count,0.027163731604553366,1,NONE,Logistic Regression
I_ratio,0.02714892303143954,1,NONE,Logistic Regression
hedge_D_count,0.024749463315274875,1,NONE,Logistic Regression
D_ratio,0.022710231910707267,1,NONE,Logistic Regression
hedge_I_count,0.010897578700981687,1,NONE,Logistic Regression
sentiment_polarity,0.006463644062763432,1,NONE,Logistic Regression
avg_dependency_depth,0.0,1,NONE,Logistic Regression
