target,text,stance,word_count,sentence_count,avg_word_length,std_word_length,type_token_ratio,hapax_legomena,stopword_ratio,punctuation_density,noun_ratio,verb_ratio,adj_ratio,adv_ratio,pronoun_ratio,avg_dependency_depth,function_word_ratio,punctuation_usage,readability_score,sentence_length_variation,subordinate_clause_ratio,sentiment_polarity,sentiment_subjectivity,anger,joy,fear,sadness,disgust,surprise,certainty_adverbs_count,certainty_verbs_count,certainty_adjectives_count,doubt_adverbs_count,doubt_verbs_count,doubt_adjectives_count,hedges_score,hedge_C_count,hedge_D_count,hedge_E_count,hedge_I_count,hedge_N_count,C_ratio,D_ratio,E_ratio,I_ratio,N_ratio
Bernie Sanders,"#IEndorseBernie for tons of reasons, but this one is my number 1. We are running out of time to save our planet from the worst of climate change. We NEED Bernies #GreenNewDeal. #Bernie @Lafayette, Indiana",1,44.0,4.0,3.8636363636363638,2.935603616812277,0.8181818181818182,0.7045454545454546,0.36363636363636365,0.20454545454545456,0.3181818181818182,0.11363636363636363,0.022727272727272728,0.0,0.09090909090909091,1.0,0.3953488372093023,0.06818181818181818,3.2,5.448623679425842,0.022727272727272728,-1.0,1.0,0.244220569729805,0.02219238691031933,0.680942177772522,0.03901908919215202,0.001381978509016335,0.007760137319564819,0.0,1.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Bernie Sanders,So proud how @BernieSanders is shedding light on who is truly a progressive and pushing the party back to left out of center. #DemDebate2020,1,27.0,2.0,4.333333333333333,3.366501646120693,0.9629629629629629,0.9259259259259259,0.4444444444444444,0.1111111111111111,0.14814814814814814,0.18518518518518517,0.1111111111111111,0.1111111111111111,0.0,1.0,0.5,0.037037037037037035,9.1,11.0,0.07407407407407407,0.22000000000000003,0.36,0.08631069213151932,0.1604653000831604,0.6796262264251709,0.018388986587524414,0.0014179403660818934,0.03367263078689575,1.0,0.0,1.0,1.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Bernie Sanders,"According to media bias fact checker, you have high ratings for factual reporting. Why are you sacrificing your reputation to spread this nonsense? #Bernie Has Been Trending For Hours. Twitter is feeling the bern !",1,40.0,4.0,4.5,2.6739483914241875,0.925,0.85,0.375,0.15,0.35,0.175,0.075,0.0,0.075,1.0,0.375,0.1,6.6,2.947456530637899,0.0,0.2,0.54,0.5961093306541443,0.007147014141082764,0.2908870577812195,0.03495849296450615,0.0014487321022897959,0.06274021416902542,1.0,1.0,1.0,1.0,0.0,1.0,0.0,35.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Bernie Sanders,".@StephenAtHome has been beholden 2 the Clintons from the moment they donated 2 his Sister's Campaign in 2013 - His Sister, Elizabeth Colbert Busch, having married in2 the Busch Family worth 13.4 BILLION Dollars. Colbert is now a 1%er by Proxy #NoMiddleGround #Bernie",1,53.0,3.0,4.245283018867925,3.0025502391747327,0.8301886792452831,0.6792452830188679,0.2830188679245283,0.20754716981132076,0.3584905660377358,0.1320754716981132,0.018867924528301886,0.018867924528301886,0.05660377358490566,1.0,0.30612244897959184,0.05660377358490566,8.8,14.055445761538678,0.03773584905660377,0.275,0.175,0.31593000888824463,0.08732271939516068,0.4868364632129669,0.07696540653705597,0.0020557097159326077,0.021337561309337616,0.0,0.0,1.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Bernie Sanders,#Bernie is the most progressive candidate. If people werent so ageist and read a damn book theyd learn a little. #MedicareForAll,1,25.0,3.0,4.32,3.233821269025238,0.88,0.76,0.32,0.16,0.24,0.16,0.16,0.08,0.0,1.0,0.37037037037037035,0.08,5.0,5.354126134736337,0.08,0.15625,0.5,0.39969655871391296,0.05941992998123169,0.4317503869533539,0.03189398720860481,0.0015579028986394405,0.06066002696752548,0.0,0.0,0.0,2.0,0.0,1.0,0.9686445593833923,20.0,0.0,0.0,0.0,1.0,0.9523809523809523,0.0,0.0,0.0,0.047619047619047616
Bernie Sanders,A solemn moment in which @BernieSanders agrees with citizen that no other issues matter if we don't have a habitable planet.,1,24.0,1.0,4.333333333333333,2.852873794770615,1.0,1.0,0.5,0.125,0.25,0.16666666666666666,0.125,0.041666666666666664,0.041666666666666664,1.0,0.5652173913043478,0.041666666666666664,9.1,0.0,0.16666666666666666,0.0625,0.375,0.002146091079339385,0.9267622828483582,0.00720820389688015,0.048940908163785934,0.0019178669899702072,0.004273001104593277,0.0,0.0,0.0,0.0,1.0,0.0,0.9510438442230225,20.0,0.0,0.0,0.0,1.0,0.9523809523809523,0.0,0.0,0.0,0.047619047619047616
Bernie Sanders,"Thats vague. #Facts dont require belief, its not a religion. Who are these other candidates? Id love to know as a #voter. He are #Bernie proposals: Hes fought for this consistently way before 2016 &amp; voted accordingly, unlike anyone else running.",1,54.0,5.0,3.8703703703703702,2.7151583835958766,0.8518518518518519,0.7592592592592593,0.2777777777777778,0.24074074074074073,0.25925925925925924,0.12962962962962962,0.05555555555555555,0.05555555555555555,0.037037037037037035,1.0,0.3620689655172414,0.09259259259259259,6.1,5.775811631277461,0.018518518518518517,0.03125,0.43125,0.3814825415611267,0.008091266267001629,0.592753529548645,0.009542969986796379,0.0007981517701409757,0.0031154160387814045,1.0,2.0,1.0,1.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Bernie Sanders,"The ""minivan"" app is extremely useful for canvassing. It walks you through the whole process. Anyone who hasn't canvassed, I encourage you to do so. It's fun, it's fulfilling, and it's how we are going to win! #PeoplePower #Bernie",1,54.0,5.0,3.5925925925925926,2.6978627928110095,0.7962962962962963,0.6481481481481481,0.4074074074074074,0.2777777777777778,0.12962962962962962,0.24074074074074073,0.05555555555555555,0.05555555555555555,0.14814814814814814,1.0,0.5185185185185185,0.07407407407407407,4.8,3.370459909270543,0.05555555555555555,0.45,0.25,0.019630195572972298,0.94635009765625,0.02243412844836712,0.0025562820956110954,0.001104681403376162,0.004720538388937712,0.0,0.0,1.0,1.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Bernie Sanders,"COVID-19 shows the inequalities of our new Gilded Age in healthcare, employment #Coronavirus #COVID19 #Bernie",1,19.0,1.0,5.0,3.612842589838003,0.8947368421052632,0.8421052631578947,0.21052631578947367,0.2631578947368421,0.42105263157894735,0.10526315789473684,0.05263157894736842,0.0,0.05263157894736842,1.0,0.21052631578947367,0.0,9.1,0.0,0.0,0.13636363636363635,0.45454545454545453,0.020593222230672836,0.005764016881585121,0.9676217436790466,0.0034895744174718857,0.0008093039505183697,0.001072683371603489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Bernie Sanders,"I love everyone in this movement. So proud to fight another day in the Twitter trenches for compassion, love, and common sense with you all. #BigUs #BernieSanders #NotMeUs #Receipts To the rest of you, what has your candidate been saying for 30 years?",1,53.0,3.0,3.943396226415094,2.687603227255759,0.7924528301886793,0.6415094339622641,0.39622641509433965,0.18867924528301888,0.2830188679245283,0.09433962264150944,0.03773584905660377,0.018867924528301886,0.07547169811320754,1.0,0.4339622641509434,0.05660377358490566,6.5,5.90668171555645,0.018867924528301886,0.375,0.675,0.16001306474208832,0.47470635175704956,0.310691237449646,0.04345418140292168,0.002705499529838562,0.004152907524257898,0.0,1.0,1.0,1.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
