target,text,stance
Bernie Sanders,"This poll is not reflecting anything: ""age was lightly weighted, thus reflecting the gender and age breakdowns of Iowa Democratic caucusgoers in previous election years."" #BernieSanders will turn out a huge number of young &amp; working class voters. So keep pushing Berners!",0
Bernie Sanders,An example I shared with my 11 y/o daughter to explain walk the talk #Integrity #Bernie,0
Bernie Sanders,"This one here, Can't even understand my bio. How could I expect, Them to comprehend what's going on in the world. Sorry my mistake, I shouldn't be in the kiddie pool. Good Day #Tulsi2020 #Bernie",0
Bernie Sanders,"Yes! We will not back down when the mainstream media attack, smear, mock, denigrate us & our movement! The American people deserve better from our media & our journalists! Period! #BernieSanders",0
Bernie Sanders,"Hey @CNN @wolfblitzer now that we are aware that you guys stacked the Bernie townhall with lobbyists &amp; political insiders, would you care to disclose it next time ? We would also like to see regular people asking the questions if you again have a townhall with Bernie.",0
Bernie Sanders,I've never seen someone be so completely wrong on Twitter at such extreme length. 21 tweets and nothing true in any of them! Congratulations; that must be a new Twitter record. #RunBernieRun #BernieSanders,0
Bernie Sanders,MAGA Left Folks very hostile people have been in my mentions all day... They love the fight... #BernieSanders,0
Bernie Sanders,"He will fight, and he will inspire us to join him, and together we can transform our country. #JusticeForAll #RealLeader #Bernie",0
Bernie Sanders,RT DrDooleyMD: Bernie Bros ? ( ) ( ( ( _(___(___)___(___(__ __ | Stop Erasing WoC| | | who support his | | | policies that directly | | | benefit PoC b/c |_| \ thats racist / \ #NotMeUs /,1
Bernie Sanders,Thank GOD! For a minute I was worried she would endorse #BernieSanders #Bernie,0
Bernie Sanders,Sad that there are so many trolls here tonight. I donated twice last night and will again before deadline. Bernie is Fighting the oligarchs with endless sums of money.,0
Bernie Sanders,"Excellent thread that literally summed up all my issues with Warren. I think she's extremely weak, especially in areas the American people would need her support most. Plus she hasn't come out against all the wars like Sanders has. For me, it's #BernieOrGreen.",0
Bernie Sanders,"Just heard a @CNN reporter in Houston #TexasPrimary say that Elizabeth @ewarren 's campaign's main goal is blunting #BernieSanders rise in delegate count &amp; fundraising. Nice, Liz Looks like she's working with the @DNC, Pete and Bloomberg for a #BrokeredConvention #FBR",0
Bernie Sanders,I can't seem to recall Bernie ever telling people who disagree with him to vote for someone else. I think it's because Bernie isn't just fighting for his supporters. He's fighting for everyone and that includes those who disagree with him.,0
Bernie Sanders,Due to all of this confusion caused by Coronavirus I was able to vote for Bernie nearly 50 times before getting tired and deciding to take a quick lunch break. I plan on going back and voting many more times before my polling place closes. I suggest you all try it!,0
Bernie Sanders,Lets see if the #BernieSanders put their money where their mouths are. There are now two candidates with better track records and more commitment to their causes than @BernieSanders,0
Bernie Sanders,"I respect you & your work Shaun, but please stop sinking to low places. Support your candidate, but please stop vilifying another viable candidate. Youre acting like #BernieSanders which is not only unbecoming, but its making me rethink my overall respect for you as an activist.",0
Bernie Sanders,"Right factory full of workers shouting down the 2A gun but here is another obtuse #Bernie GIF. Enjoy your loss, it's over already!",0
Bernie Sanders,I feel like some of the #Bernie are so far out in the left they actually wrap around and touch hands with extreme MAGAs.,1
Bernie Sanders,"i have been telling you the same thing since 2016 - we don't go to rallies, we're busy working - we don't ask for free anything, we pay our bills - we don't go around the web bullying people - we. do. not. forget. #Bernie",0
Bernie Sanders,"Sanders has great ideas but Americans just don't want nor can they afford to pay higher taxes. Especially now. Change takes being collaborative, not being combative",0
Bernie Sanders,Most Likely......Its over for #Bernie He needs to drop out. From here on him and his followers will just amp up extorting the election and thats why Im,1
Bernie Sanders,"You need a mirror. You think you have vetted your sources of information more intensely than others have. If any of your information is coming from cable news, you are being lied to and led by the nose. #BernieSanders",0
Bernie Sanders,"And they question why #BernieSanders isnt winning. Let me give them the answer - Brianna Joy Gray, Nina Turner, Shaun King Rashida Tlaib etc. Go figure. Its OVER!",0
Bernie Sanders,Jajaja. I'll have a bowl of what Bernie is smoking por favor,0
Bernie Sanders,Calling it a movement is giving it more credit that it deserves. It is more akin to a cult. No other way to describe it. Let's stop pussyfooting around this. #PrimaryWarren #BernieSanders #BernieBruh #BernieBruhs,0
Bernie Sanders,"Matthews to Dems: Tell Bernie He's 'Full of It,' Could Lose 49 States! #BernieSanders #ChrisMatthews #Democraticprimary @BernieSanders @DeadlineWH",0
Bernie Sanders,"If you're young, you don't need medicare. I'll take $1,000 a month for life over free college any day. Simple MATH. #berniesanders #AndrewYang",0
Bernie Sanders,Would sexist pig #Bernie still be able to talk if he wasn't allowed to move his arms at all? #DemDebate #DemocraticDebate,1
Bernie Sanders,"#BERNIE OPPO: THE TRUTH I keep trying to put this to rest, so here are the facts again: As a staunch Hillary advocate and Bernie critic in 2016 I was privy to the #Bernie oppo book. I also did my own extensive research. By now, NOTHING I saw isn't already in the public record.",0
Bernie Sanders,Omg I might have to stop looking at Twitter until after the election. Bernie's supporters are brutal. #Election2020,0
Bernie Sanders,I agree #Bernie time has come and gone. He needs to ride off into the sunset with the previous presidential aspirants.,0
Bernie Sanders,"#BernieSanders has proven over and over again, he is self promoting opportunist with shallow grasp of details. Everything about him is slogan.",0
Bernie Sanders,"They don't let go of the Russian thing. Big supporter of #Russia #BernieSanders admired Russia so much he honeymooned there in 1988. Now, he doesn't want their support? LOL!",1
Bernie Sanders,"Healthcare companies have to compete for business and market share. A socialist government steals all of its revenue at the point of a gun. Its not private firms who are greedy and coercive, its Bernie Sanders and his sociopath ilk.",0
Bernie Sanders,"As much as the Democratic Party concerns me, I am aware that US President has to lead both nation and party, and you cant do that by bullying everyone who disagrees with you. #BernieSanders platform is progressive, but the culture the campaign is creating is not. #DoBetterBernie",0
Bernie Sanders,"#Breaking Bernie #Sanders won #Utah, his 3rd victory of Super Tuesday. He also carried the state in 2016. @nytimes #Diplomacy140",0
Bernie Sanders,"Old Mother Hunbard Went to the cupboard To get her poor dog a bone, But when she got there, The cupboard was bare. And so the poor dog had none. Moral Don't be the dog that, let's Mother Hubbard run the country. #Socialism #BernieSanders the Left. What's Right us Right. #KAG",1
Bernie Sanders,Not a fan of #BernieSanders but I can see when the deck is stacked against someone. Via @Timcast,0
Bernie Sanders,What @BernieSanders says (left) versus how things are described by @melbournecoal &amp; the editors at the @nytimes (right). Its almost like theyre not engaged in honest reporting!,0
Bernie Sanders,"Rather than go jugular , how about spending that effort to getting #Bernies supporters to go from #rallies to ACTUAL #VOTINGBOOTHS",0
Bernie Sanders,Bernie won Michigan by a 0.5% difference mainly by claiming he was going to work on helping Flint. In the last 3 years as a US senator hes done nothing for Flint. So thanks for admitting he barely won MI by lying to MI. They have since rejected his candidate choice for governor,0
Bernie Sanders,"I think its interesting that #BernieSanders lumped #Buttigieg into the category of Washington Establishment (even tho the closest he got to DC was South Bend), and then runs adds showing his association w/Obama. Whos the Establishment again?",0
Bernie Sanders,Do @VTdems actually support @BernieSanders Medicare for all plan? Wish Vermonters would open their eyes and start seeing Bernie for the economically irresponsible scam artist he really is. #vtpoli,0
Bernie Sanders,"Prisoners have (ostensible) right to not be beaten, raped, tortured, etc. Arguing that prisoners have given up their rights entirely while incarcerated is distortionary. Canada & others allow #prisoners to #vote, with positive effects. Isn't #rehabilitation ultimate goal? #Bernie",0
Bernie Sanders,I followed @shaunking just so I can laugh at his stupid misinformed tweets. I look forward to his full meltdown mode tweets when #BernieSanders eventually has to drop out.,0
Bernie Sanders,".@BarackObama in 16: I am hurt, though, Bernie, that you're distancing yourself a little from me. I mean, that's just not something that you do to your comrade. They all laughed, because we all know its true. #NotMeUSSR #BernieSanders",1
Bernie Sanders,this baghdad barbie sanders tweet is as true today as it was 18 months ago. #POTUS45 #losing,0
