feature,Logistic Regression,XGBoost,correct_mean_std,incorrect_mean_std
C_ratio,-0.07144016973178575,0.03487670421600342,0.991 ± 0.0247,0.9915 ± 0.0221
D_ratio*,-0.12853175822991691,0.015768790617585182,0.0055 ± 0.0202,0.0019 ± 0.0095
E_ratio,0.04625566309978014,0.0,0.0031 ± 0.0149,0.0033 ± 0.0132
I_ratio,0.0,0.0,0.0 ± 0.0,0.0 ± 0.0
N_ratio*,0.2817750711046371,0.0,0.0004 ± 0.0044,0.0033 ± 0.0147
adj_ratio*,-0.4464112697612794,0.0313778892159462,0.0436 ± 0.0466,0.0607 ± 0.0478
adv_ratio*,-0.1562148111249681,0.015521753579378128,0.0134 ± 0.0282,0.0292 ± 0.0365
anger*,-0.6229361772339521,0.03005889430642128,0.0479 ± 0.1091,0.1271 ± 0.2332
avg_dependency_depth,0.0,0.0,1.0 ± 0.0,1.0 ± 0.0
avg_word_length*,0.1477101347688496,0.024234827607870102,5.0977 ± 0.8693,4.6443 ± 0.8124
certainty_adjectives_count*,-0.10144567651591974,0.0,0.084 ± 0.3291,0.2746 ± 0.5023
certainty_adverbs_count*,-1.0899403117692972,0.0,0.0 ± 0.0,0.1347 ± 0.3715
certainty_verbs_count*,-0.870186934167821,0.04921429604291916,0.0229 ± 0.1502,0.3212 ± 0.6538
disgust,-0.23101419451257468,0.017867935821413994,0.0034 ± 0.0181,0.0182 ± 0.098
doubt_adjectives_count*,-0.1448811902713622,0.0,0.0534 ± 0.2258,0.1606 ± 0.4084
doubt_adverbs_count*,-0.8969770510083834,0.037671469151973724,0.0611 ± 0.2404,0.3679 ± 0.6804
doubt_verbs_count,-0.07807496779962736,0.0,0.0 ± 0.0,0.0155 ± 0.124
fear*,0.011251915671528964,0.02944202348589897,0.2002 ± 0.3129,0.3401 ± 0.3807
function_word_ratio*,-0.4885285260377755,0.029762212187051773,0.1844 ± 0.0994,0.3074 ± 0.1308
hapax_legomena,-0.7502277877186797,0.0284605510532856,0.8503 ± 0.1245,0.8263 ± 0.1275
hedge_C_count*,0.7424805284031383,0.009459078311920166,14.229 ± 4.2887,20.1969 ± 9.1903
hedge_D_count,0.7933306345551326,0.0,0.0763 ± 0.2666,0.0415 ± 0.1998
hedge_E_count,0.0004902010370067286,0.0,0.0458 ± 0.2099,0.0725 ± 0.2794
hedge_I_count,0.0,0.0,0.0 ± 0.0,0.0 ± 0.0
hedge_N_count*,-0.03602717449693548,0.0,0.0076 ± 0.0874,0.0881 ± 0.4051
hedges_score,0.007955611967721201,0.021573681384325027,0.1148 ± 0.3089,0.1698 ± 0.3583
joy*,0.1602888386806714,0.055467233061790466,0.2083 ± 0.1947,0.1112 ± 0.1993
noun_ratio*,-1.0799004412975657,0.033237338066101074,0.4901 ± 0.1302,0.4052 ± 0.1433
pronoun_ratio*,-0.6609786184815147,0.013670976273715496,0.0062 ± 0.0179,0.0297 ± 0.0373
punctuation_density*,0.17476285868097902,0.04527020826935768,0.4747 ± 0.14,0.3419 ± 0.1662
punctuation_usage,0.052754238868183964,0.02772984467446804,0.0911 ± 0.0592,0.0851 ± 0.0591
readability_score*,-0.155070981344529,0.020135072991251945,10.6527 ± 3.8645,9.5627 ± 3.99
sadness,-0.15283755266625507,0.021052256226539612,0.0603 ± 0.1123,0.0821 ± 0.1702
sentence_count*,-0.5121915945447019,0.043947793543338776,1.2214 ± 0.485,1.8653 ± 1.0957
sentence_length_variation*,-0.11765674277283447,0.009654114954173565,0.7284 ± 1.8254,2.7655 ± 3.8857
sentiment_polarity,0.016512318351174136,0.022191423922777176,0.0609 ± 0.2028,0.065 ± 0.2426
sentiment_subjectivity*,0.011985295394760084,0.023756442591547966,0.162 ± 0.2711,0.3226 ± 0.2965
std_word_length*,-0.3140226533356998,0.04166116192936897,3.9885 ± 0.6496,3.5676 ± 0.8992
stopword_ratio*,-0.9024112272841188,0.146952822804451,0.1429 ± 0.081,0.2479 ± 0.1104
subordinate_clause_ratio*,-0.1329759575302824,0.03648621588945389,0.0278 ± 0.0385,0.0434 ± 0.048
surprise*,-0.018027066938806544,0.015496923588216305,0.2149 ± 0.1745,0.1437 ± 0.1934
type_token_ratio,0.8728812644247349,0.01738298311829567,0.9178 ± 0.0738,0.9025 ± 0.0757
verb_ratio*,0.2117421452805297,0.016051020473241806,0.0924 ± 0.0646,0.116 ± 0.0737
word_count*,-1.0020056042175849,0.034565992653369904,19.4122 ± 5.3189,26.2383 ± 10.8774
