target,text,stance,word_count,sentence_count,avg_word_length,std_word_length,type_token_ratio,hapax_legomena,stopword_ratio,punctuation_density,noun_ratio,verb_ratio,adj_ratio,adv_ratio,pronoun_ratio,avg_dependency_depth,function_word_ratio,punctuation_usage,readability_score,sentence_length_variation,subordinate_clause_ratio,sentiment_polarity,sentiment_subjectivity,anger,joy,fear,sadness,disgust,surprise,certainty_adverbs_count,certainty_verbs_count,certainty_adjectives_count,doubt_adverbs_count,doubt_verbs_count,doubt_adjectives_count,hedges_score,hedge_C_count,hedge_D_count,hedge_E_count,hedge_I_count,hedge_N_count,C_ratio,D_ratio,E_ratio,I_ratio,N_ratio
Legalization of Abortion,Just laid down the law on abortion in my bioethics class. #Catholic #SemST,0,16.0,2.0,3.875,2.496873044429772,0.9375,0.875,0.375,0.1875,0.3125,0.0625,0.0625,0.0625,0.0625,1.0,0.375,0.0625,2.5,4.5,0.0,-0.07777777777777778,0.19444444444444448,0.01282419078052044,0.014758714474737644,0.9577471017837524,0.009079651907086372,0.0005512619973160326,0.003184574656188488,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Legalization of Abortion,@tooprettyclub Are you OK with #GOP males telling you what you can and can't do with your own body? #SemST,1,25.0,2.0,3.48,2.3852882425400916,0.84,0.72,0.48,0.2,0.28,0.12,0.04,0.04,0.16,1.0,0.5833333333333334,0.04,5.2,9.0,0.04,0.55,0.75,0.057868484407663345,0.00862846989184618,0.903393566608429,0.008598027750849724,0.0002845630224328488,0.0155791025608778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Legalization of Abortion,"If you don't want your kid, put it up for adoption. #sorrynotsorry #SemST",0,18.0,2.0,3.388888888888889,2.8701314117976637,0.9444444444444444,0.8888888888888888,0.3888888888888889,0.2777777777777778,0.16666666666666666,0.16666666666666666,0.05555555555555555,0.05555555555555555,0.16666666666666666,1.0,0.5,0.05555555555555555,4.8,4.5,0.1111111111111111,0.0,0.0,0.01567627675831318,0.0012291079619899392,0.013410035520792007,0.959598958492279,0.0015996944857761264,0.0017296236474066973,0.0,2.0,0.0,0.0,0.0,0.0,0.9576516151428223,12.0,0.0,0.0,0.0,1.0,0.9230769230769231,0.0,0.0,0.0,0.07692307692307693
Legalization of Abortion,"@RedAlert -there should be a ""stigma"" to butchering pre-born children - its a horrendous crime against humanity.  #murder #SemST",0,25.0,2.0,4.44,3.0864866758176683,0.92,0.84,0.28,0.36,0.36,0.08,0.08,0.0,0.04,1.0,0.25925925925925924,0.04,10.3,7.5,0.0,0.0,0.0,0.0031046695075929165,0.0013085190439596772,0.991696298122406,0.0029144040308892727,0.0004095604526810348,0.00040638004429638386,0.0,0.0,0.0,1.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Legalization of Abortion,But isn't that the problem then. Not enough faith. #gaystapo #socialism #SemST,2,18.0,3.0,3.7222222222222223,2.445075676073932,0.8333333333333334,0.7222222222222222,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.05555555555555555,0.05555555555555555,0.2222222222222222,0.0,1.0,0.4444444444444444,0.1111111111111111,1.3,1.4142135623730951,0.0,0.0,0.5,0.3054320812225342,0.020199619233608246,0.6246561408042908,0.0447213351726532,0.0010011616395786405,0.002305191708728671,0.0,0.0,1.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Legalization of Abortion,Life is our first and most basic human right. #SemST,0,12.0,2.0,3.5833333333333335,1.4976833963009524,1.0,1.0,0.3333333333333333,0.16666666666666666,0.25,0.08333333333333333,0.3333333333333333,0.0,0.08333333333333333,1.0,0.4166666666666667,0.08333333333333333,2.5,4.0,0.0,0.20714285714285713,0.3188095238095238,0.13148191571235657,0.027376556769013405,0.8029480576515198,0.008856809698045254,0.0029804743826389313,0.005135790444910526,0.0,1.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Legalization of Abortion,Rise & Shine its a new day & you're alive. Thank God 4 another day of precious life. #Christian #Catholic #TeamJesus #SemST,0,29.0,3.0,3.5172413793103448,2.554518507234777,0.7931034482758621,0.6551724137931034,0.13793103448275862,0.3103448275862069,0.3448275862068966,0.034482758620689655,0.13793103448275862,0.0,0.06896551724137931,1.0,0.20689655172413793,0.06896551724137931,2.4,2.494438257849294,0.0,0.14727272727272728,0.39090909090909093,0.030785365030169487,0.32563820481300354,0.5657740831375122,0.05336996912956238,0.0005926064332015812,0.013285852037370205,0.0,1.0,1.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Legalization of Abortion,Lmao my school thinks giving women the right to an abortion is against feminism. They don't know feminism #wtf #SemST,1,24.0,2.0,4.083333333333333,2.2530843057659626,0.9166666666666666,0.8333333333333334,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.20833333333333334,0.041666666666666664,0.041666666666666664,0.08333333333333333,1.0,0.375,0.041666666666666664,4.8,4.0,0.041666666666666664,0.12857142857142856,0.8452380952380952,0.15949155390262604,0.0022419996093958616,0.8264016509056091,0.004028668161481619,0.001712651690468192,0.005348631180822849,0.0,2.0,0.0,0.0,0.0,0.0,0.9436435699462891,19.0,1.0,0.0,0.0,0.0,0.95,0.05,0.0,0.0,0.0
Legalization of Abortion,@AsaSoltan putting abortion in with choices for women just won my heart over. Yaaaaaas! #shahs #SemST,1,21.0,3.0,4.095238095238095,2.5242587201330613,0.9523809523809523,0.9047619047619048,0.3333333333333333,0.23809523809523808,0.2857142857142857,0.09523809523809523,0.09523809523809523,0.047619047619047616,0.047619047619047616,1.0,0.3,0.09523809523809523,4.8,5.436502143433364,0.0,0.0,0.0,0.026384906843304634,0.13305072486400604,0.8016512989997864,0.014918072149157524,0.0006242214585654438,0.020986134186387062,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Legalization of Abortion,Last meeting of the year tonight! 7:00 pm in Case Hall room 334A. Come one come all! Pizza and pop will be provided! #SemST,2,29.0,5.0,3.4482758620689653,1.7924401956368312,0.9310344827586207,0.896551724137931,0.2413793103448276,0.20689655172413793,0.3448275862068966,0.10344827586206896,0.06896551724137931,0.0,0.0,1.0,0.32142857142857145,0.13793103448275862,0.9,2.1354156504062622,0.034482758620689655,0.0,0.06666666666666667,0.021961254999041557,0.19387583434581757,0.04707774892449379,0.03713015466928482,0.000746852601878345,0.5083996057510376,0.0,0.0,1.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
