feature,shap_importance,iteration,stance,model
punctuation_density,0.3278913841636332,6,All_Stances,Logistic Regression
avg_word_length,0.3232142267151829,6,All_Stances,Logistic Regression
fear,0.2884606825287968,6,All_Stances,Logistic Regression
sentence_count,0.25961233769355974,6,All_Stances,Logistic Regression
word_count,0.24836474689235,6,All_Stances,Logistic Regression
verb_ratio,0.22312851529274202,6,All_Stances,Logistic Regression
type_token_ratio,0.22167114118773157,6,All_Stances,Logistic Regression
C_ratio,0.18322872922173217,6,All_Stances,Logistic Regression
hedge_C_count,0.17787879116403152,6,All_Stances,Logistic Regression
anger,0.17571507439332879,6,All_Stances,Logistic Regression
hapax_legomena,0.1406482781768086,6,All_Stances,Logistic Regression
hedge_N_count,0.1303139773006738,6,All_Stances,Logistic Regression
stopword_ratio,0.130275595232089,6,All_Stances,Logistic Regression
noun_ratio,0.1197275540250592,6,All_Stances,Logistic Regression
certainty_adjectives_count,0.11369883569751406,6,All_Stances,Logistic Regression
function_word_ratio,0.10943277375017596,6,All_Stances,Logistic Regression
N_ratio,0.09958278308371314,6,All_Stances,Logistic Regression
doubt_adverbs_count,0.09692955685984661,6,All_Stances,Logistic Regression
punctuation_usage,0.09681449584671546,6,All_Stances,Logistic Regression
std_word_length,0.09369642978484585,6,All_Stances,Logistic Regression
surprise,0.07922777064813266,6,All_Stances,Logistic Regression
joy,0.07474321224001382,6,All_Stances,Logistic Regression
adv_ratio,0.052691362984374934,6,All_Stances,Logistic Regression
D_ratio,0.050791269791592035,6,All_Stances,Logistic Regression
hedge_D_count,0.050484348446153786,6,All_Stances,Logistic Regression
sadness,0.049524335864856134,6,All_Stances,Logistic Regression
readability_score,0.044669990989560364,6,All_Stances,Logistic Regression
sentiment_subjectivity,0.04452236056289296,6,All_Stances,Logistic Regression
adj_ratio,0.04442884220338575,6,All_Stances,Logistic Regression
certainty_verbs_count,0.041180965904208555,6,All_Stances,Logistic Regression
hedge_E_count,0.03222691351333888,6,All_Stances,Logistic Regression
hedges_score,0.032028593313776325,6,All_Stances,Logistic Regression
sentence_length_variation,0.02371681422212581,6,All_Stances,Logistic Regression
doubt_verbs_count,0.022766414553576936,6,All_Stances,Logistic Regression
certainty_adverbs_count,0.022248191051353002,6,All_Stances,Logistic Regression
sentiment_polarity,0.012928695412309166,6,All_Stances,Logistic Regression
doubt_adjectives_count,0.011314817636083533,6,All_Stances,Logistic Regression
subordinate_clause_ratio,0.009089379797695366,6,All_Stances,Logistic Regression
disgust,0.006038162043226177,6,All_Stances,Logistic Regression
pronoun_ratio,0.0013622947653949523,6,All_Stances,Logistic Regression
E_ratio,6.618334069136788e-05,6,All_Stances,Logistic Regression
hedge_I_count,4.212654084929838e-18,6,All_Stances,Logistic Regression
I_ratio,3.2218020706584048e-18,6,All_Stances,Logistic Regression
avg_dependency_depth,0.0,6,All_Stances,Logistic Regression
