text,stance
#NevadaCaucus Dont vote for Medicare for All! Look at how it worked out for Vermont! Taxes tripled. Dont be gullible. #Sanders is going to increase taxes.,0
CVS gets preliminary OK from DOJ for acquisition of Aetna—with some conditions https://t.co/BQZkSw4k0K,2
"DOJ seemingly more bullish about Aetna-Humana merger, given Humana's diversified (Medicare) business. Tracks with what sources have told me.",2
"When it comes to this madman, we often hear some fuck-up of his will be a game changer Please stop saying that term. Is overused and never achieved. #trump",1
"When you cant beat him, just make up bull , and hope it sticks. #Bernie",0
"CVS Just Made a Big Change After Closing Its $69 Billion Aetna Deal. Here's What That Could Mean
https://t.co/sHxUKwpNnR",2
"Aetna-Humana's road to regulatory approval is proving much smoother than Anthem-Cigna's —Here's why #healthinsurance
https://t.co/lcNr56qVk3",0
APC News Alert: U.S. hospitals urge DOJ antitrust probe of Anthem-Cigna deal - Reuters http://t.co/5gyGgMw5Tc,2
DOJ: Anthem &amp; Cigna have accused one another of breaching their $48 billion merger agreement https://t.co/vL0xhUB4SJ https://t.co/wJFbOr2EDU,2
I'll eat mac and cheese out of your front hole but only if you ask first #SemST,2
This Mouse Swallows Part Of A Fox: Disney Buys Most Of Murdoch Empire(@davidfolkenflik - @npr)https://t.co/ctYn9469Ky,1
Read the rough transcript of Trumps first phone call with Ukraine's Leader released by the White House.. #donaldtrump #trump #uspresident,1
"#rally4life Motherhood is for some much-wanted,for others it is not.It should be by choice, not by force. Respect women's choices #SemST",0
That entry (i.e. 3)) will be counted as #JoeBiden is simultaneously a Harvey Weinstein Democrat and a Jeffrey Epstein Democrat. #BidensBoundaries,1
"#Breaking Bernie #Sanders won #Utah, his 3rd victory of Super Tuesday. He also carried the state in 2016. @nytimes #Diplomacy140",0
AET/CVS: Connecticut approved the deal Wednesday Oct 17 and New York will reach a decision after Oct.25.,2
"Aetna CEO: In $69 Billion Blockbuster CVS Deal, Smaller Is Better changed his story from ""get the hell out of… https://t.co/CntvmHkeKY",1
"Yet again Mitch McConnell is sacrificing our least rewarded and most essential citizens of our country, so he can meet his own political ends. #Senate #Congress #JoeBiden",0
