feature,Logistic Regression,XGBoost,correct_mean_std,incorrect_mean_std
C_ratio,-0.1139908681841461,0.10605861991643906,0.9916 ± 0.0234,0.9913 ± 0.0234
D_ratio,0.05572298436554291,0.0,0.0016 ± 0.0094,0.0022 ± 0.0115
E_ratio,-0.13381044545784904,0.0,0.0043 ± 0.0165,0.0049 ± 0.0182
I_ratio,0.2998357225334555,0.0,0.0001 ± 0.0022,0.0002 ± 0.0033
N_ratio,0.31889715082804965,0.0,0.0023 ± 0.014,0.0014 ± 0.0094
adj_ratio,0.040360944455975434,0.0125909224152565,0.0569 ± 0.0507,0.054 ± 0.0503
adv_ratio,0.023857222437943623,0.017573701217770576,0.0192 ± 0.0331,0.0202 ± 0.0332
anger*,-0.14471726194128257,0.02196119725704193,0.0871 ± 0.1625,0.131 ± 0.2082
avg_dependency_depth,0.0,0.0,1.0 ± 0.0,1.0 ± 0.0
avg_word_length,-0.506383936973096,0.031131742522120476,4.8865 ± 0.8715,4.9631 ± 0.903
certainty_adjectives_count*,0.2665222249715518,0.02555275522172451,0.2229 ± 0.4315,0.13 ± 0.3548
certainty_adverbs_count,-0.17341321669797644,0.0,0.0805 ± 0.2836,0.0898 ± 0.297
certainty_verbs_count*,-0.049664783213756454,0.05981094762682915,0.1238 ± 0.3822,0.195 ± 0.4619
disgust,-0.09762002549664438,0.026927368715405464,0.0038 ± 0.0133,0.0076 ± 0.0531
doubt_adjectives_count,0.017833543885188027,0.0,0.1207 ± 0.3263,0.1084 ± 0.3211
doubt_adverbs_count,-0.07603719180859643,0.0,0.1765 ± 0.4131,0.2136 ± 0.493
doubt_verbs_count,-0.09278609951541891,0.0,0.0186 ± 0.1352,0.0124 ± 0.1108
fear,-0.006444553796471682,0.03477851673960686,0.3049 ± 0.3596,0.3527 ± 0.3803
function_word_ratio,0.09323223671198566,0.03470143303275108,0.2419 ± 0.1331,0.2432 ± 0.1332
hapax_legomena,0.6125820561555633,0.018672313541173935,0.8363 ± 0.1205,0.8478 ± 0.1352
hedge_C_count,0.13457529241305063,0.02422657050192356,15.8328 ± 4.6828,16.7307 ± 7.3382
hedge_D_count,-0.0939481885748741,0.0,0.031 ± 0.1735,0.0433 ± 0.2039
hedge_E_count,0.10532332952655124,0.0,0.0681 ± 0.2523,0.0805 ± 0.2725
hedge_I_count,-0.2538695432641881,0.0,0.0031 ± 0.0556,0.0093 ± 0.1669
hedge_N_count,-0.3134294202068095,0.0,0.0372 ± 0.2198,0.0372 ± 0.2464
hedges_score,0.03098146281294148,0.023067006841301918,0.12 ± 0.3157,0.1444 ± 0.3387
joy*,0.2525903869627407,0.02805197611451149,0.1304 ± 0.1892,0.0775 ± 0.1376
noun_ratio,0.010281181907532527,0.018309326842427254,0.4727 ± 0.137,0.4568 ± 0.1498
pronoun_ratio,0.00046726634191124523,0.033004336059093475,0.0189 ± 0.0347,0.0201 ± 0.0371
punctuation_density*,0.2831528142822126,0.030357154086232185,0.4347 ± 0.1741,0.4071 ± 0.1681
punctuation_usage,-0.04945806354511876,0.024947376921772957,0.0847 ± 0.061,0.084 ± 0.0569
readability_score,0.14502018674650693,0.015952274203300476,10.0118 ± 4.0755,9.938 ± 3.9033
sadness,0.021067752104219222,0.01952488347887993,0.075 ± 0.148,0.0984 ± 0.1787
sentence_count,-0.041703824843061274,0.03595990315079689,1.4551 ± 0.7804,1.582 ± 1.1237
sentence_length_variation,-0.08222680449105349,0.03136991336941719,1.2552 ± 2.3073,1.6253 ± 2.9837
sentiment_polarity*,0.20827166393071198,0.037413306534290314,0.0749 ± 0.2276,0.0299 ± 0.1967
sentiment_subjectivity,-0.03126365116120198,0.016160093247890472,0.241 ± 0.3021,0.2353 ± 0.3094
std_word_length,0.32307766280833355,0.023592643439769745,3.877 ± 0.8528,3.777 ± 0.8245
stopword_ratio,0.38034877271522904,0.021215496584773064,0.1939 ± 0.117,0.1937 ± 0.119
subordinate_clause_ratio*,-0.07874290270608807,0.06023218482732773,0.0274 ± 0.0439,0.0384 ± 0.047
surprise*,0.042263180459363704,0.02975786291062832,0.1468 ± 0.1809,0.1193 ± 0.1575
type_token_ratio,-0.655492710939234,0.038611188530921936,0.9047 ± 0.0771,0.9132 ± 0.0846
verb_ratio*,-0.41366420067711335,0.04269278794527054,0.0831 ± 0.0639,0.1131 ± 0.0735
word_count,-0.32805354894437133,0.055794186890125275,21.4582 ± 5.5016,22.6161 ± 11.4662
