feature,dataset,target,stance,source,t_pvalue,u_pvalue,cohens_d,cliffs_delta,cohen_strength,cliff_strength,distributions_normal,preferred_effect,preferred_strength,significant,coefficient,abs_coef
word_count,whole,ALL,All Stances,whole,0.179,0.1823,0.1484,0.0846,small,negligible,False,Cliff's delta,negligible,no,0.703614499226786,0.703614499226786
stopword_ratio,whole,ALL,FAVOR,whole,0.2866,0.2481,0.1138,0.0656,small,negligible,True,Cohen's d,small,no,0.4825060242640805,0.4825060242640805
fear,whole,ALL,FAVOR,whole,0.0953,0.1823,-0.1592,-0.0758,small,negligible,False,Cliff's delta,negligible,no,0.7289971813339584,0.7289971813339584
stopword_ratio,whole,ALL,FAVOR,whole,0.275,0.279,-0.1146,-0.0687,small,negligible,False,Cliff's delta,negligible,no,0.4825060242640805,0.4825060242640805
fear,whole,ALL,FAVOR,whole,0.7564,0.5951,-0.0338,-0.0337,small,negligible,False,Cliff's delta,negligible,no,0.7289971813339584,0.7289971813339584
anger,whole,ALL,FAVOR,whole,0.8598,0.2259,-0.0304,0.1078,small,negligible,False,Cliff's delta,negligible,no,0.7372114752210908,0.7372114752210908
stopword_ratio,whole,ALL,NONE,whole,0.2866,0.2481,0.1138,0.0656,small,negligible,True,Cohen's d,small,no,0.9425591981545082,0.9425591981545082
noun_ratio,whole,ALL,NONE,whole,0.3437,0.3251,-0.0972,-0.0559,small,negligible,False,Cliff's delta,negligible,no,0.4792507619659654,0.4792507619659654
verb_ratio,whole,ALL,NONE,whole,0.173,0.1844,0.1381,0.0754,small,negligible,False,Cliff's delta,negligible,no,0.4426159828880276,0.4426159828880276
fear,whole,ALL,NONE,whole,0.0953,0.1823,-0.1592,-0.0758,small,negligible,False,Cliff's delta,negligible,no,0.5723729836099772,0.5723729836099772
stopword_ratio,whole,ALL,NONE,whole,0.275,0.279,-0.1146,-0.0687,small,negligible,False,Cliff's delta,negligible,no,0.9425591981545082,0.9425591981545082
noun_ratio,whole,ALL,NONE,whole,0.328,0.5997,0.0975,0.0333,small,negligible,False,Cliff's delta,negligible,no,0.4792507619659654,0.4792507619659654
verb_ratio,whole,ALL,NONE,whole,0.6115,0.6759,-0.054,-0.0265,small,negligible,True,Cohen's d,small,no,0.4426159828880276,0.4426159828880276
fear,whole,ALL,NONE,whole,0.7564,0.5951,-0.0338,-0.0337,small,negligible,False,Cliff's delta,negligible,no,0.5723729836099772,0.5723729836099772
