target,text,stance,word_count,sentence_count,avg_word_length,std_word_length,type_token_ratio,hapax_legomena,stopword_ratio,punctuation_density,noun_ratio,verb_ratio,adj_ratio,adv_ratio,pronoun_ratio,avg_dependency_depth,function_word_ratio,punctuation_usage,readability_score,sentence_length_variation,subordinate_clause_ratio,sentiment_polarity,sentiment_subjectivity,anger,joy,fear,sadness,disgust,surprise,certainty_adverbs_count,certainty_verbs_count,certainty_adjectives_count,doubt_adverbs_count,doubt_verbs_count,doubt_adjectives_count,hedges_score,hedge_C_count,hedge_D_count,hedge_E_count,hedge_I_count,hedge_N_count,C_ratio,D_ratio,E_ratio,I_ratio,N_ratio
Hillary Clinton,#mtp @meetthepress How is deleting emails -part of the government record -different from erasing parts of a tape? #nixon #p2 #SemST,0,27.0,2.0,4.111111111111111,3.071172213574501,0.8518518518518519,0.7777777777777778,0.25925925925925924,0.2962962962962963,0.4074074074074074,0.1111111111111111,0.07407407407407407,0.037037037037037035,0.0,1.0,0.2692307692307692,0.037037037037037035,5.0,7.5,0.0,0.0,0.6,0.17296218872070312,0.01032162830233574,0.7820451855659485,0.018078088760375977,0.00044071400770917535,0.012431596405804157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Hillary Clinton,"@nyinvesting big banker buds need to ratchet up their ""Hillary cares about the little people"" propaganda  #SemST",0,21.0,1.0,4.619047619047619,2.645322745205933,1.0,1.0,0.23809523809523808,0.19047619047619047,0.38095238095238093,0.14285714285714285,0.09523809523809523,0.0,0.047619047619047616,1.0,0.23809523809523808,0.0,8.7,0.0,0.047619047619047616,-0.09583333333333333,0.2333333333333333,0.06209128722548485,0.016282424330711365,0.9027466177940369,0.011360847391188145,0.0009462782181799412,0.0043061901815235615,0.0,1.0,0.0,0.0,0.0,1.0,0.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Hillary Clinton,@GOP Why should I believe you on this? The GOP leaders in congress won't fight Obama now!!! #tcot #SemST,0,27.0,3.0,3.185185185185185,2.055472137112831,0.8518518518518519,0.7407407407407407,0.3333333333333333,0.2962962962962963,0.2222222222222222,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,1.0,0.38461538461538464,0.14814814814814814,2.3,3.0912061651652345,0.0,0.0,0.0,0.1113848015666008,0.0036013834178447723,0.8563684225082397,0.014305327087640762,0.0004033730656374246,0.011694388464093208,0.0,1.0,0.0,1.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Hillary Clinton,"@RushetteNY @TwitchyTeam Hillary to press: ""Curtsy while you're thinking what to say, it saves time"" #throughthelookingglass  #SemST",0,26.0,1.0,4.5,4.439767838698152,0.8846153846153846,0.7692307692307693,0.23076923076923078,0.34615384615384615,0.3076923076923077,0.19230769230769232,0.038461538461538464,0.0,0.07692307692307693,1.0,0.32,0.0,7.6,0.0,0.15384615384615385,0.0,0.0,0.03295847401022911,0.034732114523649216,0.9113616943359375,0.011027229949831963,0.0008796194451861084,0.006391758564859629,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Hillary Clinton,"#IfIhadAdollarFor wondering, was I that stupid when I was a #Democrats? #Obama #2A #NoAmnesty #WakeUpAmerica #SemST",0,25.0,2.0,4.0,4.09878030638384,0.68,0.56,0.28,0.36,0.24,0.12,0.0,0.0,0.08,1.0,0.28,0.04,6.4,3.0,0.04,-0.7999999999999999,1.0,0.0031112937722355127,0.0011473513441160321,0.9929590225219727,0.0014868263388052583,0.00014370075950864702,0.0007419675821438432,0.0,0.0,0.0,0.0,0.0,0.0,0.9443190693855286,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Hillary Clinton,"@LVNancy @incessantpatrio @bcwilliams92 Yes! #SoMuchUgly in #HillaryClinton, Hollow Acts Are Infamous! #WhyImNotVotingForHillary #SemST",0,23.0,3.0,5.3478260869565215,5.91687855172313,0.7391304347826086,0.6086956521739131,0.08695652173913043,0.43478260869565216,0.391304347826087,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.0,1.0,0.1,0.08695652173913043,12.9,2.0548046676563256,0.0,-0.3625,0.525,0.011805991642177105,0.013546186499297619,0.06528960168361664,0.9044650793075562,0.00154756975825876,0.0017865020781755447,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Hillary Clinton,Does #hillaryclinton lie and engage in cover-ups to do damage to the country or does she do it out of habit?  #tcot #uniteblue #SemST,0,29.0,2.0,3.7586206896551726,2.9320485061353536,0.8275862068965517,0.7241379310344828,0.4827586206896552,0.20689655172413793,0.20689655172413793,0.20689655172413793,0.06896551724137931,0.0,0.06896551724137931,1.0,0.4375,0.034482758620689655,3.3,9.0,0.034482758620689655,0.0,0.0,0.07811008393764496,0.007273050490766764,0.907342791557312,0.004906093701720238,0.0003699081717059016,0.0014399898936972022,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Hillary Clinton,"@Conservativeind @cannoneerfour Lets hope!  She's a killer, liar and a coward! #WakeUpAmerica #MakeAmericaGreatAgain #SemST",0,23.0,3.0,4.739130434782608,5.374799420357351,0.782608695652174,0.6086956521739131,0.17391304347826086,0.391304347826087,0.43478260869565216,0.13043478260869565,0.0,0.0,0.043478260869565216,1.0,0.22727272727272727,0.08695652173913043,9.8,1.699673171197595,0.0,0.0,0.0,0.012084201909601688,0.0025204371195286512,0.9803423285484314,0.003837783122435212,0.00016181805403903127,0.0007093540043570101,0.0,1.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Hillary Clinton,"@DaGodfather907 @NahBabyNah If Jebb is our candidate, we will hand Hillary the keys to 1600?Penn Ave. #WakeUpAmerica #SemST",0,25.0,1.0,4.24,3.5919910913029836,0.92,0.84,0.28,0.28,0.48,0.04,0.04,0.0,0.08,1.0,0.3181818181818182,0.08,10.3,0.0,0.08,0.0,0.0,0.004440875258296728,0.0013150550657883286,0.9902541041374207,0.0019279925618320704,0.00018562853801995516,0.0010512968292459846,0.0,0.0,1.0,0.0,0.0,0.0,0.9673590660095215,16.0,0.0,0.0,0.0,2.0,0.8888888888888888,0.0,0.0,0.0,0.1111111111111111
Hillary Clinton,"RT @harrisongolden: ""So Clinton-esque,"" Brit Hume said of Hillary's email controversy. ""You never quite get the whole truth.""> #SemST",0,31.0,3.0,3.838709677419355,3.3224240489248342,0.9032258064516129,0.8387096774193549,0.12903225806451613,0.41935483870967744,0.3225806451612903,0.06451612903225806,0.0967741935483871,0.0967741935483871,0.03225806451612903,1.0,0.28125,0.06451612903225806,4.6,3.6817870057290873,0.0,0.2,0.4,0.07290532439947128,0.004991208668798208,0.8754700422286987,0.011975971981883049,0.0006767814047634602,0.019065160304307938,2.0,0.0,0.0,1.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
