target,text,stance
Legalization of Abortion,Need a ProLife R.E. Agent? - Support a ProLife Group (U-choose) at NoCost ProLifeRealEstate@Yahoo.com #SemST,0
Legalization of Abortion,I get several requests with petitions to save whales but never to stop the slaughter of babies in the wombs of mothers. #abortion. #SemST,0
Legalization of Abortion,PRAYERS FOR BABIES Urgent prayer one in Lexington KY&two in Dallas TX&in Chattanooga TN  Life begins at conception  #SemST,0
Legalization of Abortion,I have a right to identify as pregnant and have an abortion. Having an abortion confirms my power of choice. #PregnancyForAll #SemST,0
Legalization of Abortion,It's undeniable that conception may also be the birth of a soul unto life itself. Why mess with that? #SemST,0
Legalization of Abortion,"The idea that a ""fetus"" isn't human is outrageous, I mean what else would it be? A dog? A dragon? The unborn are HUMAN BEINGS! #SemST",0
Legalization of Abortion,@prolife_wife You can say that again! #AbortionIsMurder #AllLivesMatter #ProLifeYouth #SemST,0
Legalization of Abortion,"Fair IS fair if U believe an unborn child has no right to life, then UR saying I can decide if you do?? #SemST",0
Legalization of Abortion,"Meanwhile, @JustinTrudeau wants to waste your money to kill innocent children in the womb. #dangerous #hypocrite #noChoice #SemST",0
Legalization of Abortion,"If we are pronounced dead when our heart stops, why are we not pronounced alive when our heart starts? #SemST",0
Legalization of Abortion,#NothingMoreAmericanThan unjustified homicide of the unborn in #SemST,0
Legalization of Abortion,"When Declaration of Independence was adopted, abortion was illegal in all 13 colonies. #txlege #SemST",0
Legalization of Abortion,@notmuchelse But of course today one doesn't have to be responsible You can kill your child instead! #SemST,0
Legalization of Abortion,Wish I could be at the #rallyforlife counter protest. Women are people. Fetuses are clumps of cells. End of story. #ireland #SemST,0
Legalization of Abortion,"Dear to who it may concern;""YOU stand up for my right to live.   #Baby #murder #RightToLife #unborn #womensrights #legal #SemST",0
Legalization of Abortion,"AmandaKayHowell: Dear to who it may concern;""YOU stand up for my right to live.   #Baby #murder #RightToLife #unborn #wo... #SemST",0
Legalization of Abortion,"@BuhayIpaglaban @blueskies366 Remember that there is no ""murder"" involed in #abortion. I am #ProContraception for LESS #abortion. #SemST",0
Legalization of Abortion,.@BuhayIpaglaban perhaps you want to go to the fertility clinics & rescue them all. How many can you fit in your womb. #clowncar #SemST,0
Legalization of Abortion,@BuhayIpaglaban @laurawrpie @_msthirdward @blueskies366 I'm totally cool with this image. Was the fetus unviable? Health at risk? #SemST,0
Legalization of Abortion,@BuhayIpaglaban @_msthirdward @laurawrpie Who defends murder here? I haven't heard anyone defending the killing of human beings. #SemST,0
Legalization of Abortion,@violencehurts @WomenCanSee The unborn also have rights #defendthe8th #SemST,0
Legalization of Abortion,"@violencehurts @WomenCanSee The most fundamental right of them all, the right to life, is also a right of the unborn. #SemST",0
Legalization of Abortion,"#DefentThe8th? Why would I defend something that kills people? Remember #Savita, killed by Irish ""#prolife"" laws? #RepealThe8th #SemST",0
Legalization of Abortion,There should be no law or funding which justifies the murder of innocent life.   #CCOT #pjnet #SemST,0
Legalization of Abortion,There's no place for selfishness when you talk about a human life. Everyone matters! #quotes #truelovewaits #parenting #humanrights #SemST,0
Legalization of Abortion,The most horrific violence in America is the war on babies. #SemST,0
Legalization of Abortion,@ConnectCatholic The justification of abortion is rooted in selfishness & fear & they come from lack of faith & self centeredness #SemST,0
Legalization of Abortion,Abortionists and their supporters are the REAL misogynists! #Catholic #Christian #progressive #liberal #SemST,0
Legalization of Abortion,"Some babies die by chance, none should die by choice! #SemST",0
