feature,Logistic Regression,XGBoost,correct_mean_std,incorrect_mean_std
C_ratio,0.07799498720382056,0.029356617480516434,0.9939 ± 0.0194,0.9915 ± 0.0221
D_ratio,0.11707288074860411,0.0,0.0024 ± 0.0124,0.0019 ± 0.0095
E_ratio,-0.18222159743498026,0.011915990151464939,0.0033 ± 0.0149,0.0033 ± 0.0132
I_ratio,0.07044065825129586,0.0,0.0004 ± 0.0044,0.0 ± 0.0
N_ratio*,-0.03931195146289342,0.0,0.0 ± 0.0,0.0033 ± 0.0147
adj_ratio*,-0.35094091527183824,0.015091325156390667,0.0419 ± 0.0447,0.0607 ± 0.0478
adv_ratio*,-0.47268587606029866,0.012790086679160595,0.0072 ± 0.0191,0.0292 ± 0.0365
anger*,-0.909061372217777,0.011718066409230232,0.0405 ± 0.062,0.1271 ± 0.2332
avg_dependency_depth,0.0,0.0,1.0 ± 0.0,1.0 ± 0.0
avg_word_length*,-0.20216172537309415,0.01651037484407425,4.994 ± 0.7077,4.6443 ± 0.8124
certainty_adjectives_count*,0.2417920189300876,0.0,0.1069 ± 0.3773,0.2746 ± 0.5023
certainty_adverbs_count*,-0.8852266183647969,0.0,0.0076 ± 0.0874,0.1347 ± 0.3715
certainty_verbs_count*,-0.836671065841165,0.028063349425792694,0.0382 ± 0.1923,0.3212 ± 0.6538
disgust,-0.4490965311783898,0.027828238904476166,0.0022 ± 0.0035,0.0182 ± 0.098
doubt_adjectives_count*,-0.30472228113737204,0.0,0.0458 ± 0.2099,0.1606 ± 0.4084
doubt_adverbs_count*,-1.3451538605259996,0.04098905995488167,0.0458 ± 0.2099,0.3679 ± 0.6804
doubt_verbs_count,0.5203178206315566,0.0,0.0153 ± 0.1231,0.0155 ± 0.124
fear*,0.16645944077410788,0.01713685505092144,0.1788 ± 0.2851,0.3401 ± 0.3807
function_word_ratio*,-0.7496702485347814,0.19815534353256226,0.1839 ± 0.0838,0.3074 ± 0.1308
hapax_legomena,-1.090611616777633,0.016402048990130424,0.8531 ± 0.1271,0.8263 ± 0.1275
hedge_C_count*,0.16049468695488106,0.0337023101747036,14.0229 ± 3.9584,20.1969 ± 9.1903
hedge_D_count,0.49789025843896983,0.0,0.0382 ± 0.1923,0.0415 ± 0.1998
hedge_E_count,0.8186987299122304,0.0,0.0534 ± 0.2258,0.0725 ± 0.2794
hedge_I_count,0.07044065825129593,0.0,0.0076 ± 0.0874,0.0 ± 0.0
hedge_N_count*,-0.02959889773293675,0.0,0.0 ± 0.0,0.0881 ± 0.4051
hedges_score,0.05566766735273155,0.06252945214509964,0.1099 ± 0.2979,0.1698 ± 0.3583
joy*,0.24717216788586385,0.0707053542137146,0.2309 ± 0.1931,0.1112 ± 0.1993
noun_ratio*,-0.989014694059902,0.026996206492185593,0.4868 ± 0.1116,0.4052 ± 0.1433
pronoun_ratio*,-0.9477806853538036,0.06357413530349731,0.0041 ± 0.0126,0.0297 ± 0.0373
punctuation_density*,-0.05818550971336217,0.034722600132226944,0.4817 ± 0.1366,0.3419 ± 0.1662
punctuation_usage,0.17363219099435487,0.023864127695560455,0.0885 ± 0.0567,0.0851 ± 0.0591
readability_score*,0.1568398402516864,0.014431040734052658,10.6771 ± 4.0903,9.5627 ± 3.99
sadness,-0.04672922287364446,0.030663564801216125,0.0719 ± 0.1525,0.0821 ± 0.1702
sentence_count*,-0.5635582731987889,0.008065168745815754,1.1679 ± 0.4666,1.8653 ± 1.0957
sentence_length_variation*,-0.14660954258101946,0.0,0.5374 ± 1.5404,2.7655 ± 3.8857
sentiment_polarity,0.2616628048189439,0.04592592641711235,0.0574 ± 0.1455,0.065 ± 0.2426
sentiment_subjectivity*,0.01729525904098788,0.014332311227917671,0.1587 ± 0.2936,0.3226 ± 0.2965
std_word_length*,-0.27168128640429345,0.009748050943017006,4.0212 ± 0.5972,3.5676 ± 0.8992
stopword_ratio*,-0.7371893330468321,0.014626257121562958,0.141 ± 0.0813,0.2479 ± 0.1104
subordinate_clause_ratio*,-0.11233895302647451,0.020163297653198242,0.0258 ± 0.0387,0.0434 ± 0.048
surprise*,-0.0038160751252966285,0.0198555625975132,0.2044 ± 0.1537,0.1437 ± 0.1934
type_token_ratio*,0.9560527476177743,0.03103146329522133,0.9207 ± 0.071,0.9025 ± 0.0757
verb_ratio*,0.22784284884995162,0.013721734285354614,0.0911 ± 0.0588,0.116 ± 0.0737
word_count*,-1.1719211786623167,0.03538405895233154,19.313 ± 4.7992,26.2383 ± 10.8774
