target,text,stance,word_count,sentence_count,avg_word_length,std_word_length,type_token_ratio,hapax_legomena,stopword_ratio,punctuation_density,noun_ratio,verb_ratio,adj_ratio,adv_ratio,pronoun_ratio,avg_dependency_depth,function_word_ratio,punctuation_usage,readability_score,sentence_length_variation,subordinate_clause_ratio,sentiment_polarity,sentiment_subjectivity,anger,joy,fear,sadness,disgust,surprise,certainty_adverbs_count,certainty_verbs_count,certainty_adjectives_count,doubt_adverbs_count,doubt_verbs_count,doubt_adjectives_count,hedges_score,hedge_C_count,hedge_D_count,hedge_E_count,hedge_I_count,hedge_N_count,C_ratio,D_ratio,E_ratio,I_ratio,N_ratio
Joe Biden,"5/23 Sat 2:30p EDT Michigan #Biden Training Im attending Joe Biden for Presidents event, Macomb/Oakland Virtual Organizing Training sign up now to join me! #GoJoe2020 #DemCast #DemCastMI",1,33.0,2.0,4.848484848484849,3.340488188974708,0.8484848484848485,0.7575757575757576,0.15151515151515152,0.2727272727272727,0.5151515151515151,0.09090909090909091,0.0,0.06060606060606061,0.030303030303030304,1.0,0.16666666666666666,0.030303030303030304,9.7,10.5,0.030303030303030304,0.0,0.0,0.030895113945007324,0.06345555931329727,0.7923544049263,0.01962481439113617,0.0004739664145745337,0.03913618624210358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Joe Biden,Yes he does. Thank you Dr Biden for all of your hard work and dedication to the people!,1,20.0,2.0,3.5,1.9621416870348585,1.0,1.0,0.5,0.1,0.25,0.1,0.05,0.0,0.15,1.0,0.5,0.1,2.1,6.0,0.0,-0.36458333333333337,0.5416666666666666,0.020837195217609406,0.7989892363548279,0.0017489665187895298,0.004858474247157574,0.004896269179880619,0.06134166195988655,1.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Joe Biden,"Attention: High School #StudentsForBiden, the first organizing event is tomorrow at 12:30pm EDT! Join Us! #JoeBiden #bidenklobuchar2020",1,24.0,3.0,4.958333333333333,4.577837614225982,0.875,0.7916666666666666,0.125,0.3333333333333333,0.4166666666666667,0.041666666666666664,0.125,0.0,0.0,1.0,0.20833333333333334,0.08333333333333333,11.1,5.185449728701348,0.041666666666666664,0.2753125,0.43666666666666665,0.06929752230644226,0.15203233063220978,0.6420907974243164,0.015835462138056755,0.0006258650682866573,0.051968734711408615,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Joe Biden,"I have so much respect @amyklobuchar, and would have loved to see her as Vice President. However, I support her, her decision, and @JoeBiden. #ThankYouAmyKlobuchar",1,34.0,3.0,4.088235294117647,3.9210416312567307,0.7058823529411765,0.5,0.35294117647058826,0.2647058823529412,0.2647058823529412,0.14705882352941177,0.029411764705882353,0.058823529411764705,0.14705882352941177,1.0,0.5,0.058823529411764705,7.0,6.128258770283412,0.029411764705882353,0.44999999999999996,0.5,0.08492249995470047,0.6869525909423828,0.1742245852947235,0.03370664268732071,0.002404774772003293,0.0056418003514409065,0.0,0.0,2.0,4.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Joe Biden,Bidens promise to choose a woman veep reignites hopes of a female president #RidenWithBiden,1,15.0,1.0,5.2,3.5251477510406097,0.9333333333333333,0.8666666666666667,0.26666666666666666,0.06666666666666667,0.4,0.2,0.06666666666666667,0.0,0.0,1.0,0.26666666666666666,0.0,8.8,0.0,0.13333333333333333,0.0,0.16666666666666666,0.08117495477199554,0.1303965002298355,0.7241804599761963,0.020588096231222153,0.0013759437715634704,0.011925707571208477,0.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Joe Biden,Ringing in the new year by ringing some doorbells and getting folks fired up to vote for @JoeBiden here in Charleston!!,1,24.0,2.0,4.125,2.554611842661555,0.9166666666666666,0.8333333333333334,0.4166666666666667,0.125,0.25,0.20833333333333334,0.041666666666666664,0.041666666666666664,0.0,1.0,0.43478260869565216,0.08333333333333333,7.9,10.0,0.08333333333333333,0.2130681818181818,0.45454545454545453,0.19989369809627533,0.4875045120716095,0.11880604177713394,0.00941910594701767,0.0011823942186310887,0.06830093264579773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Joe Biden,"Check out Joes new page and give him a follow. Good guy, easy to deal with, and a very trustworthy name!",1,25.0,2.0,3.36,2.076150283577757,0.88,0.76,0.36,0.16,0.2,0.12,0.16,0.04,0.04,1.0,0.44,0.08,1.5,0.5,0.04,0.3799242424242424,0.546969696969697,0.012070558965206146,0.16551843285560608,0.0015586928930133581,0.003483082167804241,0.007837488315999508,0.010261916555464268,0.0,0.0,1.0,1.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Joe Biden,Didn't watch but I'm in Indiana and he's . Still: #JoeBiden,1,16.0,2.0,3.0625,2.0757152381769517,1.0,1.0,0.375,0.375,0.1875,0.1875,0.0,0.125,0.125,1.0,0.625,0.0625,4.8,3.5,0.0,0.0,0.0,0.017068983986973763,0.01973765157163143,0.0735320895910263,0.214024618268013,0.0007866495288908482,0.4338037967681885,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Joe Biden,"Our President went from the left to right in 6 years, but voting for @JoeBiden will only take 1 minute and guarantees 4 years of positive change! Its simple folks. Take an easier path. Vote Joe. #MondayMotivaton",1,44.0,5.0,3.977272727272727,2.8243151733379737,0.9318181818181818,0.8863636363636364,0.29545454545454547,0.1590909090909091,0.29545454545454547,0.13636363636363635,0.06818181818181818,0.022727272727272728,0.045454545454545456,1.0,0.3488372093023256,0.09090909090909091,6.9,9.850888284819803,0.0,0.11396103896103896,0.48766233766233763,0.06015844643115997,0.2920873165130615,0.3639027178287506,0.023966852575540543,0.0009979794267565012,0.11689987033605576,0.0,1.0,1.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Joe Biden,Join #Biden later today for some tie dying at Merril Park in Concord! #FITN,1,17.0,2.0,3.6470588235294117,1.7469696946961764,0.9411764705882353,0.8823529411764706,0.23529411764705882,0.17647058823529413,0.47058823529411764,0.0,0.058823529411764705,0.058823529411764705,0.0,1.0,0.23529411764705882,0.058823529411764705,6.4,6.0,0.0,0.0,0.0,0.685501754283905,0.007964921183884144,0.27671313285827637,0.011241626925766468,0.00203531002625823,0.011312255635857582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
