feature,mi_score
stopword_ratio,0.0389963947732479
joy,0.03707506713990738
word_count,0.03599093849933244
std_word_length,0.02487849296121447
I_ratio,0.023187661784430658
punctuation_density,0.02289094129972047
noun_ratio,0.021808950794054205
sentiment_polarity,0.02060900093126561
hedge_C_count,0.019732082877500057
verb_ratio,0.017577868289937904
sentence_length_variation,0.016594738074194648
sentence_count,0.016326870709003405
subordinate_clause_ratio,0.01593325759488362
hapax_legomena,0.014890594771993948
hedges_score,0.014682492175640771
sentiment_subjectivity,0.013362866362684578
type_token_ratio,0.012040303855784362
C_ratio,0.011272019432273073
disgust,0.011071367037864155
doubt_adjectives_count,0.010639996169482746
hedge_E_count,0.009461173238957787
E_ratio,0.008629684861290121
pronoun_ratio,0.008489202621150271
certainty_adjectives_count,0.008391796100973625
hedge_I_count,0.007247058478280666
fear,0.0054173151569043565
anger,0.003968580793853427
D_ratio,0.0027902473401824057
doubt_adverbs_count,0.0021690214192944257
hedge_N_count,0.0003119959668127503
adj_ratio,0.00028802221262735905
avg_word_length,0.0
adv_ratio,0.0
punctuation_usage,0.0
avg_dependency_depth,0.0
function_word_ratio,0.0
certainty_adverbs_count,0.0
surprise,0.0
sadness,0.0
readability_score,0.0
hedge_D_count,0.0
doubt_verbs_count,0.0
certainty_verbs_count,0.0
N_ratio,0.0
