feature,Logistic Regression,XGBoost,correct_mean_std,incorrect_mean_std
C_ratio,0.21705014236537162,0.004347173497080803,0.9885 ± 0.0242,0.9879 ± 0.0283
D_ratio,0.5168799965179999,0.0,0.0049 ± 0.0161,0.0022 ± 0.0104
E_ratio,-0.5221733997024168,0.0,0.0015 ± 0.0075,0.004 ± 0.0164
I_ratio,-0.12607345350977678,0.0,0.0 ± 0.0,0.0007 ± 0.0072
N_ratio,-0.22606337025143544,0.0,0.0051 ± 0.0159,0.0052 ± 0.0188
adj_ratio,-0.4264753155158408,0.020157163962721825,0.0541 ± 0.0419,0.0624 ± 0.0493
adv_ratio,-0.04541806376389716,0.009085956029593945,0.0464 ± 0.0445,0.0377 ± 0.0474
anger*,0.5274414132663381,0.014961911365389824,0.2557 ± 0.3072,0.1658 ± 0.2118
avg_dependency_depth,0.0,0.0,1.0 ± 0.0,1.0 ± 0.0
avg_word_length*,0.2699264832500986,0.0244509968906641,4.1796 ± 0.5952,4.4348 ± 0.8027
certainty_adjectives_count,0.0870593103397716,0.0,0.4021 ± 0.6235,0.3306 ± 0.5599
certainty_adverbs_count*,0.09466837068303313,0.01565093919634819,0.2887 ± 0.5393,0.1653 ± 0.4243
certainty_verbs_count,-0.42552789479051123,0.021016309037804604,0.5052 ± 0.6941,0.3967 ± 0.6935
disgust*,0.4363117224153923,0.034730762243270874,0.0489 ± 0.1576,0.0086 ± 0.0275
doubt_adjectives_count,0.06023478744363532,0.0,0.1546 ± 0.3634,0.1074 ± 0.3234
doubt_adverbs_count,0.11221924094749647,0.040481679141521454,0.4536 ± 0.6295,0.3554 ± 0.6023
doubt_verbs_count,-0.08853130821828363,0.0,0.0206 ± 0.1428,0.0289 ± 0.1679
fear,0.39906820211227273,0.019639959558844566,0.3967 ± 0.3671,0.45 ± 0.3765
function_word_ratio*,-0.3417489715200085,0.012465205043554306,0.4115 ± 0.0971,0.3371 ± 0.1373
hapax_legomena,-0.4347906465874324,0.0394943505525589,0.7987 ± 0.1275,0.8066 ± 0.1279
hedge_C_count*,-0.1811098240336571,0.05250898376107216,26.5876 ± 11.5918,20.8471 ± 9.5268
hedge_D_count*,-0.31599449966852844,0.0,0.1134 ± 0.3499,0.0496 ± 0.2175
hedge_E_count,0.14894739213123884,0.0,0.0412 ± 0.1999,0.0744 ± 0.2783
hedge_I_count,-0.26847259322741596,0.0,0.0 ± 0.0,0.0165 ± 0.1569
hedge_N_count,0.21347729419474956,0.0,0.1649 ± 0.5339,0.1198 ± 0.4151
hedges_score,0.2269014198333274,0.02769715152680874,0.2438 ± 0.409,0.1753 ± 0.3689
joy,0.09710000828312777,0.04961764067411423,0.0467 ± 0.163,0.0664 ± 0.1736
noun_ratio*,-0.33715952700875884,0.027908092364668846,0.3 ± 0.1013,0.3593 ± 0.1279
pronoun_ratio*,0.011188837152246606,0.029843127354979515,0.0667 ± 0.0521,0.0445 ± 0.0515
punctuation_density*,-1.7454972473770156,0.08953823894262314,0.1921 ± 0.0794,0.3109 ± 0.1645
punctuation_usage,0.6215194805299031,0.031587522476911545,0.0757 ± 0.0611,0.0807 ± 0.0609
readability_score,0.2535891578777088,0.02585076168179512,8.1274 ± 3.6969,8.5089 ± 3.8744
sadness,0.2762138658388188,0.009687625803053379,0.1069 ± 0.2139,0.1004 ± 0.1739
sentence_count*,-0.33048609299112375,0.04521491006016731,2.5258 ± 1.5619,2.1942 ± 1.3231
sentence_length_variation,-0.09145215862361426,0.021838638931512833,3.6254 ± 3.7427,3.0208 ± 3.364
sentiment_polarity,0.12202599541258216,0.04100852087140083,0.0395 ± 0.2473,0.0628 ± 0.2466
sentiment_subjectivity*,0.3720094603356796,0.037664152681827545,0.4177 ± 0.2905,0.3112 ± 0.2814
std_word_length*,-0.05909180340676477,0.04979142174124718,2.8036 ± 0.7155,3.2688 ± 0.9298
stopword_ratio*,-0.082360181190826,0.025668546557426453,0.3451 ± 0.0889,0.2727 ± 0.1208
subordinate_clause_ratio*,0.13006642642451782,0.011519082821905613,0.0663 ± 0.0525,0.048 ± 0.047
surprise,0.2004485899208125,0.029820607975125313,0.0721 ± 0.1689,0.0783 ± 0.1506
type_token_ratio,0.34688398992588254,0.037523411214351654,0.8853 ± 0.0795,0.8863 ± 0.0813
verb_ratio*,-0.05065088897488866,0.04709971696138382,0.1659 ± 0.0662,0.1356 ± 0.0615
word_count*,0.4466050863903959,0.052129413932561874,32.6289 ± 14.4369,27.2025 ± 11.7951
