feature,mean_shap_importance,std_shap_importance,num_iterations,iterations_list,coefficient_of_variation,consistency_score,mean_directional,std_directional,positive_ratio,negative_ratio,consistent_direction,direction_strength
joy,1.161605,0.604699,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5206,1.161605,-0.057882353615325094,1.4193891727120997,0.5239938080495357,0.4760061919504644,Negative,0.040779762393796964
function_word_ratio,0.571359,0.549217,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.9612,0.571359,-0.017495877919899382,0.8599528473591173,0.5247678018575851,0.47523219814241485,Negative,0.02034515935400059
punctuation_density,0.524701,0.36704,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6995,0.524701,-0.1143772186351254,0.7111645383333195,0.46439628482972134,0.5356037151702786,Negative,0.16083087789342013
noun_ratio,0.481752,0.41495,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.8613,0.481752,-0.020569915327941175,0.6776950676891362,0.5147058823529411,0.4852941176470588,Negative,0.03035275894002693
stopword_ratio,0.475406,0.319145,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6713,0.475406,-0.05346716248360991,0.641900707320645,0.3893188854489164,0.6106811145510835,Negative,0.08329506579582424
fear,0.424109,0.246175,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5805,0.424109,0.0386890051796517,0.5597682563403756,0.5882352941176471,0.4117647058823529,Positive,0.06911611019429648
surprise,0.40006,0.368154,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.9202,0.40006,-0.07371745324575851,0.6138742889971871,0.48761609907120745,0.5123839009287926,Negative,0.12008558326384063
disgust,0.384216,0.170147,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.4428,0.384216,-0.025271024806656345,0.49938896300858543,0.48993808049535603,0.510061919504644,Negative,0.050603890298999234
anger,0.368782,0.242873,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6586,0.368782,0.03990522870308049,0.5120134207081128,0.6029411764705882,0.39705882352941174,Positive,0.07793785535643409
adj_ratio,0.334896,0.119682,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.3574,0.334896,-0.037987763853846744,0.41365795059638716,0.47058823529411764,0.5294117647058824,Negative,0.09183375511274647
sadness,0.304074,0.146135,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.4806,0.304074,-0.04114324513377477,0.39224632629314593,0.44969040247678016,0.5503095975232198,Negative,0.10489134333947303
type_token_ratio,0.271215,0.239708,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.8838,0.271215,-0.038716351594465945,0.41615135176667295,0.4117647058823529,0.5882352941176471,Negative,0.0930343023031446
word_count,0.269987,0.159759,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5917,0.269987,-0.05851925896973684,0.36240833300176767,0.39628482972136225,0.6037151702786377,Negative,0.1614732665507411
avg_word_length,0.261999,0.120336,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.4593,0.261999,-0.03125418933426471,0.33572409225118677,0.4651702786377709,0.5348297213622291,Negative,0.09309486308754952
std_word_length,0.254345,0.211871,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.833,0.254345,-0.031533585751019354,0.3727076032175044,0.4458204334365325,0.5541795665634675,Negative,0.08460676582052272
verb_ratio,0.251173,0.128408,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5112,0.251173,0.0004493019850541822,0.35153361831407376,0.5704334365325078,0.4295665634674923,Positive,0.0012781194994316686
pronoun_ratio,0.227263,0.154635,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6804,0.227263,-0.04476831171680804,0.33948139780930847,0.544891640866873,0.4551083591331269,Negative,0.13187264659263767
subordinate_clause_ratio,0.222348,0.127891,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5752,0.222348,-0.010956156461927243,0.2964846476356576,0.5394736842105263,0.4605263157894737,Negative,0.03695353597483949
sentiment_subjectivity,0.221985,0.12799,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5766,0.221985,-0.04323145471941176,0.2821963823417973,0.48761609907120745,0.5123839009287926,Negative,0.15319634089102624
