feature,Logistic Regression,XGBoost,correct_mean_std,incorrect_mean_std
C_ratio*,-0.28195639950752605,0.008786101825535297,0.9872 ± 0.0307,0.9902 ± 0.0248
D_ratio,-0.05889877281183009,0.0,0.0031 ± 0.0127,0.0022 ± 0.0107
E_ratio,-0.06977047463478878,0.032137684524059296,0.0057 ± 0.0196,0.0042 ± 0.0165
I_ratio,0.16865135609762247,0.0,0.0002 ± 0.003,0.0003 ± 0.0046
N_ratio,0.5227075493084145,0.03355688601732254,0.0038 ± 0.0195,0.0031 ± 0.0144
adj_ratio,0.2890003432981793,0.019997410476207733,0.0611 ± 0.0495,0.0584 ± 0.0494
adv_ratio*,0.05175022044670438,0.025180542841553688,0.0233 ± 0.0382,0.0281 ± 0.0397
anger*,0.01285632646393443,0.028615042567253113,0.1099 ± 0.2014,0.1411 ± 0.2163
avg_dependency_depth,0.0,0.0,1.0 ± 0.0,1.0 ± 0.0
avg_word_length,-0.7072949610849076,0.02640603668987751,4.8024 ± 0.81,4.7133 ± 0.8786
certainty_adjectives_count,0.1669096836802938,0.028501834720373154,0.216 ± 0.4773,0.2309 ± 0.4747
certainty_adverbs_count,0.0962486614660134,0.012559409253299236,0.1089 ± 0.3288,0.1253 ± 0.3618
certainty_verbs_count*,0.11782259124059989,0.03545237332582474,0.2105 ± 0.4928,0.2916 ± 0.6001
disgust,0.08180590294727047,0.021031219512224197,0.0123 ± 0.0678,0.0106 ± 0.0624
doubt_adjectives_count*,-0.16853914923369662,0.013674302957952023,0.0853 ± 0.2796,0.1214 ± 0.3464
doubt_adverbs_count*,-0.23111839647756238,0.02307642064988613,0.1924 ± 0.4423,0.2982 ± 0.5845
doubt_verbs_count,0.021767240829518815,0.0,0.0272 ± 0.1629,0.0185 ± 0.1347
fear*,-0.3159851675672912,0.028774620965123177,0.1976 ± 0.3022,0.3806 ± 0.3817
function_word_ratio*,0.07357959986374546,0.019953904673457146,0.2649 ± 0.1296,0.2895 ± 0.14
hapax_legomena*,0.0980494121861594,0.024905087426304817,0.8576 ± 0.1228,0.8291 ± 0.132
hedge_C_count*,0.03291259548997226,0.06432431936264038,16.0853 ± 4.5188,18.9274 ± 8.7676
hedge_D_count,0.12569027063681457,0.0,0.0581 ± 0.2341,0.0449 ± 0.2071
hedge_E_count,0.20613455183046697,0.04134034365415573,0.0998 ± 0.3451,0.0765 ± 0.2758
hedge_I_count,-0.2744017095455424,0.0,0.0036 ± 0.0602,0.0092 ± 0.1405
hedge_N_count,-0.5824055467060061,0.0,0.0744 ± 0.3813,0.0765 ± 0.3516
hedges_score,-0.12177507314418524,0.04484943673014641,0.1793 ± 0.3697,0.1607 ± 0.3534
joy*,0.27578395679763684,0.026128320023417473,0.1552 ± 0.2156,0.0826 ± 0.1674
noun_ratio*,0.608184977510464,0.03735530003905296,0.4669 ± 0.1334,0.4125 ± 0.1474
pronoun_ratio*,-0.1690596694483936,0.02220259979367256,0.0181 ± 0.0316,0.0304 ± 0.0435
punctuation_density*,0.38807557021293043,0.029491694644093513,0.3998 ± 0.1727,0.3598 ± 0.1716
punctuation_usage,-0.13849989825290232,0.019239289686083794,0.0822 ± 0.0624,0.0832 ± 0.0587
readability_score,0.010957015152509367,0.018763987347483635,9.441 ± 3.7138,9.3862 ± 3.96
sadness,-0.021944261474623063,0.018660185858607292,0.1009 ± 0.1763,0.0949 ± 0.175
sentence_count*,-0.29420244632989817,0.05505608022212982,1.3848 ± 0.6775,1.8496 ± 1.2114
sentence_length_variation*,-0.06039166709841219,0.02256442792713642,1.2304 ± 2.3248,2.3611 ± 3.4104
sentiment_polarity,-0.020219935297787685,0.01955685392022133,0.056 ± 0.2288,0.0493 ± 0.2259
sentiment_subjectivity,0.0048579362877476,0.02592017874121666,0.2632 ± 0.3229,0.2818 ± 0.2997
std_word_length*,0.3104626908283343,0.017907636240124702,3.695 ± 0.7758,3.5614 ± 0.9037
stopword_ratio*,0.2283738919133934,0.021646173670887947,0.2062 ± 0.1105,0.2327 ± 0.1224
subordinate_clause_ratio,0.0865917473306346,0.018926214426755905,0.04 ± 0.049,0.0428 ± 0.0474
surprise*,0.17004295347374013,0.04171023145318031,0.1755 ± 0.1925,0.1124 ± 0.1671
type_token_ratio*,0.03320018722332936,0.022329796105623245,0.9208 ± 0.0729,0.9019 ± 0.0821
verb_ratio*,-0.006061933839591628,0.027388988062739372,0.1016 ± 0.0644,0.1211 ± 0.0706
word_count*,-0.15543992034344656,0.02202913723886013,21.4211 ± 5.6925,25.0026 ± 11.6014
