feature,Logistic Regression,XGBoost,correct_mean_std,incorrect_mean_std,median_cohens_d,effect_size_category
fear,-0.3351748701542784,0.0604624263942241,0.2079 ± 0.3054,0.3527 ± 0.3803,-0.514,medium
avg_word_length,-1.101270025724758,0.0314776040613651,4.6381 ± 0.7555,4.9631 ± 0.9030,-0.537,medium
function_word_ratio,0.6313038951608638,0.034839179366827,0.2909 ± 0.1352,0.2432 ± 0.1332,0.495,small
joy,0.2709438309806237,0.0255762636661529,0.1450 ± 0.2131,0.0775 ± 0.1376,0.397,small
stopword_ratio,0.1467530760228506,0.0239006355404853,0.2293 ± 0.1182,0.1937 ± 0.1190,0.427,small
std_word_length,0.4817813681645851,0.0201735757291317,3.5956 ± 0.8485,3.7770 ± 0.8245,-0.367,small
certainty_adjectives_count,0.2348823704224976,0.027269365265965448,0.2641 ± 0.4996,0.1300 ± 0.3548,0.348,small
surprise,-0.0220995021087771,0.028729535639286,0.1724 ± 0.1931,0.1193 ± 0.1575,0.327,small
punctuation_density,-0.0518547126450856,0.0203859712928533,0.3794 ± 0.1702,0.4071 ± 0.1681,-0.284,small
readability_score,0.0521036741898417,0.0159522742033004,8.9652 ± 3.8583,9.9380 ± 3.9033,-0.343,small
anger,-0.146226926228609,0.0219611972570419,0.0857 ± 0.1756,0.1310 ± 0.2082,-0.239,small
N_ratio,0.4532119088526369,0.0371527783572673,0.0055 ± 0.0212,0.0014 ± 0.0094,0.254,small
pronoun_ratio,0.0649209440784747,0.0241072867065668,0.0268 ± 0.0367,0.0201 ± 0.0371,0.264,small
sentiment_subjectivity,0.1720796553026487,0.0228236112743616,0.3025 ± 0.3222,0.2353 ± 0.3094,0.278,small
adv_ratio,0.1387824441677553,0.0193489845842123,0.0277 ± 0.0392,0.0202 ± 0.0332,0.258,small
certainty_adverbs_count,0.0143811715609022,0.0324701592326164,0.1596 ± 0.4110,0.0898 ± 0.2970,0.231,small
hedge_N_count,-0.3262062997321978,0.058794368058443,0.1027 ± 0.3867,0.0372 ± 0.2464,0.213,small
