dataset,subdataset,sentence,flag,Bert,BiGRU,BiLSTM,Distilbert,GRU,LSTM,RNN,Roberta,Smallbert,Status
SemEval_2014,ambience_ambience,"A small, outdoor eating area makes for a private, comfortable space to study alone or meet up with friends.",explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,ambience_ambience,Alias is warm and cozy and you don't get that squished-in feeling you get at 71 Clinton.,implicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,ambience_ambience,"Although somewhat loud, the noise was minimally intrusive.",explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,ambience_ambience,Cool atmosphere but such a let down.,explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,ambience_ambience,"If you're craving some serious indian food and desire a cozy ambiance, this is quite and exquisite choice.",explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,ambience_ambience,Intimate but charming interior with extremely friendly and attentive service.,explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,ambience_ambience,"Not only is the service great, but forming conversation around a table is so easy beacuse the atmosphere can be both romantic and comfortable.",explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,ambience_ambience,The Deco and ambiance was really romantic.,explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,ambience_ambience,"The ambiance was fine, a little loud but still nice and romantic.",explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,ambience_ambience,"The ambiance was pretty cool, but not worth the hassle.",explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,ambience_ambience,The ambience is also more laid-back and relaxed.,explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,ambience_ambience,"The atmosphere is attractive, but a little uncomfortable.",explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,ambience_ambience,"The atmosphere is warm, comfortable, artsy and sexy.",explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,ambience_ambience,"The atmosphere takes you to that place, the place many dream of.",explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,ambience_ambience,The atmosphere was nice but it was a little too dark.,explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,ambience_ambience,"The crowd was older and the restaurant is very cramped, but it has old school charm.",implicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,ambience_ambience,The design is very intimate and romantic.,explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,ambience_ambience,The downstairs bar scene is very cool and chill...,explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,ambience_ambience,The restaurant was quiet and intimate.,implicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,ambience_ambience,"The room is a gorgeous, bi-level space and the long bar perfect for a drink.",explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,ambience_ambience,it is a cozy place to go with a couple of friends.,explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,ambience_ambience,"the atmosphere is very nice, and a welcome escape from the rest of the SI mall.",explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,ambience_ambience,"they really provide a relaxing, laid-back atmosphere.",explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,""" The menu includes pub fare--burgers, steaks and shepherds pie--and even a portabella lasagna for those black sheep known as ""vegetarians.",explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,(The sashimi is cut a little thinly.,explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"A beautiful atmosphere, perfect for drinks and/or appetizers.",explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"A small, outdoor eating area makes for a private, comfortable space to study alone or meet up with friends.",explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"After so many great reviews here, my bf and I went to Esca to celebrate my birthday last nite.",implicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,Alias is warm and cozy and you don't get that squished-in feeling you get at 71 Clinton.,implicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"All are GREAT - poori, naan, paratha all FRESH.",explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,All of the apetizers are good and the Sangria is very good.,explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"All toppings are so fresh you'd think they had their own vegetable garden and the crust is so perfect, that one actually thinks of how it was made.",explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"All-time favorites include the Big Mac, Chicken McNuggets, Filet-O-Fish sandwich and McDonald's famous french fries; lighter options like entree-sized salads are also available.",explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"Also, the chick peas with shrimp (appetizer) is divine.",explicit,True,True,True,True,True,True,True,True,True,Correct
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"Also, the staff is very attentive and really personable.",explicit,True,True,True,True,True,True,True,True,True,Correct
