target,text,stance
school_closures,Right to  quality education is a fundamental right and schools are doing it to the best online,1
school_closures,"@SnehalSolanki09 @PMOIndia @narendramodi @imBhupendrasinh @vijayrupanibjp Govt is very irresponsible towards school teachers we have not got salary from last five months, its okay you can't open schools that too due to your irresponsible behaviour towards covid 19 but govt should also support private tutors of schools and coachings",1
school_closures,Wasn’t the plan digital India? So why not now? Let’s support each other and work for it. Online teaching is a wonderful new learning experience. Allow schools to operate  #SaveOurSchools #RightToLearn @imBhupendrasinh @CMOGuj,1
school_closures,Reopening schools is the height of insanity.,1
school_closures,Online teaching is also a service and teachers need to be paid. Schools need to survive.,1
school_closures,During these testing times Gujarat government should support schools that are finding new ways to bring normalcy in the lives of the school going children.,0
school_closures,"I want to go back to my campus and dorm yes, only I really want people to wear a mask or if they can’t do that then stay home.",0
school_closures,"@ZacBissonnette That video, my god. I'm as progressive as the next person and I dearly hope Trump will lose, but I can't remember the last time I watched such a cynical, fear-mongering piece of propaganda. Keeping schools closed will be devastating for our most vulnerable children.",0
school_closures,"@JoeBiden No we aren’t, many children are being left behind by closed schools",0
school_closures,"@realDonaldTrump wants to open schools this fall so like clockwork the Dems declare that they want them closed 

Predictable 

He should pull a George Costanza and propose the opposite so that the Dems end up doing GOP policy",0
school_closures,"@IOL Mmusi F%CKOFF !
There is no virus! The tests are not testing for any virus!
#EndLockdownSA #EndLockdownNow",0
school_closures,@BetsyDeVosED @VP you are awful! please stay out of education and our schools.,2
school_closures,"Kids felt disconnected from the world during this pandemic and online classes brought back the lost smile to their faces. Let the schools function.
#SaveOurSchools @imBhupendrasinh @PMOIndia @CMOGuj #RightToTeach",2
school_closures,"Please leave the political B/S aside. 
If you have kids 6th grade or under would you send them to school?
#vote ",2
school_closures,How can we let science lead the way for opening schools in the Fall when there isn’t one ‘scientific’ approach to dealing with COVID-19? #Covid_19,2
school_closures,imagine...@BetsyDeVosED and @realDonaldTrump trying to threaten public schools...by cutting their funding... lol what a NEW and spooky threat,2
school_closures,"They just canceled school for the next 3 weeks in Fort Wayne, Indiana. #coronavirus",2
school_closures,"If we gonna shut down schools we mustn’t do it cause of #COVID19 we must do it cause the school system doesn’t work,niggers been going to school and niggers are still broke and stupid :joy:",2
