feature,shap_importance,iteration,stance,model
punctuation_density,1.1822467427626244,8,AGAINST,Logistic Regression
fear,1.081289337272664,8,AGAINST,Logistic Regression
surprise,0.9397759370617106,8,AGAINST,Logistic Regression
verb_ratio,0.685929586910037,8,AGAINST,Logistic Regression
noun_ratio,0.633899670849786,8,AGAINST,Logistic Regression
anger,0.6155373905501696,8,AGAINST,Logistic Regression
function_word_ratio,0.43040315878244134,8,AGAINST,Logistic Regression
punctuation_usage,0.33496712307567394,8,AGAINST,Logistic Regression
hedge_N_count,0.3121130810567072,8,AGAINST,Logistic Regression
adv_ratio,0.29657681139381714,8,AGAINST,Logistic Regression
hedge_E_count,0.29311427551772873,8,AGAINST,Logistic Regression
sadness,0.28670407940215936,8,AGAINST,Logistic Regression
disgust,0.2527388656495084,8,AGAINST,Logistic Regression
sentence_count,0.22834237724163886,8,AGAINST,Logistic Regression
E_ratio,0.21538581337649476,8,AGAINST,Logistic Regression
adj_ratio,0.21520164394493435,8,AGAINST,Logistic Regression
certainty_adjectives_count,0.21083898011413418,8,AGAINST,Logistic Regression
joy,0.20561027169881413,8,AGAINST,Logistic Regression
readability_score,0.20389334066776071,8,AGAINST,Logistic Regression
N_ratio,0.19860403436075308,8,AGAINST,Logistic Regression
sentiment_subjectivity,0.18287863024543852,8,AGAINST,Logistic Regression
hapax_legomena,0.16286172066667812,8,AGAINST,Logistic Regression
pronoun_ratio,0.15147753805071532,8,AGAINST,Logistic Regression
hedge_C_count,0.14080037295511896,8,AGAINST,Logistic Regression
subordinate_clause_ratio,0.13827942380579197,8,AGAINST,Logistic Regression
hedge_D_count,0.13711429739990177,8,AGAINST,Logistic Regression
type_token_ratio,0.13663048901728117,8,AGAINST,Logistic Regression
certainty_verbs_count,0.12465954376095036,8,AGAINST,Logistic Regression
hedges_score,0.11301692458021016,8,AGAINST,Logistic Regression
doubt_adjectives_count,0.11154166931677605,8,AGAINST,Logistic Regression
std_word_length,0.10404491661017529,8,AGAINST,Logistic Regression
word_count,0.09733230307766187,8,AGAINST,Logistic Regression
doubt_adverbs_count,0.09608491683986767,8,AGAINST,Logistic Regression
C_ratio,0.08424608620686666,8,AGAINST,Logistic Regression
avg_word_length,0.062267721884978526,8,AGAINST,Logistic Regression
hedge_I_count,0.05692199506883469,8,AGAINST,Logistic Regression
sentiment_polarity,0.05478921857663267,8,AGAINST,Logistic Regression
certainty_adverbs_count,0.04742783035995049,8,AGAINST,Logistic Regression
stopword_ratio,0.030104845245434303,8,AGAINST,Logistic Regression
I_ratio,0.01478805992346153,8,AGAINST,Logistic Regression
D_ratio,0.011641769935835733,8,AGAINST,Logistic Regression
sentence_length_variation,0.007848648870520294,8,AGAINST,Logistic Regression
doubt_verbs_count,0.00382748668540206,8,AGAINST,Logistic Regression
avg_dependency_depth,0.0,8,AGAINST,Logistic Regression
