feature,p_value,significance,correct_mean,incorrect_mean,correct_mean_std,incorrect_mean_std,XGBoost_coef
hedge_N_count*,0.002654141102450886,*,0.1207,0.0372,0.1207 ± 0.4327,0.0372 ± 0.2464,0.13235682249069214
hedge_D_count,0.2891222459699628,,0.0279,0.0433,0.0279 ± 0.1648,0.0433 ± 0.2039,0.06070944666862488
fear*,1.0971386297079897e-13,*,0.1573,0.3527,0.1573 ± 0.2631,0.3527 ± 0.3803,0.045038510113954544
hedges_score,0.35971408064124677,,0.1697,0.1444,0.1697 ± 0.3638,0.1444 ± 0.3387,0.04309508576989174
surprise*,2.9183321107149677e-06,*,0.1875,0.1193,0.1875 ± 0.2065,0.1193 ± 0.1575,0.04108070582151413
N_ratio*,0.0004978468255183727,*,0.0058,0.0014,0.0058 ± 0.0206,0.0014 ± 0.0094,0.040172383189201355
type_token_ratio,0.6456069822016172,,0.9159,0.9132,0.9159 ± 0.0689,0.9132 ± 0.0846,0.03651883825659752
hedge_E_count,0.6697140763775987,,0.0712,0.0805,0.0712 ± 0.2807,0.0805 ± 0.2725,0.0339202806353569
pronoun_ratio*,0.004103177422005217,*,0.0289,0.0201,0.0289 ± 0.0405,0.0201 ± 0.0371,0.033914655447006226
sentiment_polarity*,0.00283604002539479,*,0.0832,0.0299,0.0832 ± 0.2521,0.0299 ± 0.1967,0.03350437432527542
function_word_ratio*,2.0189647639582735e-11,*,0.3158,0.2432,0.3158 ± 0.1373,0.2432 ± 0.1332,0.03235013037919998
word_count,0.6051256132209181,,22.9814,22.6161,22.9814 ± 5.4425,22.6161 ± 11.4662,0.030451325699687004
joy*,8.047762390686388e-08,*,0.1583,0.0775,0.1583 ± 0.2295,0.0775 ± 0.1376,0.027324989438056946
subordinate_clause_ratio,0.12297705497925542,,0.0447,0.0384,0.0447 ± 0.0568,0.0384 ± 0.047,0.026846494525671005
anger*,0.005057831122594087,*,0.0866,0.131,0.0866 ± 0.1926,0.131 ± 0.2082,0.024773497134447098
punctuation_density*,0.0039030401667166387,*,0.3672,0.4071,0.3672 ± 0.1818,0.4071 ± 0.1681,0.023933570832014084
hedge_C_count,0.05512894642312376,,17.6718,16.7307,17.6718 ± 4.8637,16.7307 ± 7.3382,0.023315884172916412
noun_ratio*,0.0405422650886929,*,0.4342,0.4568,0.4342 ± 0.1294,0.4568 ± 0.1498,0.02263532020151615
avg_word_length*,2.5037884615662984e-10,*,4.5543,4.9631,4.5543 ± 0.7003,4.9631 ± 0.903,0.02253296598792076
adj_ratio,0.06315490852292335,,0.0612,0.054,0.0612 ± 0.0481,0.054 ± 0.0503,0.02242746390402317
disgust,0.15173864283515026,,0.0158,0.0076,0.0158 ± 0.0884,0.0076 ± 0.0531,0.02045367658138275
std_word_length*,3.0598818692257725e-05,*,3.5045,3.777,3.5045 ± 0.8246,3.777 ± 0.8245,0.019049979746341705
verb_ratio,0.2843241118177533,,0.107,0.1131,0.107 ± 0.0709,0.1131 ± 0.0735,0.018545418977737427
sentence_length_variation,0.8252945854182423,,1.577,1.6253,1.577 ± 2.5581,1.6253 ± 2.9837,0.01838446781039238
sentence_count,0.34450382778774913,,1.5108,1.582,1.5108 ± 0.7533,1.582 ± 1.1237,0.0183838102966547
punctuation_usage,0.4626841986568183,,0.0879,0.084,0.0879 ± 0.0759,0.084 ± 0.0569,0.016525371000170708
certainty_verbs_count,0.06280529458456766,,0.2663,0.195,0.2663 ± 0.508,0.195 ± 0.4619,0.016364237293601036
hapax_legomena,0.919652873195399,,0.8487,0.8478,0.8487 ± 0.1119,0.8478 ± 0.1352,0.01618153601884842
sadness,0.8771356205589289,,0.0962,0.0984,0.0962 ± 0.1798,0.0984 ± 0.1787,0.016015293076634407
adv_ratio*,6.4118765680429e-05,*,0.0328,0.0202,0.0328 ± 0.0452,0.0202 ± 0.0332,0.015181299299001694
stopword_ratio*,5.987778253178795e-08,*,0.246,0.1937,0.246 ± 0.1235,0.1937 ± 0.119,0.014538660645484924
doubt_adverbs_count*,0.01330961788767067,*,0.3127,0.2136,0.3127 ± 0.521,0.2136 ± 0.493,0.014481623657047749
sentiment_subjectivity*,0.0007569496376416274,*,0.3222,0.2353,0.3222 ± 0.3427,0.2353 ± 0.3094,0.014085683040320873
readability_score*,3.99873616965109e-05,*,8.7498,9.938,8.7498 ± 3.3789,9.938 ± 3.9033,0.010590129531919956
C_ratio,0.12444490194569352,,0.988,0.9913,0.988 ± 0.0294,0.9913 ± 0.0234,0.0086875781416893
doubt_adjectives_count,0.9019490330857416,,0.1053,0.1084,0.1053 ± 0.3173,0.1084 ± 0.3211,0.004881952423602343
certainty_adjectives_count*,2.3504881296909572e-05,*,0.2817,0.13,0.2817 ± 0.5327,0.13 ± 0.3548,0.0007465470116585493
avg_dependency_depth,,,1.0,1.0,1.0 ± 0.0,1.0 ± 0.0,
certainty_adverbs_count*,0.0001810702495859326,*,0.2074,0.0898,0.2074 ± 0.4765,0.0898 ± 0.297,
doubt_verbs_count,0.5245979304160455,,0.0186,0.0124,0.0186 ± 0.1352,0.0124 ± 0.1108,
hedge_I_count,0.527313735095598,,0.0031,0.0093,0.0031 ± 0.0556,0.0093 ± 0.1669,
D_ratio,0.3236909835981149,,0.0015,0.0022,0.0015 ± 0.0088,0.0022 ± 0.0115,
E_ratio,0.8005152115229048,,0.0046,0.0049,0.0046 ± 0.0183,0.0049 ± 0.0182,
I_ratio,0.8468362782831754,,0.0001,0.0002,0.0001 ± 0.0025,0.0002 ± 0.0033,
