target,text,stance,dataset,word_count,sentence_count,avg_word_length,std_word_length,type_token_ratio,hapax_legomena,stopword_ratio,punctuation_density,noun_ratio,verb_ratio,adj_ratio,adv_ratio,pronoun_ratio,avg_dependency_depth,function_word_ratio,punctuation_usage,readability_score,sentence_length_variation,subordinate_clause_ratio,sentiment_polarity,sentiment_subjectivity,anger,joy,fear,sadness,disgust,surprise,certainty_adverbs_count,certainty_verbs_count,certainty_adjectives_count,doubt_adverbs_count,doubt_verbs_count,doubt_adjectives_count,hedges_score,hedge_C_count,hedge_D_count,hedge_E_count,hedge_I_count,hedge_N_count,C_ratio,D_ratio,E_ratio,I_ratio,N_ratio,type,label
healthcare,#CVS to close $66 BILLION deal to buy health insurer #Aetna on Monday https://t.co/0LtzD5tsEg #morningnews #insurance #health #stocks,1,wtwt,27.0,1.0,4.296296296296297,3.689974553910203,0.7407407407407407,0.6296296296296297,0.1111111111111111,0.4444444444444444,0.4444444444444444,0.074074074074074,0.037037037037037,0.0,0.0,1.0,0.12,0.037037037037037,6.8,0.0,0.037037037037037,0.0,0.0,0.0096144340932369,0.0045559331774711,0.9704194068908693,0.0103134540840983,0.0004410769615788,0.0037572556175291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1
entertainment,FOX says Gotham (aka DC) isn't in danger due to the Disney/Marvel merger. Don't expect any conflicts. #TCA18,2,wtwt,25.0,3.0,3.64,2.769548699698201,0.92,0.84,0.24,0.32,0.32,0.16,0.04,0.08,0.0,1.0,0.3333333333333333,0.08,4.4,5.0990195135927845,0.04,-0.125,0.375,0.0030589760281145,0.0018737300997599,0.9834156036376952,0.0047686868347227,0.0003057406865991,0.0017014046898111,0.0,0.0,0.0,0.0,0.0,0.0,0.9281601309776306,17.0,1.0,0.0,0.0,0.0,0.9444444444444444,0.0555555555555555,0.0,0.0,0.0,,1
healthcare,"#Cigna and Express scripts, responsible for #healthcare of 80 million Americans, to merge | #pharmacy https://t.co/bBdz9hPf5X",1,wtwt,23.0,1.0,4.782608695652174,4.106797353054424,0.8695652173913043,0.782608695652174,0.1739130434782608,0.4782608695652174,0.3478260869565217,0.0434782608695652,0.0434782608695652,0.0,0.0,1.0,0.1904761904761904,0.0434782608695652,12.7,0.0,0.0,0.2,0.55,0.0054346458055078,0.0032338534947484,0.9865956902503968,0.0020238736178725,0.0001578114024596,0.0020087459124624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0
Donald Trump,@AppSame  obama and hillary and ordoughan and the Khomeinians and MB And ISIS are all serving the Freemasonry  #SemST,2,semeval,21.0,1.0,4.619047619047619,2.886358563941284,0.8095238095238095,0.7142857142857143,0.4285714285714285,0.0952380952380952,0.2857142857142857,0.0952380952380952,0.1428571428571428,0.0,0.0,1.0,0.4090909090909091,0.0,11.693684210526316,0.0,0.0,0.0,0.0,0.0982374846935272,0.0964435636997222,0.7155341506004333,0.042047195136547,0.0013206923613324,0.0348874479532241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,test,0
healthcare,"A judge blocked the Anthem-Cigna health insurance merger. What does that mean for Colo 
 https://t.co/dOA5SPJJTZ https://t.co/Xw1MbQtOFL",0,wtwt,21.0,2.0,5.666666666666667,4.507489358552088,0.9047619047619048,0.8095238095238095,0.2857142857142857,0.5714285714285714,0.4761904761904761,0.0952380952380952,0.0476190476190476,0.0,0.0,1.0,0.3,0.1428571428571428,7.6,0.0,0.0,-0.3125,0.6875,0.271487683057785,0.0126629015430808,0.4707080721855163,0.0677187666296958,0.0090094106271862,0.0542235821485519,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1
entertainment,Why should Disney acquire Fox when they already have all the fox they'll ever need right here in this lady-killer https://t.co/YSmb4Yq1As,0,wtwt,24.0,1.0,4.875,3.2056265638197265,0.9583333333333334,0.9166666666666666,0.4583333333333333,0.2916666666666667,0.2083333333333333,0.125,0.0416666666666666,0.1666666666666666,0.0833333333333333,1.0,0.5833333333333334,0.0416666666666666,9.1,0.0,0.0416666666666666,0.2857142857142857,0.5357142857142857,0.2191765904426574,0.01503596175462,0.0989326015114784,0.0607390664517879,0.0084806755185127,0.2991232275962829,0.0,2.0,0.0,1.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0
Feminist Movement,"@verilymary @taylynneduvall no, men need a movement that will help them not hurt them #SemST",0,semeval,19.0,1.0,4.105263157894737,3.2750208812850623,0.8947368421052632,0.7894736842105263,0.3684210526315789,0.2105263157894736,0.2631578947368421,0.1578947368421052,0.1052631578947368,0.1052631578947368,0.1052631578947368,1.0,0.4117647058823529,0.0,6.780000000000001,0.0,0.1052631578947368,0.0,0.0,0.1545986831188202,0.0217413827776908,0.7484146356582642,0.0634855777025222,0.000574427016545,0.0043621407821774,0.0,1.0,1.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,test,0
entertainment,Sir Martin Sorrell hints #media mergers like #Fox/#Disney will drive agency consolidation https://t.co/wKwBbP01Fp… https://t.co/xVimhGbR8G,2,wtwt,22.0,1.0,5.681818181818182,4.596306458217429,0.8181818181818182,0.6818181818181818,0.0454545454545454,0.6363636363636364,0.5909090909090909,0.0454545454545454,0.0454545454545454,0.0,0.0,1.0,0.0555555555555555,0.0909090909090909,14.7,0.0,0.0454545454545454,0.0,0.0,0.0467226281762123,0.044779784977436,0.8738977313041687,0.0218906328082084,0.000391647015931,0.0095122270286083,0.0,1.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1
healthcare,Carl Icahn drops his fight against the Cigna-Express Scripts deal https://t.co/j8FLD5C5mQ,2,wtwt,13.0,1.0,6.076923076923077,4.177992496615468,1.0,1.0,0.2307692307692307,0.4615384615384615,0.5384615384615384,0.0769230769230769,0.0769230769230769,0.0,0.0769230769230769,1.0,0.2307692307692307,0.0769230769230769,7.6,0.0,0.0,0.0,0.0,0.1676297932863235,0.0272170025855302,0.0348960645496845,0.1380855292081833,0.0064462646842002,0.0407431311905384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0
Joe Biden,"#Biden Perhaps he can stand on #Bloomberg's booster box, he does not need it any more.",0,pstance,21.0,1.0,3.380952380952381,2.148669366224472,0.9047619047619048,0.8095238095238095,0.4285714285714285,0.238095238095238,0.1904761904761904,0.1428571428571428,0.0,0.1428571428571428,0.1428571428571428,1.0,0.5238095238095238,0.0476190476190476,6.137499999999999,0.0,0.0476190476190476,0.5,0.5,0.1407045572996139,0.0175348538905382,0.6397827863693237,0.077666126191616,0.0037205193657428,0.0513137392699718,1.0,1.0,0.0,0.0,0.0,0.0,0.9614593386650084,15.0,0.0,1.0,0.0,0.0,0.9375,0.0,0.0625,0.0,0.0,test,1
