feature,shap_importance,linear_importance,linear_std,linear_count,_merge,shap_rank,linear_rank,overlap_status
punctuation_density,0.73782,0.053505953687887874,0.04145575971958893,13.0,both,1.0,2.0,Both methods
disgust,0.568787,0.02849229876525122,0.010169191021866102,13.0,both,2.0,15.0,Both methods
joy,0.516387,0.03447213998207676,0.023449538797620254,13.0,both,3.0,10.0,Both methods
noun_ratio,0.475948,0.03879894043963684,0.03236589416676652,13.0,both,4.0,6.0,Both methods
function_word_ratio,0.458464,0.028162739741114436,0.014909949700374741,13.0,both,5.0,17.0,Both methods
std_word_length,0.439033,0.060264176689088296,0.058096513498700535,13.0,both,6.0,1.0,Both methods
surprise,0.430961,0.03766504431573241,0.01930053857190228,13.0,both,7.0,9.0,Both methods
anger,0.346162,0.020137318517439592,0.009788381025720503,13.0,both,8.0,28.0,Both methods
verb_ratio,0.34593,0.024453109918305446,0.011041437627565327,13.0,both,9.0,22.0,Both methods
readability_score,0.317565,0.022370459296955462,0.00994444905798366,13.0,both,10.0,23.0,Both methods
avg_word_length,0.293276,0.028957557148085143,0.010700296454470544,13.0,both,11.0,14.0,Both methods
hedge_C_count,0.29131,0.03817651252477208,0.038441168720348806,13.0,both,12.0,8.0,Both methods
word_count,0.247993,0.03849516364817432,0.03715822031699708,13.0,both,13.0,7.0,Both methods
sentiment_subjectivity,0.247252,0.020424781671653514,0.010403202915001361,13.0,both,14.0,26.0,Both methods
stopword_ratio,0.241617,0.028243376801793337,0.012261584559638385,13.0,both,15.0,16.0,Both methods
fear,0.238023,0.026172631563475456,0.011972177784825068,13.0,both,16.0,21.0,Both methods
sadness,0.235727,0.018619933452170584,0.008884043319241622,13.0,both,17.0,30.0,Both methods
sentence_length_variation,0.223335,0.02642761518319062,0.021540294706879,13.0,both,18.0,20.0,Both methods
adv_ratio,0.214627,0.02209854072246409,0.01697812913930712,13.0,both,19.0,24.0,Both methods
subordinate_clause_ratio,0.202039,0.027959603243149205,0.03295314423541769,13.0,both,20.0,18.0,Both methods
sentiment_polarity,0.201672,0.04177233741547047,0.02234465149348375,13.0,both,21.0,4.0,Both methods
type_token_ratio,0.198805,0.027483125432179477,0.012644321928928066,13.0,both,22.0,19.0,Both methods
punctuation_usage,0.19121,0.020208393116123345,0.0075602720335123845,13.0,both,23.0,27.0,Both methods
adj_ratio,0.18522,0.017325865821196444,0.007262391856728584,13.0,both,24.0,31.0,Both methods
certainty_verbs_count,0.138575,0.03417229572577131,0.03531424123530296,7.0,both,25.0,12.0,Both methods
pronoun_ratio,0.118651,0.021655511483550022,0.010542291495683122,10.0,both,26.0,25.0,Both methods
hapax_legomena,0.114287,0.018621958254908092,0.011580570249246564,13.0,both,27.0,29.0,Both methods
sentence_count,0.082904,0.02986909878046174,0.03075666929906948,13.0,both,28.0,13.0,Both methods
doubt_adjectives_count,0.034316,,,,left_only,29.0,38.0,SHAP only
C_ratio,0.028664,0.040710995555855285,0.03541944990387241,12.0,both,30.0,5.0,Both methods
doubt_adverbs_count,0.022492,0.034361666753991556,0.02607286990315124,9.0,both,31.0,11.0,Both methods
certainty_adjectives_count,0.016324,,,,left_only,32.0,38.0,SHAP only
hedges_score,0.01178,0.04447425529360766,0.040521254480805076,11.0,both,33.0,3.0,Both methods
E_ratio,0.003093,,,,left_only,34.0,38.0,SHAP only
hedge_N_count,0.002899,,,,left_only,35.0,38.0,SHAP only
certainty_adverbs_count,0.000571,,,,left_only,36.0,38.0,SHAP only
avg_dependency_depth,0.0,,,,left_only,40.5,38.0,SHAP only
N_ratio,0.0,,,,left_only,40.5,38.0,SHAP only
D_ratio,0.0,,,,left_only,40.5,38.0,SHAP only
I_ratio,0.0,,,,left_only,40.5,38.0,SHAP only
hedge_E_count,0.0,,,,left_only,40.5,38.0,SHAP only
hedge_D_count,0.0,,,,left_only,40.5,38.0,SHAP only
hedge_I_count,0.0,,,,left_only,40.5,38.0,SHAP only
doubt_verbs_count,0.0,,,,left_only,40.5,38.0,SHAP only
