feature,Logistic Regression,XGBoost,correct_mean_std,incorrect_mean_std
C_ratio,-0.15464744283492118,0.016978824511170387,0.9924 ± 0.0231,0.9913 ± 0.0234
D_ratio,-0.10903054647381147,0.0,0.0012 ± 0.008,0.0022 ± 0.0115
E_ratio,-0.04609648351654949,0.0,0.0045 ± 0.0178,0.0049 ± 0.0182
I_ratio,-0.06298275889298305,0.0,0.0 ± 0.0,0.0002 ± 0.0033
N_ratio,0.5011583037221592,0.0,0.002 ± 0.013,0.0014 ± 0.0094
adj_ratio,0.12612352293992887,0.025156507268548012,0.0596 ± 0.0536,0.054 ± 0.0503
adv_ratio,-0.036806403278246726,0.017621692270040512,0.0173 ± 0.0309,0.0202 ± 0.0332
anger*,-0.12680441099415612,0.03557053953409195,0.0866 ± 0.1584,0.131 ± 0.2082
avg_dependency_depth,0.0,0.0,1.0 ± 0.0,1.0 ± 0.0
avg_word_length,-0.19303881033834985,0.03280475363135338,4.9689 ± 0.9252,4.9631 ± 0.903
certainty_adjectives_count*,0.2704149200420377,0.02212713472545147,0.2043 ± 0.4335,0.13 ± 0.3548
certainty_adverbs_count,-0.016797515647309025,0.0,0.0743 ± 0.2853,0.0898 ± 0.297
certainty_verbs_count*,-0.006322840362219001,0.014163983054459095,0.1022 ± 0.3232,0.195 ± 0.4619
disgust,0.01105840240809126,0.037565018981695175,0.0083 ± 0.0499,0.0076 ± 0.0531
doubt_adjectives_count,-0.11582551275840207,0.0,0.096 ± 0.3054,0.1084 ± 0.3211
doubt_adverbs_count,-0.09542955554675692,0.022489462047815323,0.1486 ± 0.3733,0.2136 ± 0.493
doubt_verbs_count,0.15935179970219418,0.03463340550661087,0.0341 ± 0.1817,0.0124 ± 0.1108
fear*,-0.09156248941728393,0.03951322287321091,0.2958 ± 0.3444,0.3527 ± 0.3803
function_word_ratio,-0.0752301133955083,0.016965577378869057,0.2263 ± 0.1339,0.2432 ± 0.1332
hapax_legomena,0.34825909959488016,0.04409696161746979,0.8357 ± 0.1288,0.8478 ± 0.1352
hedge_C_count*,-0.7761750150214742,0.02638125605881214,15.1176 ± 4.6617,16.7307 ± 7.3382
hedge_D_count,-0.09118822485115649,0.0,0.0217 ± 0.1458,0.0433 ± 0.2039
hedge_E_count,-0.17065078457599717,0.05760607868432999,0.0712 ± 0.2807,0.0805 ± 0.2725
hedge_I_count,-0.06298275889298308,0.0,0.0 ± 0.0,0.0093 ± 0.1669
hedge_N_count,-0.5341469323212987,0.0,0.031 ± 0.2062,0.0372 ± 0.2464
hedges_score,0.09380311165121867,0.04796372726559639,0.1126 ± 0.3053,0.1444 ± 0.3387
joy*,0.08441839073864191,0.023905064910650253,0.1143 ± 0.1767,0.0775 ± 0.1376
noun_ratio*,0.1301802275502756,0.032906897366046906,0.4812 ± 0.131,0.4568 ± 0.1498
pronoun_ratio,0.12025762026469064,0.022092586383223534,0.0166 ± 0.0314,0.0201 ± 0.0371
punctuation_density*,-0.11331079951174679,0.024879414588212967,0.4425 ± 0.185,0.4071 ± 0.1681
punctuation_usage,-0.07681102256268528,0.020246675238013268,0.0821 ± 0.0565,0.084 ± 0.0569
readability_score,0.010615365104579355,0.028467806056141853,10.2802 ± 4.6708,9.938 ± 3.9033
sadness,0.043054046156953636,0.01912456937134266,0.0908 ± 0.1705,0.0984 ± 0.1787
sentence_count*,-0.19143988529864547,0.06152957305312157,1.4087 ± 0.7436,1.582 ± 1.1237
sentence_length_variation,0.06223992159154546,0.012464330531656742,1.218 ± 2.3239,1.6253 ± 2.9837
sentiment_polarity,0.08392343168514532,0.03201741725206375,0.0544 ± 0.2163,0.0299 ± 0.1967
sentiment_subjectivity,0.028576772711374432,0.021601462736725807,0.2313 ± 0.3014,0.2353 ± 0.3094
std_word_length*,0.17563730653203416,0.027088021859526634,3.9539 ± 0.9637,3.777 ± 0.8245
stopword_ratio,0.32598528307567337,0.02508387342095375,0.1799 ± 0.1117,0.1937 ± 0.119
subordinate_clause_ratio*,-0.059188667581919784,0.020746689289808273,0.027 ± 0.0429,0.0384 ± 0.047
surprise,0.08085415917493059,0.0234842412173748,0.1432 ± 0.162,0.1193 ± 0.1575
type_token_ratio,-0.4876199359987085,0.03382577747106552,0.9035 ± 0.0844,0.9132 ± 0.0846
verb_ratio*,-0.3085444070731726,0.04376806318759918,0.0852 ± 0.0687,0.1131 ± 0.0735
word_count*,0.44807238731011323,0.03512943163514137,20.9474 ± 5.8724,22.6161 ± 11.4662
