dataset,subdataset,sentence,flag,Bert,Distilbert,Roberta,Status
SemEval_2014,ambience_ambience,"I came to fresh expecting a great meal, and all I got was marginally so-so food served in a restaurant that was just so freezing we couldn't enjoy eating.",explicit,True,True,True,Misclassified
SemEval_2014,ambience_ambience,It's always quiet because it's awful.,implicit,True,True,True,Misclassified
SemEval_2014,ambience_ambience,"It's no-fuss, fast and delicious.",implicit,True,True,True,Misclassified
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"Actually, everyone who worked there seemed to be annoyed.",implicit,True,True,True,Misclassified
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,After dinner I heard music playing and discovered that there is a lounge downstairs.,explicit,True,True,True,Misclassified
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,Although I moved uptown I try to stop in as often as possible for the GREAT cheap food and to pay the friendly staff a visit.,explicit,True,True,True,Misclassified
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,Ask for the round corner table next to the large window.,explicit,True,True,True,Misclassified
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"Been to the one in Brooklyn for over 25 years, now I dont have to go over the bridge for the best pizza ....Hanx",explicit,True,True,True,Misclassified
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,Being Puerto Rican I know a thing or two about flan and this place serves one of the best (I hope Mom doesn't read this!).,explicit,True,True,True,Misclassified
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"Best Chinese on the Upper East, prompt delivery, good value.",explicit,True,True,True,Misclassified
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,Cool atmosphere but such a let down.,explicit,True,True,True,Misclassified
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"El Nidos one of the best restaurants in New York which I've ever been to, has a great variety of tasty, mouth watering pizza's.",explicit,True,True,True,Misclassified
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"For someone who used to hate Indian food, Baluchi's has changed my mid.",explicit,True,True,True,Misclassified
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,Had a great meal there this weekend before heading to the movies!,explicit,True,True,True,Misclassified
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,I also recommend the garlic knots.,explicit,True,True,True,Misclassified
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,I can't stand this dungeon.,implicit,True,True,True,Misclassified
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,I definitely enjoyed the food as well.,explicit,True,True,True,Misclassified
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,I had to flag down a third staff person for a fork... so now it's goodbye Little RUDE Pie Company.,explicit,True,True,True,Misclassified
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"I have been going to this restaurant for years, in the past the service was average and the food inconsistant.",explicit,True,True,True,Misclassified
SemEval_2014,anecdotes_miscellaneous_anecdotes_miscellaneous,"I highly recommend it for not just its superb cuisine, but also for its friendly owners and staff.",explicit,True,True,True,Misclassified
