target,text,stance
Hillary Clinton,"@tedcruz And, #HandOverTheServer she wiped clean + 30k deleted emails, explains dereliction of duty/lies re #Benghazi,etc #tcot #SemST",0
Hillary Clinton,Hillary is our best choice if we truly want to continue being a progressive nation. #Ohio #SemST,1
Hillary Clinton,"@TheView I think our country is ready for a female pres, it can't ever be Hillary #SemST",0
Hillary Clinton,I just gave an unhealthy amount of my hard-earned money away to the big gov't & untrustworthy IRS. #WhyImNotVotingForHillary #SemST,0
Hillary Clinton,@PortiaABoulger Thank you for adding me to your list #SemST,2
Hillary Clinton,Hillary can not win. Here's hoping the Dems offer a real candidate like Warren. #Warren2016 #SemST,0
Hillary Clinton,"Respect FOR the law and respect BY the law Yes, needed desperately.  #BaltimoreRiots #SemST",2
Hillary Clinton,I don't want to be appointed to an Ambassador post. #SemST,2
Hillary Clinton,"#StopHillary2016 @HillaryClinton if there was a woman with integrity and honesty I would vote for such as woman president, NO #SemST",0
Hillary Clinton,@HillaryClinton End lawless #ClintonFoundation. Jail Butcher of #Benghazi. #Arrest rapist #BillClinton. #HillaryClinton #SemST,0
Hillary Clinton,"Use your brain, keep Hillary out of the White House.Clinton2016 #SemST",0
Hillary Clinton,@HillaryClinton Hillary pandering with her logo. #ClintonFoundationscandal #ClintonCash #SemST,0
Hillary Clinton,"@readyforHRC @HillaryClinton #HillaryClinton, the US presidency is a testament to the success of #women their role in the world #SemST",1
Hillary Clinton,@CiaraAntaya cuz you know I'm such a feminist  #SemST,2
Hillary Clinton,2 million bogus followers on Twitter @HillaryClinton #WhyImNotVotingForHillary #SemST,0
Hillary Clinton,@lindasuhler : My name is Rebecca and my grandmother immigrated to Sunnybrook Farm. @twitchyteam #SemST,2
Hillary Clinton,Where's the campaign store is the real question? I am ready to buy some Hillary gear #SemST,1
Hillary Clinton,"It's a miracle, suddenly #Democrats don't mind having someone who voted for war. #SemST",0
Hillary Clinton,@smileitsalicia @greekgummybear2 now i can live in peace #SemST,2
Hillary Clinton,Hillary doesn't want to put anyone in prison anymore. Obviously worried about her own future. #SemST,0
Hillary Clinton,The only way I support Hillary was if Elizabeth Warren ran or Karl Marx was running #2016 #Clinton2016 #SemST,0
Hillary Clinton,@HomeOfUncleSam @ScotsFyre @RWNutjob1 @SA_Hartdegen She's too old to understand the internet...that she can be fact checked. #SemST,0
Hillary Clinton,Because Communist Breadlines are not my thing! #NoHillary #WhyImNotVotingForHillary #SemST,0
Hillary Clinton,"@HillaryClinton bad wife, bad role model for women, bad lawyer, bad First Lady, bad Senator, horrible Secretary of State. #SemST",0
Hillary Clinton,"Everything Hillary touches ends up being a scam, a lie, a cover-up, or a failure. William L. Just who we want as president. #SemST",0
Hillary Clinton,Yes HRC subject 2 dbl standard Smh Come on @billclinton @HillaryClinton U Knew @ClintonFdn Donations Would b Scrutinized; Spun! #SemST,0
Hillary Clinton,#Hillary to stop for #pizza today to garner the #Italian vote. #MSM is worthless. #libertynothillary #HillNo #SemST,0
Hillary Clinton,I want America to great again #WhyImNotVotingForHillary #SemST,0
