feature,Logistic Regression,XGBoost,correct_mean_std,incorrect_mean_std
C_ratio,0.013484081277742328,0.03307431563735008,0.9849 ± 0.0276,0.9879 ± 0.0283
D_ratio,0.8131504149330105,0.0,0.0038 ± 0.0125,0.0022 ± 0.0104
E_ratio,-0.07113174576256907,0.0,0.006 ± 0.017,0.004 ± 0.0164
I_ratio,0.15348611926212308,0.0,0.0003 ± 0.0033,0.0007 ± 0.0072
N_ratio,-0.5506774980705537,0.0,0.005 ± 0.0162,0.0052 ± 0.0188
adj_ratio,-0.3528070812221406,0.02438378520309925,0.0583 ± 0.047,0.0624 ± 0.0493
adv_ratio*,0.21655463942831132,0.008858464658260345,0.0533 ± 0.048,0.0377 ± 0.0474
anger*,0.7775473808970432,0.023327717557549477,0.32 ± 0.3203,0.1658 ± 0.2118
avg_dependency_depth,0.0,0.0,1.0 ± 0.0,1.0 ± 0.0
avg_word_length*,-0.710939007175054,0.02118515595793724,4.1334 ± 0.5371,4.4348 ± 0.8027
certainty_adjectives_count*,0.050896418137849515,0.0,0.4948 ± 0.8181,0.3306 ± 0.5599
certainty_adverbs_count*,-0.026292310413604893,0.0,0.3711 ± 0.6178,0.1653 ± 0.4243
certainty_verbs_count*,-0.074865873517253,0.01507275365293026,0.5979 ± 0.7591,0.3967 ± 0.6935
disgust*,0.42138769629391387,0.051517002284526825,0.0512 ± 0.1469,0.0086 ± 0.0275
doubt_adjectives_count*,0.3068557285320159,0.016319798305630684,0.2165 ± 0.414,0.1074 ± 0.3234
doubt_adverbs_count*,0.13605128529797167,0.007162462454289198,0.567 ± 0.7893,0.3554 ± 0.6023
doubt_verbs_count,-0.1973784270064234,0.0,0.0103 ± 0.1015,0.0289 ± 0.1679
fear,0.13560982371082742,0.02474747598171234,0.4398 ± 0.3706,0.45 ± 0.3765
function_word_ratio*,-0.8881909783202174,0.0194003414362669,0.4125 ± 0.1124,0.3371 ± 0.1373
hapax_legomena*,0.17572701601025315,0.014843489974737167,0.7703 ± 0.1203,0.8066 ± 0.1279
hedge_C_count*,0.3740838245206709,0.13639616966247559,31.5773 ± 11.7587,20.8471 ± 9.5268
hedge_D_count*,-0.2597742291267396,0.0,0.1237 ± 0.3611,0.0496 ± 0.2175
hedge_E_count*,0.7481676987216084,0.0,0.2062 ± 0.594,0.0744 ± 0.2783
hedge_I_count,0.04098726969948772,0.0,0.0103 ± 0.1015,0.0165 ± 0.1569
hedge_N_count,0.472337709002819,0.0,0.2165 ± 0.7104,0.1198 ± 0.4151
hedges_score*,-0.4639626046371231,0.008605627343058586,0.2749 ± 0.4265,0.1753 ± 0.3689
joy*,-1.1638454665120523,0.0652216225862503,0.0087 ± 0.0125,0.0664 ± 0.1736
noun_ratio*,-1.0297569986894861,0.013018843717873096,0.2875 ± 0.0855,0.3593 ± 0.1279
pronoun_ratio*,0.23555537411500788,0.01568489335477352,0.0639 ± 0.0486,0.0445 ± 0.0515
punctuation_density*,-1.6178533354562208,0.0769173875451088,0.1854 ± 0.071,0.3109 ± 0.1645
punctuation_usage,0.22011553571534648,0.03479185327887535,0.0736 ± 0.0451,0.0807 ± 0.0609
readability_score,0.4561838645930332,0.03058747760951519,8.6994 ± 5.1722,8.5089 ± 3.8744
sadness*,0.18268658319574196,0.01199660636484623,0.0614 ± 0.1232,0.1004 ± 0.1739
sentence_count*,-0.32031587048625243,0.025438716635107994,2.7732 ± 1.4325,2.1942 ± 1.3231
sentence_length_variation*,0.043686246246267296,0.007177258376032114,5.0413 ± 4.4773,3.0208 ± 3.364
sentiment_polarity*,-0.18133865847341415,0.030546577647328377,-0.0176 ± 0.2626,0.0628 ± 0.2466
sentiment_subjectivity*,0.26420419045661214,0.032806165516376495,0.4136 ± 0.2974,0.3112 ± 0.2814
std_word_length*,0.042763906919174005,0.019311998039484024,2.7406 ± 0.8007,3.2688 ± 0.9298
stopword_ratio*,0.2571905518095274,0.03738829120993614,0.3493 ± 0.0975,0.2727 ± 0.1208
subordinate_clause_ratio,-0.6377897117432998,0.053588561713695526,0.0506 ± 0.0351,0.048 ± 0.047
surprise,0.04508741212867685,0.02852850779891014,0.0564 ± 0.1497,0.0783 ± 0.1506
type_token_ratio*,0.13853486991498126,0.037166569381952286,0.8654 ± 0.0793,0.8863 ± 0.0813
verb_ratio,-0.7836905632794398,0.027558129280805588,0.1441 ± 0.0542,0.1356 ± 0.0615
word_count*,0.5491696554002312,0.04737592488527298,38.7938 ± 14.4964,27.2025 ± 11.7951
