feature,Logistic Regression,XGBoost,correct_mean_std,incorrect_mean_std
C_ratio*,-0.17044026232280154,0.013587035238742828,0.9837 ± 0.0347,0.9913 ± 0.0234
D_ratio,-0.11229142802646508,0.0,0.0039 ± 0.0138,0.0022 ± 0.0115
E_ratio,-0.09819104816979654,0.0,0.0055 ± 0.0194,0.0049 ± 0.0182
I_ratio,0.42101593129947995,0.0,0.0003 ± 0.0039,0.0002 ± 0.0033
N_ratio*,0.36682114037110164,0.05562233924865723,0.0065 ± 0.0251,0.0014 ± 0.0094
adj_ratio*,0.3349044240109487,0.016155550256371498,0.0617 ± 0.0482,0.054 ± 0.0503
adv_ratio*,0.19952224133619922,0.028433704748749733,0.0299 ± 0.0416,0.0202 ± 0.0332
anger*,-0.13799760734637756,0.02762666344642639,0.0773 ± 0.1677,0.131 ± 0.2082
avg_dependency_depth,0.0,0.0,1.0 ± 0.0,1.0 ± 0.0
avg_word_length*,-0.8481820813970259,0.030718328431248665,4.5607 ± 0.6814,4.9631 ± 0.903
certainty_adjectives_count*,0.15015514874920807,0.04038538038730621,0.2941 ± 0.5318,0.13 ± 0.3548
certainty_adverbs_count*,0.014381171560902292,0.003772575408220291,0.1703 ± 0.4004,0.0898 ± 0.297
certainty_verbs_count*,0.28454058894905765,0.01241022627800703,0.3127 ± 0.5829,0.195 ± 0.4619
disgust,0.26724084845148366,0.03131841868162155,0.0179 ± 0.0877,0.0076 ± 0.0531
doubt_adjectives_count,-0.22913457942914017,0.05221657082438469,0.0898 ± 0.2863,0.1084 ± 0.3211
doubt_adverbs_count,0.0075949907280723015,0.044578589498996735,0.2446 ± 0.4974,0.2136 ± 0.493
doubt_verbs_count*,0.12389269840565939,0.025105152279138565,0.0464 ± 0.2108,0.0124 ± 0.1108
fear*,-0.10786088322424439,0.07107394188642502,0.1819 ± 0.3014,0.3527 ± 0.3803
function_word_ratio*,0.6313038951608638,0.030425677075982094,0.3085 ± 0.1307,0.2432 ± 0.1332
hapax_legomena,0.8185885361827299,0.01716538891196251,0.8556 ± 0.1176,0.8478 ± 0.1352
hedge_C_count,-0.05920238192508995,0.05230993404984474,17.0588 ± 4.5513,16.7307 ± 7.3382
hedge_D_count,0.17383461778735723,0.0,0.0774 ± 0.2676,0.0433 ± 0.2039
hedge_E_count,0.10593266606322099,0.0,0.0991 ± 0.3561,0.0805 ± 0.2725
hedge_I_count,-0.4074201124312687,0.0,0.0062 ± 0.0786,0.0093 ± 0.1669
hedge_N_count*,-0.1651257605544369,0.0,0.1269 ± 0.4915,0.0372 ± 0.2464
hedges_score*,-0.044965259887773654,0.04269658401608467,0.2187 ± 0.3997,0.1444 ± 0.3387
joy*,0.474886433865215,0.025576263666152954,0.1578 ± 0.2236,0.0775 ± 0.1376
noun_ratio,0.762904451277986,0.018986478447914124,0.4473 ± 0.1386,0.4568 ± 0.1498
pronoun_ratio*,-0.047922839887919864,0.03150149807333946,0.0276 ± 0.0367,0.0201 ± 0.0371
punctuation_density*,-0.20688190746429452,0.021876724436879158,0.3448 ± 0.1647,0.4071 ± 0.1681
punctuation_usage,0.13659621376234327,0.01478368230164051,0.0765 ± 0.0657,0.084 ± 0.0569
readability_score*,-0.0793105317693855,0.016516773030161858,8.5981 ± 3.4118,9.938 ± 3.9033
sadness,0.16980664597370246,0.018569232895970345,0.0958 ± 0.172,0.0984 ± 0.1787
sentence_count,-0.1351392959469907,0.033701829612255096,1.4768 ± 0.7447,1.582 ± 1.1237
sentence_length_variation,-0.11836959937353816,0.015384864062070847,1.4508 ± 2.4411,1.6253 ± 2.9837
sentiment_polarity,-0.0025548195019363916,0.02071174792945385,0.0577 ± 0.2526,0.0299 ± 0.1967
sentiment_subjectivity*,0.09553648242513012,0.028029797598719597,0.3267 ± 0.338,0.2353 ± 0.3094
std_word_length*,0.3424323531058191,0.019991211593151093,3.4531 ± 0.7707,3.777 ± 0.8245
stopword_ratio*,0.05904671106324192,0.020719673484563828,0.2428 ± 0.1107,0.1937 ± 0.119
subordinate_clause_ratio,-0.08022976910178233,0.015886541455984116,0.0427 ± 0.0541,0.0384 ± 0.047
surprise*,0.3299294907484427,0.02745174430310726,0.2028 ± 0.2183,0.1193 ± 0.1575
type_token_ratio,-0.881871110709815,0.019456440582871437,0.9179 ± 0.0735,0.9132 ± 0.0846
verb_ratio,-0.17003225250924253,0.021237168461084366,0.1068 ± 0.0703,0.1131 ± 0.0735
word_count,-0.3056077786801577,0.034016259014606476,22.4087 ± 5.839,22.6161 ± 11.4662
