feature,shap_importance,iteration,stance,model
std_word_length,0.637721,8,NONE,XGBoost
surprise,0.59736526,8,NONE,XGBoost
anger,0.59484553,8,NONE,XGBoost
verb_ratio,0.58480376,8,NONE,XGBoost
fear,0.5538947,8,NONE,XGBoost
disgust,0.44330493,8,NONE,XGBoost
joy,0.35419628,8,NONE,XGBoost
word_count,0.34722206,8,NONE,XGBoost
avg_word_length,0.3382824,8,NONE,XGBoost
type_token_ratio,0.3371773,8,NONE,XGBoost
punctuation_density,0.29452673,8,NONE,XGBoost
function_word_ratio,0.28494266,8,NONE,XGBoost
adj_ratio,0.26496828,8,NONE,XGBoost
stopword_ratio,0.25970346,8,NONE,XGBoost
punctuation_usage,0.22269648,8,NONE,XGBoost
readability_score,0.20907542,8,NONE,XGBoost
sentiment_subjectivity,0.20391984,8,NONE,XGBoost
sentence_count,0.1955832,8,NONE,XGBoost
hedge_C_count,0.19240369,8,NONE,XGBoost
noun_ratio,0.17877623,8,NONE,XGBoost
sadness,0.17507918,8,NONE,XGBoost
subordinate_clause_ratio,0.16287723,8,NONE,XGBoost
sentiment_polarity,0.15805726,8,NONE,XGBoost
hapax_legomena,0.13057546,8,NONE,XGBoost
pronoun_ratio,0.10937264,8,NONE,XGBoost
adv_ratio,0.074778266,8,NONE,XGBoost
sentence_length_variation,0.06826662,8,NONE,XGBoost
doubt_adverbs_count,0.028181382,8,NONE,XGBoost
hedges_score,0.025604019,8,NONE,XGBoost
certainty_verbs_count,0.025404464,8,NONE,XGBoost
certainty_adjectives_count,0.01096058,8,NONE,XGBoost
certainty_adverbs_count,0.006018519,8,NONE,XGBoost
C_ratio,0.0035270501,8,NONE,XGBoost
avg_dependency_depth,0.0,8,NONE,XGBoost
doubt_adjectives_count,0.0,8,NONE,XGBoost
doubt_verbs_count,0.0,8,NONE,XGBoost
hedge_D_count,0.0,8,NONE,XGBoost
hedge_E_count,0.0,8,NONE,XGBoost
hedge_I_count,0.0,8,NONE,XGBoost
hedge_N_count,0.0,8,NONE,XGBoost
D_ratio,0.0,8,NONE,XGBoost
E_ratio,0.0,8,NONE,XGBoost
I_ratio,0.0,8,NONE,XGBoost
N_ratio,0.0,8,NONE,XGBoost
