feature,p_value,significance,correct_mean,incorrect_mean,correct_mean_std,incorrect_mean_std,XGBoost_coef
sentence_count,0.43556151286114986,,1.7772,1.8653,1.7772 ± 1.1213,1.8653 ± 1.0957,0.10617463290691376
doubt_adverbs_count*,0.000608466136142794,*,0.171,0.3679,0.171 ± 0.4041,0.3679 ± 0.6804,0.0784047320485115
hedge_C_count*,0.007377808686306491,*,17.9016,20.1969,17.9016 ± 7.4621,20.1969 ± 9.1903,0.05716243386268616
joy,0.05909734776625421,,0.1519,0.1112,0.1519 ± 0.2232,0.1112 ± 0.1993,0.049555398523807526
punctuation_usage*,0.0006420056494707917,*,0.0642,0.0851,0.0642 ± 0.0604,0.0851 ± 0.0591,0.047759972512722015
C_ratio,0.4522696989680549,,0.9932,0.9915,0.9932 ± 0.0234,0.9915 ± 0.0221,0.04513505846261978
fear*,6.69786300076177e-05,*,0.4963,0.3401,0.4963 ± 0.3805,0.3401 ± 0.3807,0.0443626344203949
word_count*,0.0048585798733024235,*,23.3679,26.2383,23.3679 ± 8.9364,26.2383 ± 10.8774,0.03727610781788826
surprise*,9.826096138474139e-06,*,0.0709,0.1437,0.0709 ± 0.1166,0.1437 ± 0.1934,0.03627742454409599
disgust*,0.030893672347968543,*,0.0028,0.0182,0.0028 ± 0.0118,0.0182 ± 0.098,0.0360487699508667
hedges_score*,0.0019956119070139843,*,0.0725,0.1698,0.0725 ± 0.2461,0.1698 ± 0.3583,0.03487927094101906
sentiment_polarity,0.2332567399173654,,0.0954,0.065,0.0954 ± 0.2579,0.065 ± 0.2426,0.031935278326272964
punctuation_density,0.0807404273812887,,0.3133,0.3419,0.3133 ± 0.1554,0.3419 ± 0.1662,0.030066123232245445
pronoun_ratio,0.18431706628346356,,0.0355,0.0297,0.0355 ± 0.0481,0.0297 ± 0.0373,0.029708141461014748
hapax_legomena,0.33140505263381126,,0.8132,0.8263,0.8132 ± 0.1381,0.8263 ± 0.1275,0.028672104701399803
std_word_length,0.08690197622421846,,3.4121,3.5676,3.4121 ± 0.881,3.5676 ± 0.8992,0.028245260939002037
adv_ratio,0.22923158812006625,,0.0247,0.0292,0.0247 ± 0.0361,0.0292 ± 0.0365,0.027673527598381042
anger,0.6642512670916998,,0.1174,0.1271,0.1174 ± 0.2041,0.1271 ± 0.2332,0.026065098121762276
type_token_ratio,0.0831146616568818,,0.8876,0.9025,0.8876 ± 0.0918,0.9025 ± 0.0757,0.023296503350138664
noun_ratio,0.24581242713830925,,0.3887,0.4052,0.3887 ± 0.135,0.4052 ± 0.1433,0.0216359905898571
adj_ratio,0.9187696108903511,,0.0613,0.0607,0.0613 ± 0.0517,0.0607 ± 0.0478,0.021368611603975296
sentence_length_variation,0.5195113323193115,,2.5296,2.7655,2.5296 ± 3.279,2.7655 ± 3.8857,0.020128419622778893
function_word_ratio,0.24770302029318822,,0.2925,0.3074,0.2925 ± 0.121,0.3074 ± 0.1308,0.020000210031867027
subordinate_clause_ratio,0.07632286374809445,,0.035,0.0434,0.035 ± 0.0454,0.0434 ± 0.048,0.019662415608763695
stopword_ratio,0.5233551561316097,,0.2406,0.2479,0.2406 ± 0.1156,0.2479 ± 0.1104,0.019009016454219818
verb_ratio,0.93703999191894,,0.1166,0.116,0.1166 ± 0.0658,0.116 ± 0.0737,0.017095625400543213
sadness,0.10669813110289694,,0.0557,0.0821,0.0557 ± 0.1506,0.0821 ± 0.1702,0.01579410955309868
avg_word_length,0.29336675799012346,,4.5551,4.6443,4.5551 ± 0.8527,4.6443 ± 0.8124,0.015046759508550167
sentiment_subjectivity,0.4949362984826212,,0.3007,0.3226,0.3007 ± 0.3337,0.3226 ± 0.2965,0.012153171934187412
certainty_verbs_count,0.8735365051894699,,0.3316,0.3212,0.3316 ± 0.6241,0.3212 ± 0.6538,0.009722014889121056
readability_score,0.7194755282471913,,9.418,9.5627,9.418 ± 3.9188,9.5627 ± 3.99,0.009685171768069267
avg_dependency_depth,,,1.0,1.0,1.0 ± 0.0,1.0 ± 0.0,
certainty_adverbs_count,0.6283754379279523,,0.1554,0.1347,0.1554 ± 0.464,0.1347 ± 0.3715,
doubt_verbs_count,0.4761746808792151,,0.0259,0.0155,0.0259 ± 0.1593,0.0155 ± 0.124,
doubt_adjectives_count,0.2965840960339521,,0.1192,0.1606,0.1192 ± 0.3698,0.1606 ± 0.4084,
certainty_adjectives_count,0.9226332580204926,,0.2798,0.2746,0.2798 ± 0.5443,0.2746 ± 0.5023,
hedge_D_count,0.126794505910713,,0.0155,0.0415,0.0155 ± 0.124,0.0415 ± 0.1998,
hedge_E_count,0.7169815297203795,,0.0622,0.0725,0.0622 ± 0.2819,0.0725 ± 0.2794,
hedge_I_count,,,0.0,0.0,0.0 ± 0.0,0.0 ± 0.0,
hedge_N_count,0.24055612247426345,,0.0466,0.0881,0.0466 ± 0.2756,0.0881 ± 0.4051,
D_ratio,0.1688983737746578,,0.0008,0.0019,0.0008 ± 0.0062,0.0019 ± 0.0095,
E_ratio,0.65125014727005,,0.0041,0.0033,0.0041 ± 0.0202,0.0033 ± 0.0132,
I_ratio,,,0.0,0.0,0.0 ± 0.0,0.0 ± 0.0,
N_ratio,0.27824685829536966,,0.0019,0.0033,0.0019 ± 0.0102,0.0033 ± 0.0147,
