feature,mean_shap_importance,std_shap_importance,num_iterations,iterations_list,coefficient_of_variation,consistency_score,mean_directional,std_directional,positive_ratio,negative_ratio,consistent_direction,direction_strength
type_token_ratio,0.568214,0.310013,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5456,0.568214,-0.02986191377729876,0.8221647443291017,0.48993808049535603,0.510061919504644,Negative,0.036321082386542476
noun_ratio,0.56365,0.32813,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5822,0.56365,0.10240809002998365,0.7838013239571409,0.596749226006192,0.40325077399380804,Positive,0.13065567203485193
hapax_legomena,0.547587,0.239752,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.4378,0.547587,0.009284252581628759,0.7289188745336048,0.5054179566563467,0.49458204334365324,Positive,0.012737017490731141
punctuation_density,0.51443,0.526638,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",1.0237,0.51443,-0.07203728050520894,0.9096782791721446,0.5224458204334366,0.4775541795665635,Negative,0.07918984256595447
sentence_count,0.458815,0.229392,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5,0.458815,-0.06966680207519278,0.6688155084968165,0.5325077399380805,0.4674922600619195,Negative,0.10416445215232306
pronoun_ratio,0.428528,0.214878,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5014,0.428528,0.016598416258607782,0.5470281805835396,0.5534055727554179,0.44659442724458204,Positive,0.03034289008195629
word_count,0.422067,0.119455,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.283,0.422067,-0.014245728328608976,0.6139387414350332,0.5069659442724458,0.49303405572755415,Negative,0.023203826595585817
stopword_ratio,0.414337,0.241565,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.583,0.414337,-0.024606879434588023,0.5660134695742435,0.4938080495356037,0.5061919504643962,Negative,0.04347401664903346
doubt_adverbs_count,0.412391,0.287245,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6965,0.412391,0.05457756022330936,0.6113867739079264,0.7321981424148607,0.2678018575851393,Positive,0.08926846582200348
function_word_ratio,0.399873,0.301445,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.7539,0.399873,-0.0022449763505161258,0.6013393612825664,0.5247678018575851,0.47523219814241485,Negative,0.0037332934740792524
certainty_verbs_count,0.382506,0.313635,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.8199,0.382506,0.0034728235315857866,0.6547784625589974,0.6648606811145511,0.3351393188854489,Positive,0.0053038144611158924
fear,0.371102,0.244763,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6596,0.371102,0.03010667889253858,0.4882866503495638,0.4651702786377709,0.5348297213622291,Positive,0.06165779517913769
avg_word_length,0.292583,0.311231,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",1.0637,0.292583,0.002840078003290091,0.5387105918898959,0.5046439628482973,0.4953560371517028,Positive,0.005271992036775542
adj_ratio,0.260869,0.121798,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.4669,0.260869,-0.005037225968397479,0.36393578218928974,0.510061919504644,0.48993808049535603,Negative,0.013840974360052842
sentiment_polarity,0.254105,0.137739,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5421,0.254105,0.019944946459890266,0.395392736776842,0.33900928792569657,0.6609907120743034,Positive,0.050443379709105056
verb_ratio,0.24231,0.204349,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.8433,0.24231,-0.001415479403795576,0.379712672525909,0.4845201238390093,0.5154798761609907,Negative,0.0037277643569332015
std_word_length,0.239557,0.203157,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.8481,0.239557,-0.004424684987605027,0.40638915699039496,0.47832817337461303,0.521671826625387,Negative,0.01088780249821375
certainty_adverbs_count,0.239272,0.148584,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.621,0.239272,-0.042217274659151774,0.5931985904501099,0.7871517027863777,0.21284829721362228,Negative,0.07116887097696784
anger,0.236039,0.166105,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.7037,0.236039,0.02350170760461307,0.5399824933026333,0.7438080495356038,0.2561919504643963,Positive,0.04352309095363695
surprise,0.228682,0.183432,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.8021,0.228682,-0.017241045684548758,0.4102167701246805,0.5201238390092879,0.47987616099071206,Negative,0.042029108802688536
hedge_C_count,0.221386,0.165763,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.7488,0.221386,-0.016176078906316033,0.3571684966812865,0.4907120743034056,0.5092879256965944,Negative,0.04528976828505906
subordinate_clause_ratio,0.204236,0.125909,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6165,0.204236,-0.010314410920672833,0.29579417576629713,0.4775541795665635,0.5224458204334366,Negative,0.03487022875027741
joy,0.202918,0.1343,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6618,0.202918,-0.05001216942477223,0.28700517954269245,0.30108359133126933,0.6989164086687306,Negative,0.17425527916223568
hedge_E_count,0.179994,0.117473,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6526,0.179994,-0.015695211830580924,0.4642099272390639,0.33436532507739936,0.6656346749226006,Negative,0.03381058993249865
punctuation_usage,0.179389,0.140948,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.7857,0.179389,-0.024037064586345136,0.2917111121064635,0.47832817337461303,0.521671826625387,Negative,0.08240023353505363
adv_ratio,0.167931,0.143243,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.853,0.167931,-0.002682721568037344,0.26791161872887304,0.49767801857585137,0.5023219814241486,Negative,0.010013456977458273
hedges_score,0.166626,0.146167,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.8772,0.166626,-0.010847086323742951,0.30039773556646127,0.5247678018575851,0.47523219814241485,Negative,0.03610908032378391
hedge_D_count,0.162768,0.124518,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.765,0.162768,-0.01984085812881352,0.444456597714403,0.3320433436532508,0.6679566563467493,Negative,0.04464070909158982
readability_score,0.162618,0.11905,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.7321,0.162618,0.006921488793020637,0.2541294157170963,0.5085139318885449,0.4914860681114551,Positive,0.027236077732792047
sentiment_subjectivity,0.133219,0.115508,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.8671,0.133219,-0.005694962303288073,0.19914505311588337,0.5239938080495357,0.4760061919504644,Negative,0.02859705490150238
hedge_N_count,0.128974,0.152548,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",1.1828,0.128974,-0.022694038733857558,0.4057938623245276,0.7329721362229102,0.26702786377708976,Negative,0.055925040474017654
D_ratio,0.127511,0.105028,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.8237,0.127511,-0.00688177380617123,0.3550897281654274,0.5255417956656346,0.4744582043343653,Negative,0.019380379285884024
doubt_adjectives_count,0.126291,0.081146,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6425,0.126291,-0.00892928065189777,0.2581744229910574,0.6540247678018576,0.3459752321981424,Negative,0.034586231287305896
certainty_adjectives_count,0.116391,0.072151,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6199,0.116391,0.004059748802494624,0.17389429926503042,0.413312693498452,0.586687306501548,Positive,0.023346070493354704
N_ratio,0.111574,0.116287,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",1.0422,0.111574,0.016490980161473524,0.37494407656296963,0.684984520123839,0.31501547987616096,Positive,0.043982504998659216
sentence_length_variation,0.109018,0.065222,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5983,0.109018,0.008267228376681732,0.1618929889428372,0.47213622291021673,0.5278637770897833,Positive,0.051066003043163145
C_ratio,0.090589,0.092744,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",1.0238,0.090589,-0.0031496927810453312,0.17938339230854988,0.6927244582043344,0.30727554179566563,Negative,0.017558440415951507
sadness,0.089969,0.067635,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.7518,0.089969,-0.008972662593651938,0.20226164240139144,0.6106811145510835,0.3893188854489164,Negative,0.04436165969733871
E_ratio,0.086016,0.035592,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.4138,0.086016,-0.003745855637333774,0.20237923583539563,0.5278637770897833,0.47213622291021673,Negative,0.01850908981240325
doubt_verbs_count,0.065878,0.059522,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.9035,0.065878,-0.023033740572650063,0.3423466749301911,0.5294117647058824,0.47058823529411764,Negative,0.06728191504862079
disgust,0.040068,0.03407,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.8503,0.040068,-0.006957212052245035,0.24364965647081027,0.6609907120743034,0.33900928792569657,Negative,0.028554162018844885
I_ratio,0.007918,0.015072,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",1.9035,0.007918,0.0008112110224594055,0.09211044846329505,0.0023219814241486067,0.46671826625387,Positive,0.008806937192508532
