target,text,stance
Legalization of Abortion,@__Porky @P226_Sig @_HankRearden @jrmadmen @aemdee who is for it. I'm not. But am for a women's right to her own body. #SemST,1
Legalization of Abortion,Anti choice laws are sexist because they only effect women*.   #SemST,1
Legalization of Abortion,So anti-choice laws are telling these women they're incapable and shouldn't make decisions that involve their own body.   #SemST,1
Legalization of Abortion,I would never expect an 11 year old girl to have to carry a pregnancy to term #SemST,1
Legalization of Abortion,Women ARE capable of making decisions #SemST,1
Legalization of Abortion,Anti choice laws only effect women.  People don't care about things that don't effect men #SemST,1
Legalization of Abortion,People with a uterus can be pro choice. People who have been pregnant can be pro choice. People who lost a child can be prochoice #SemST,1
Legalization of Abortion,Anti-choice laws are entirely men controlling women  #SemST,1
Legalization of Abortion,Anti choice laws are sexist because they ignore the fact that men abandon their pregnant partners & those men face no punishment  #SemST,1
Legalization of Abortion,@paigeymadisonn: 12. something you hate.  People who don't believe abortion should be kept safe and sterile. #SemST,1
Legalization of Abortion,Would you rather have women taking dangerous concoctions to induce abortions or know they are getting a safe & legal one? #SemST,1
Legalization of Abortion,@ubiquity75 @Aaron_Hamm well said. Men are playing political football with women's right to have control over our bodies. #fail #SemST,1
Legalization of Abortion,@JujuChangABC abortions should never be illegal. It should be the pregnant person's choice. Especially if that person was rape #SemST,1
