feature,shap_importance,iteration,stance,model
joy,1.6788344,2,FAVOR,XGBoost
anger,0.7356557,2,FAVOR,XGBoost
function_word_ratio,0.6215169,2,FAVOR,XGBoost
fear,0.55235094,2,FAVOR,XGBoost
subordinate_clause_ratio,0.5029712,2,FAVOR,XGBoost
stopword_ratio,0.46032828,2,FAVOR,XGBoost
pronoun_ratio,0.44440198,2,FAVOR,XGBoost
verb_ratio,0.43964374,2,FAVOR,XGBoost
sentiment_subjectivity,0.4147752,2,FAVOR,XGBoost
sadness,0.40767533,2,FAVOR,XGBoost
avg_word_length,0.33004987,2,FAVOR,XGBoost
punctuation_density,0.306829,2,FAVOR,XGBoost
readability_score,0.29991803,2,FAVOR,XGBoost
noun_ratio,0.2986217,2,FAVOR,XGBoost
hedge_C_count,0.2977933,2,FAVOR,XGBoost
disgust,0.2763367,2,FAVOR,XGBoost
punctuation_usage,0.22032192,2,FAVOR,XGBoost
word_count,0.20106353,2,FAVOR,XGBoost
hapax_legomena,0.132526,2,FAVOR,XGBoost
surprise,0.10217868,2,FAVOR,XGBoost
std_word_length,0.09397808,2,FAVOR,XGBoost
adj_ratio,0.08968646,2,FAVOR,XGBoost
type_token_ratio,0.07838215,2,FAVOR,XGBoost
E_ratio,0.059844125,2,FAVOR,XGBoost
sentence_count,0.044029694,2,FAVOR,XGBoost
adv_ratio,0.033690862,2,FAVOR,XGBoost
doubt_adverbs_count,0.016173892,2,FAVOR,XGBoost
C_ratio,0.011055574,2,FAVOR,XGBoost
sentence_length_variation,0.0044046044,2,FAVOR,XGBoost
certainty_adverbs_count,0.0,2,FAVOR,XGBoost
avg_dependency_depth,0.0,2,FAVOR,XGBoost
sentiment_polarity,0.0,2,FAVOR,XGBoost
doubt_verbs_count,0.0,2,FAVOR,XGBoost
doubt_adjectives_count,0.0,2,FAVOR,XGBoost
certainty_adjectives_count,0.0,2,FAVOR,XGBoost
certainty_verbs_count,0.0,2,FAVOR,XGBoost
hedge_D_count,0.0,2,FAVOR,XGBoost
hedges_score,0.0,2,FAVOR,XGBoost
hedge_I_count,0.0,2,FAVOR,XGBoost
hedge_E_count,0.0,2,FAVOR,XGBoost
hedge_N_count,0.0,2,FAVOR,XGBoost
D_ratio,0.0,2,FAVOR,XGBoost
I_ratio,0.0,2,FAVOR,XGBoost
N_ratio,0.0,2,FAVOR,XGBoost
