target,text,stance,word_count,sentence_count,avg_word_length,std_word_length,type_token_ratio,hapax_legomena,stopword_ratio,punctuation_density,noun_ratio,verb_ratio,adj_ratio,adv_ratio,pronoun_ratio,avg_dependency_depth,function_word_ratio,punctuation_usage,readability_score,sentence_length_variation,subordinate_clause_ratio,sentiment_polarity,sentiment_subjectivity,anger,joy,fear,sadness,disgust,surprise,certainty_adverbs_count,certainty_verbs_count,certainty_adjectives_count,doubt_adverbs_count,doubt_verbs_count,doubt_adjectives_count,hedges_score,hedge_C_count,hedge_D_count,hedge_E_count,hedge_I_count,hedge_N_count,C_ratio,D_ratio,E_ratio,I_ratio,N_ratio
Bernie Sanders,"This poll is not reflecting anything: ""age was lightly weighted, thus reflecting the gender and age breakdowns of Iowa Democratic caucusgoers in previous election years."" #BernieSanders will turn out a huge number of young &amp; working class voters. So keep pushing Berners!",0,52.0,3.0,4.538461538461538,3.0725931071925,0.9230769230769231,0.8461538461538461,0.25,0.19230769230769232,0.3076923076923077,0.15384615384615385,0.09615384615384616,0.07692307692307693,0.0,1.0,0.3076923076923077,0.057692307692307696,7.6,8.602325267042627,0.057692307692307696,0.18958333333333333,0.5416666666666666,0.11402072012424469,0.045714326202869415,0.7328264117240906,0.01776432804763317,0.0012043202295899391,0.05332059785723686,1.0,0.0,2.0,1.0,0.0,1.0,0.0,42.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Bernie Sanders,"Yes! We will not back down when the mainstream media attack, smear, mock, denigrate us & our movement! The American people deserve better from our media & our journalists! Period! #BernieSanders",0,39.0,5.0,4.205128205128205,3.0143204122431992,0.7692307692307693,0.6410256410256411,0.28205128205128205,0.2564102564102564,0.28205128205128205,0.07692307692307693,0.02564102564102564,0.05128205128205128,0.1282051282051282,1.0,0.3333333333333333,0.10256410256410256,8.9,6.6452990903344595,0.02564102564102564,0.1467013888888889,0.19722222222222224,0.1333949863910675,0.003953428473323584,0.8564256429672241,0.002605066169053316,0.0013041389174759388,0.000868218659888953,1.0,1.0,2.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Bernie Sanders,MAGA Left Folks very hostile people have been in my mentions all day... They love the fight... #BernieSanders,0,21.0,2.0,4.380952380952381,2.4971639242146466,0.9523809523809523,0.9047619047619048,0.38095238095238093,0.3333333333333333,0.38095238095238093,0.14285714285714285,0.047619047619047616,0.047619047619047616,0.09523809523809523,1.0,0.38095238095238093,0.2857142857142857,2.1,4.0,0.0,0.2333333333333333,0.3,0.8399491310119629,0.0018346006982028484,0.1519891321659088,0.0015342161059379578,0.0020497527439147234,0.001250831293873489,0.0,1.0,0.0,1.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Bernie Sanders,So angry that money buys elections. You wanna know why #BernieSanders seem angry? Its cause were fed up with all of the corruption,1,27.0,3.0,4.0,2.6943012562182536,0.9629629629629629,0.9259259259259259,0.4074074074074074,0.1111111111111111,0.18518518518518517,0.18518518518518517,0.07407407407407407,0.07407407407407407,0.07407407407407407,1.0,0.46153846153846156,0.07407407407407407,2.8,1.699673171197595,0.1111111111111111,-0.5,1.0,0.9922161102294922,0.0004477013135328889,0.002718393225222826,0.0012713398318737745,0.0008534361841157079,0.0010020621120929718,0.0,1.0,0.0,2.0,0.0,0.0,0.8694457411766052,23.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Bernie Sanders,"He will fight, and he will inspire us to join him, and together we can transform our country. #JusticeForAll #RealLeader #Bernie",0,27.0,2.0,4.0,3.103164454170876,0.8148148148148148,0.6666666666666666,0.4074074074074074,0.2222222222222222,0.14814814814814814,0.14814814814814814,0.0,0.037037037037037035,0.2222222222222222,1.0,0.48148148148148145,0.037037037037037035,6.2,7.5,0.037037037037037035,0.0,0.0,0.1115623489022255,0.05844488367438316,0.7994964718818665,0.0158064141869545,0.0009091855608858168,0.004524378105998039,0.0,1.0,1.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Bernie Sanders,RT DrDooleyMD: Bernie Bros ? ( ) ( ( ( _(___(___)___(___(__ __ | Stop Erasing WoC| | | who support his | | | policies that directly | | | benefit PoC b/c |_| \ thats racist / \ #NotMeUs /,1,53.0,2.0,2.7735849056603774,2.368356722190673,0.5849056603773585,0.4528301886792453,0.05660377358490566,0.9056603773584906,0.6226415094339622,0.05660377358490566,0.0,0.018867924528301886,0.018867924528301886,1.0,0.06060606060606061,0.018867924528301886,6.4,15.5,0.03773584905660377,0.1,0.4,0.8523873090744019,0.005132239777594805,0.04407869279384613,0.030187377706170082,0.012732652947306633,0.012770631350576878,0.0,0.0,1.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Bernie Sanders,Thank GOD! For a minute I was worried she would endorse #BernieSanders #Bernie,0,16.0,2.0,4.125,3.1399641717701177,0.9375,0.875,0.3125,0.1875,0.3125,0.1875,0.0,0.0,0.125,1.0,0.375,0.0625,3.6,4.5,0.0625,0.0,0.0,0.0031425596680492163,0.004132447764277458,0.9844200015068054,0.0016663551796227694,0.00018705464026425034,0.005678565241396427,0.0,2.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,0.9230769230769231,0.0,0.07692307692307693,0.0,0.0
Bernie Sanders,"Excellent thread that literally summed up all my issues with Warren. I think she's extremely weak, especially in areas the American people would need her support most. Plus she hasn't come out against all the wars like Sanders has. For me, it's #BernieOrGreen.",0,53.0,4.0,4.113207547169812,2.6397568309856676,0.8301886792452831,0.6981132075471698,0.39622641509433965,0.18867924528301888,0.16981132075471697,0.1509433962264151,0.05660377358490566,0.09433962264150944,0.1320754716981132,1.0,0.4716981132075472,0.07547169811320754,5.1,4.322904116447646,0.05660377358490566,0.225,0.625,0.09672121703624725,0.015199275687336922,0.8007760643959045,0.025614293292164803,0.0028053773567080498,0.03768608719110489,2.0,3.0,1.0,2.0,0.0,0.0,0.9670443534851074,41.0,1.0,0.0,0.0,1.0,0.9534883720930233,0.023255813953488372,0.0,0.0,0.023255813953488372
Bernie Sanders,"Under Bernie,the truck driver who lost his job to automation would be offered free college/vocational training to do any job they choose, help to start a business, etc. His long record & current policies prove that. There'd be no #ForcedLabor/lack of freedom.",1,51.0,3.0,4.2745098039215685,3.413229345301803,0.8431372549019608,0.7450980392156863,0.35294117647058826,0.21568627450980393,0.2549019607843137,0.1568627450980392,0.0784313725490196,0.0196078431372549,0.058823529411764705,1.0,0.36363636363636365,0.058823529411764705,7.5,9.93310961716756,0.0196078431372549,0.11666666666666668,0.5333333333333333,0.8085269927978516,0.006695604417473078,0.16406020522117615,0.012580891139805317,0.0009223453234881163,0.0033647699747234583,0.0,0.0,0.0,2.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Bernie Sanders,Due to all of this confusion caused by Coronavirus I was able to vote for Bernie nearly 50 times before getting tired and deciding to take a quick lunch break. I plan on going back and voting many more times before my polling place closes. I suggest you all try it!,0,54.0,3.0,3.9814814814814814,2.198406331369434,0.8333333333333334,0.7037037037037037,0.42592592592592593,0.05555555555555555,0.16666666666666666,0.2222222222222222,0.1111111111111111,0.037037037037037035,0.1111111111111111,1.0,0.5,0.05555555555555555,6.4,9.899494936611665,0.09259259259259259,0.19166666666666665,0.44999999999999996,0.03201413154602051,0.03587592393159866,0.009056600742042065,0.012487368658185005,0.0033268523402512074,0.06575726717710495,0.0,0.0,0.0,0.0,0.0,1.0,0.0,51.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
