target,text,stance,word_count,sentence_count,avg_word_length,std_word_length,type_token_ratio,hapax_legomena,stopword_ratio,punctuation_density,noun_ratio,verb_ratio,adj_ratio,adv_ratio,pronoun_ratio,avg_dependency_depth,function_word_ratio,punctuation_usage,readability_score,sentence_length_variation,subordinate_clause_ratio,sentiment_polarity,sentiment_subjectivity,anger,joy,fear,sadness,disgust,surprise,certainty_adverbs_count,certainty_verbs_count,certainty_adjectives_count,doubt_adverbs_count,doubt_verbs_count,doubt_adjectives_count,hedges_score,hedge_C_count,hedge_D_count,hedge_E_count,hedge_I_count,hedge_N_count,C_ratio,D_ratio,E_ratio,I_ratio,N_ratio
Bernie Sanders,"#IEndorseBernie for tons of reasons, but this one is my number 1. We are running out of time to save our planet from the worst of climate change. We NEED Bernies #GreenNewDeal. #Bernie @Lafayette, Indiana",1,44.0,4.0,3.8636363636363638,2.935603616812277,0.8181818181818182,0.7045454545454546,0.36363636363636365,0.20454545454545456,0.3181818181818182,0.11363636363636363,0.022727272727272728,0.0,0.09090909090909091,1.0,0.3953488372093023,0.06818181818181818,3.2,5.448623679425842,0.022727272727272728,-1.0,1.0,0.244220569729805,0.02219238691031933,0.680942177772522,0.03901908919215202,0.001381978509016335,0.007760137319564819,0.0,1.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Bernie Sanders,"A big problem w/#Bernie left is not only preoccupation with #socialism v. #capitalism over Dem v. Repub as @jonathanchait said but also equating socialism with progressivism. Hence apprehension about #ElizabethWarren, blind spot to #BlackLivesMatter, etc",0,45.0,2.0,4.888888888888889,4.148478822798771,0.8222222222222222,0.7111111111111111,0.24444444444444444,0.26666666666666666,0.4222222222222222,0.08888888888888889,0.06666666666666667,0.08888888888888889,0.0,1.0,0.30952380952380953,0.06666666666666667,9.1,8.5,0.022222222222222223,-0.125,0.44166666666666665,0.0029655357357114553,0.001988121308386326,0.9929034113883972,0.000996305258013308,0.00017542378918733448,0.0006847541080787778,0.0,0.0,0.0,0.0,0.0,1.0,0.0,35.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Bernie Sanders,So proud how @BernieSanders is shedding light on who is truly a progressive and pushing the party back to left out of center. #DemDebate2020,1,27.0,2.0,4.333333333333333,3.366501646120693,0.9629629629629629,0.9259259259259259,0.4444444444444444,0.1111111111111111,0.14814814814814814,0.18518518518518517,0.1111111111111111,0.1111111111111111,0.0,1.0,0.5,0.037037037037037035,9.1,11.0,0.07407407407407407,0.22000000000000003,0.36,0.08631069213151932,0.1604653000831604,0.6796262264251709,0.018388986587524414,0.0014179403660818934,0.03367263078689575,1.0,0.0,1.0,1.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Bernie Sanders,"According to media bias fact checker, you have high ratings for factual reporting. Why are you sacrificing your reputation to spread this nonsense? #Bernie Has Been Trending For Hours. Twitter is feeling the bern !",1,40.0,4.0,4.5,2.6739483914241875,0.925,0.85,0.375,0.15,0.35,0.175,0.075,0.0,0.075,1.0,0.375,0.1,6.6,2.947456530637899,0.0,0.2,0.54,0.5961093306541443,0.007147014141082764,0.2908870577812195,0.03495849296450615,0.0014487321022897959,0.06274021416902542,1.0,1.0,1.0,1.0,0.0,1.0,0.0,35.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Bernie Sanders,".@StephenAtHome has been beholden 2 the Clintons from the moment they donated 2 his Sister's Campaign in 2013 - His Sister, Elizabeth Colbert Busch, having married in2 the Busch Family worth 13.4 BILLION Dollars. Colbert is now a 1%er by Proxy #NoMiddleGround #Bernie",1,53.0,3.0,4.245283018867925,3.0025502391747327,0.8301886792452831,0.6792452830188679,0.2830188679245283,0.20754716981132076,0.3584905660377358,0.1320754716981132,0.018867924528301886,0.018867924528301886,0.05660377358490566,1.0,0.30612244897959184,0.05660377358490566,8.8,14.055445761538678,0.03773584905660377,0.275,0.175,0.31593000888824463,0.08732271939516068,0.4868364632129669,0.07696540653705597,0.0020557097159326077,0.021337561309337616,0.0,0.0,1.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Bernie Sanders,#Bernie is the most progressive candidate. If people werent so ageist and read a damn book theyd learn a little. #MedicareForAll,1,25.0,3.0,4.32,3.233821269025238,0.88,0.76,0.32,0.16,0.24,0.16,0.16,0.08,0.0,1.0,0.37037037037037035,0.08,5.0,5.354126134736337,0.08,0.15625,0.5,0.39969655871391296,0.05941992998123169,0.4317503869533539,0.03189398720860481,0.0015579028986394405,0.06066002696752548,0.0,0.0,0.0,2.0,0.0,1.0,0.9686445593833923,20.0,0.0,0.0,0.0,1.0,0.9523809523809523,0.0,0.0,0.0,0.047619047619047616
Bernie Sanders,A solemn moment in which @BernieSanders agrees with citizen that no other issues matter if we don't have a habitable planet.,1,24.0,1.0,4.333333333333333,2.852873794770615,1.0,1.0,0.5,0.125,0.25,0.16666666666666666,0.125,0.041666666666666664,0.041666666666666664,1.0,0.5652173913043478,0.041666666666666664,9.1,0.0,0.16666666666666666,0.0625,0.375,0.002146091079339385,0.9267622828483582,0.00720820389688015,0.048940908163785934,0.0019178669899702072,0.004273001104593277,0.0,0.0,0.0,0.0,1.0,0.0,0.9510438442230225,20.0,0.0,0.0,0.0,1.0,0.9523809523809523,0.0,0.0,0.0,0.047619047619047616
Bernie Sanders,"Thats vague. #Facts dont require belief, its not a religion. Who are these other candidates? Id love to know as a #voter. He are #Bernie proposals: Hes fought for this consistently way before 2016 &amp; voted accordingly, unlike anyone else running.",1,54.0,5.0,3.8703703703703702,2.7151583835958766,0.8518518518518519,0.7592592592592593,0.2777777777777778,0.24074074074074073,0.25925925925925924,0.12962962962962962,0.05555555555555555,0.05555555555555555,0.037037037037037035,1.0,0.3620689655172414,0.09259259259259259,6.1,5.775811631277461,0.018518518518518517,0.03125,0.43125,0.3814825415611267,0.008091266267001629,0.592753529548645,0.009542969986796379,0.0007981517701409757,0.0031154160387814045,1.0,2.0,1.0,1.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Bernie Sanders,Communists never follow the rules they force on everyone else. #Bernie,0,13.0,2.0,4.615384615384615,2.497335858576604,1.0,1.0,0.23076923076923078,0.15384615384615385,0.3076923076923077,0.15384615384615385,0.0,0.15384615384615385,0.07692307692307693,1.0,0.46153846153846156,0.07692307692307693,6.4,4.5,0.0,0.0,0.0,0.2008756697177887,0.019497258588671684,0.7411603331565857,0.01881665363907814,0.002456523245200515,0.006808683276176453,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Bernie Sanders,"The ""minivan"" app is extremely useful for canvassing. It walks you through the whole process. Anyone who hasn't canvassed, I encourage you to do so. It's fun, it's fulfilling, and it's how we are going to win! #PeoplePower #Bernie",1,54.0,5.0,3.5925925925925926,2.6978627928110095,0.7962962962962963,0.6481481481481481,0.4074074074074074,0.2777777777777778,0.12962962962962962,0.24074074074074073,0.05555555555555555,0.05555555555555555,0.14814814814814814,1.0,0.5185185185185185,0.07407407407407407,4.8,3.370459909270543,0.05555555555555555,0.45,0.25,0.019630195572972298,0.94635009765625,0.02243412844836712,0.0025562820956110954,0.001104681403376162,0.004720538388937712,0.0,0.0,1.0,1.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Bernie Sanders,"COVID-19 shows the inequalities of our new Gilded Age in healthcare, employment #Coronavirus #COVID19 #Bernie",1,19.0,1.0,5.0,3.612842589838003,0.8947368421052632,0.8421052631578947,0.21052631578947367,0.2631578947368421,0.42105263157894735,0.10526315789473684,0.05263157894736842,0.0,0.05263157894736842,1.0,0.21052631578947367,0.0,9.1,0.0,0.0,0.13636363636363635,0.45454545454545453,0.020593222230672836,0.005764016881585121,0.9676217436790466,0.0034895744174718857,0.0008093039505183697,0.001072683371603489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Bernie Sanders,"I love everyone in this movement. So proud to fight another day in the Twitter trenches for compassion, love, and common sense with you all. #BigUs #BernieSanders #NotMeUs #Receipts To the rest of you, what has your candidate been saying for 30 years?",1,53.0,3.0,3.943396226415094,2.687603227255759,0.7924528301886793,0.6415094339622641,0.39622641509433965,0.18867924528301888,0.2830188679245283,0.09433962264150944,0.03773584905660377,0.018867924528301886,0.07547169811320754,1.0,0.4339622641509434,0.05660377358490566,6.5,5.90668171555645,0.018867924528301886,0.375,0.675,0.16001306474208832,0.47470635175704956,0.310691237449646,0.04345418140292168,0.002705499529838562,0.004152907524257898,0.0,1.0,1.0,1.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Bernie Sanders,"I'm a new sub, my brother is a big fan of yours. Your choice of coverage is amazing. Keep fighting the good fight man! Together we can win a better world. #Bernie",1,39.0,5.0,3.358974358974359,2.212866565168351,0.8461538461538461,0.7435897435897436,0.358974358974359,0.1794871794871795,0.2564102564102564,0.1794871794871795,0.10256410256410256,0.0,0.10256410256410256,1.0,0.4358974358974359,0.10256410256410256,2.9,3.4985711369071804,0.05128205128205128,0.4852272727272727,0.49242424242424243,0.05612679943442345,0.18251094222068787,0.6254652738571167,0.012394201010465622,0.0011104370933026075,0.09479424357414246,1.0,0.0,2.0,0.0,0.0,1.0,0.0,32.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Bernie Sanders,"Where do my fellow #BernieSanders supporters send your kids to school? (Wondering B/C son is turning 5! ) Please comment with whether you like it &amp; why, &amp; w/ any more specifics such as what type, etc. Please RT &amp; help me get more #education opinions from #progressive #parents! Thx",1,67.0,5.0,3.6417910447761193,2.7842922546533777,0.8059701492537313,0.6865671641791045,0.26865671641791045,0.29850746268656714,0.26865671641791045,0.11940298507462686,0.05970149253731343,0.014925373134328358,0.07462686567164178,1.0,0.3188405797101449,0.05970149253731343,4.5,5.932958789676531,0.029850746268656716,0.375,0.5,0.07551045715808868,0.04870176687836647,0.6770763397216797,0.13510768115520477,0.0003477628342807293,0.04427647218108177,0.0,2.0,1.0,1.0,0.0,1.0,0.9284456968307495,49.0,0.0,0.0,1.0,0.0,0.98,0.0,0.0,0.02,0.0
Bernie Sanders,"If your life expectancy is under 30 years, maybe you need to listen to the younger voters who will have to deal with the garbage you leave behind? Corporate #Dems will be the death of the left wing. #Bernie",1,44.0,3.0,3.8181818181818183,2.0368505911280073,0.8181818181818182,0.7045454545454546,0.45454545454545453,0.11363636363636363,0.25,0.1590909090909091,0.022727272727272728,0.022727272727272728,0.06818181818181818,1.0,0.4772727272727273,0.045454545454545456,6.2,11.224972160321824,0.09090909090909091,-0.1,0.175,0.6830447912216187,0.0052320039831101894,0.26522138714790344,0.018207119777798653,0.015309804119169712,0.003533422015607357,1.0,1.0,1.0,0.0,0.0,0.0,0.9722701907157898,35.0,0.0,1.0,0.0,3.0,0.8974358974358975,0.0,0.02564102564102564,0.0,0.07692307692307693
Bernie Sanders,First Ive heard from @WeAreTheNewLeft . Excited to comb through the video to see what articles I missed. No other issue so comprehensively affects every aspect of our shared human experience as the US MIC. #ForeignPolicyMatters Vote like it #Tulsi2020 #Bernie,1,47.0,4.0,4.659574468085107,3.899135723899679,0.8723404255319149,0.7872340425531915,0.3191489361702128,0.14893617021276595,0.23404255319148937,0.14893617021276595,0.0851063829787234,0.06382978723404255,0.06382978723404255,1.0,0.425531914893617,0.06382978723404255,7.2,4.602988159880492,0.06382978723404255,0.171875,0.38958333333333334,0.010092691518366337,0.009670733474195004,0.9694399833679199,0.004338484723120928,0.00019690286717377603,0.004976604599505663,0.0,1.0,1.0,1.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Bernie Sanders,"When Jesse Jackson ran for president in 1988, on a platform embracing single-payer health care, Bernie Sanders endorsed him. Jesse Jackson is now endorsing Bernie, the only Democratic candidate running on #MedicareForAll #BernieSanders",1,39.0,2.0,5.205128205128205,3.545885930884621,0.8205128205128205,0.6666666666666666,0.28205128205128205,0.1794871794871795,0.358974358974359,0.15384615384615385,0.05128205128205128,0.05128205128205128,0.02564102564102564,1.0,0.2682926829268293,0.02564102564102564,9.7,2.5,0.02564102564102564,0.0,1.0,0.08863521367311478,0.5335192084312439,0.3172411024570465,0.024364309385418892,0.0025478946045041084,0.021859697997570038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Bernie Sanders,"What happened to all the progressives in the race? Only 3 presidential candidates (Bernie, Gravel & Williamson) have signed what I would call a very basic and straightforward #ProgressivePledge.",1,35.0,2.0,4.742857142857143,4.149649604091253,0.9714285714285714,0.9428571428571428,0.37142857142857144,0.2,0.2,0.11428571428571428,0.08571428571428572,0.05714285714285714,0.02857142857142857,1.0,0.42857142857142855,0.05714285714285714,8.8,5.5,0.02857142857142857,0.125,0.5125000000000001,0.1160249188542366,0.02433330938220024,0.21231956779956818,0.0711580291390419,0.004876087885349989,0.2336689829826355,0.0,0.0,1.0,2.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
