feature,Logistic Regression,XGBoost,correct_mean_std,incorrect_mean_std
C_ratio*,0.07798586179566758,0.047005098313093185,0.9972 ± 0.0128,0.9915 ± 0.0221
D_ratio,-0.22631068178246821,0.0,0.0006 ± 0.0053,0.0019 ± 0.0095
E_ratio*,0.40748080963288663,0.0,0.0004 ± 0.0051,0.0033 ± 0.0132
I_ratio,0.0,0.0,0.0 ± 0.0,0.0 ± 0.0
N_ratio,-0.35806799647070175,0.0,0.0017 ± 0.0085,0.0033 ± 0.0147
adj_ratio,-0.40435948120035325,0.013969786465168,0.051 ± 0.0446,0.0607 ± 0.0478
adv_ratio,-0.33140420196161496,0.020000562071800232,0.0301 ± 0.0399,0.0292 ± 0.0365
anger,-0.08063794649424708,0.036339715123176575,0.0983 ± 0.1647,0.1271 ± 0.2332
avg_dependency_depth,0.0,0.0,1.0 ± 0.0,1.0 ± 0.0
avg_word_length*,-0.7184413808423407,0.05286231264472008,4.0975 ± 0.6002,4.6443 ± 0.8124
certainty_adjectives_count*,0.3774804963040025,0.03849194198846817,0.7481 ± 0.9635,0.2746 ± 0.5023
certainty_adverbs_count*,-0.074274600251551,0.0,0.2672 ± 0.566,0.1347 ± 0.3715
certainty_verbs_count*,-0.1883586910596562,0.0,0.771 ± 0.9492,0.3212 ± 0.6538
disgust,-0.48872411173687175,0.05514168739318848,0.0039 ± 0.0157,0.0182 ± 0.098
doubt_adjectives_count,-0.1132313269253111,0.053710777312517166,0.1603 ± 0.4079,0.1606 ± 0.4084
doubt_adverbs_count,-0.26456160219907476,0.0039310576394200325,0.2901 ± 0.6262,0.3679 ± 0.6804
doubt_verbs_count,-0.3893563246275355,0.0,0.0076 ± 0.0874,0.0155 ± 0.124
fear*,0.49537346985074443,0.010769966058433056,0.4387 ± 0.362,0.3401 ± 0.3807
function_word_ratio*,0.07167512269537334,0.005186104215681553,0.3862 ± 0.1175,0.3074 ± 0.1308
hapax_legomena*,1.12691742116632,0.015042626298964024,0.7509 ± 0.1618,0.8263 ± 0.1275
hedge_C_count*,-0.3119067789697453,0.024899668991565704,25.7328 ± 12.2662,20.1969 ± 9.1903
hedge_D_count,0.10765645742073628,0.0,0.0153 ± 0.1231,0.0415 ± 0.1998
hedge_E_count*,-0.5012226176358145,0.0,0.0076 ± 0.0874,0.0725 ± 0.2794
hedge_I_count,0.0,0.0,0.0 ± 0.0,0.0 ± 0.0
hedge_N_count,0.576798249175382,0.0,0.0534 ± 0.2576,0.0881 ± 0.4051
hedges_score*,-0.19395571365831954,0.03125639632344246,0.0607 ± 0.226,0.1698 ± 0.3583
joy*,0.44811316376928373,0.035630419850349426,0.2404 ± 0.3157,0.1112 ± 0.1993
noun_ratio*,-0.4529396007253272,0.020690958946943283,0.3217 ± 0.1135,0.4052 ± 0.1433
pronoun_ratio*,0.5498178551003792,0.06227915361523628,0.0665 ± 0.0573,0.0297 ± 0.0373
punctuation_density*,-1.5403401127640295,0.08439852297306061,0.2223 ± 0.0873,0.3419 ± 0.1662
punctuation_usage,0.2403340825768085,0.023247743025422096,0.0833 ± 0.0711,0.0851 ± 0.0591
readability_score*,0.4420145721592263,0.033662743866443634,7.712 ± 3.995,9.5627 ± 3.99
sadness,0.16553530843958272,0.03882025182247162,0.0716 ± 0.1814,0.0821 ± 0.1702
sentence_count*,0.7310310424395057,0.01723717711865902,2.771 ± 1.527,1.8653 ± 1.0957
sentence_length_variation*,-0.09260704326070861,0.038635771721601486,4.2083 ± 3.7081,2.7655 ± 3.8857
sentiment_polarity*,0.4979501949106121,0.028476744890213013,0.1957 ± 0.3245,0.065 ± 0.2426
sentiment_subjectivity*,-0.18319027880361585,0.002722054021432996,0.395 ± 0.2995,0.3226 ± 0.2965
std_word_length*,0.08233179891921226,0.04883472993969917,2.9235 ± 0.8145,3.5676 ± 0.8992
stopword_ratio*,-0.27458138858082765,0.0141891585662961,0.3215 ± 0.1095,0.2479 ± 0.1104
subordinate_clause_ratio,0.14087974071391138,0.01373820286244154,0.0486 ± 0.0486,0.0434 ± 0.048
surprise*,-0.35645390050869064,0.0674397274851799,0.062 ± 0.1283,0.1437 ± 0.1934
type_token_ratio*,-1.3674524510714337,0.027025960385799408,0.8479 ± 0.1124,0.9025 ± 0.0757
verb_ratio*,-0.29675236206345545,0.010667907074093819,0.1399 ± 0.0659,0.116 ± 0.0737
word_count*,-0.32442762678960513,0.023695068433880806,32.2672 ± 14.8261,26.2383 ± 10.8774
