feature,shap_importance,iteration,stance,model
joy,1.4431596,6,FAVOR,XGBoost
function_word_ratio,1.1132048,6,FAVOR,XGBoost
stopword_ratio,0.8851982,6,FAVOR,XGBoost
punctuation_density,0.7085742,6,FAVOR,XGBoost
anger,0.623718,6,FAVOR,XGBoost
adj_ratio,0.36782452,6,FAVOR,XGBoost
fear,0.3631242,6,FAVOR,XGBoost
verb_ratio,0.3443468,6,FAVOR,XGBoost
noun_ratio,0.30712157,6,FAVOR,XGBoost
sadness,0.30455372,6,FAVOR,XGBoost
sentiment_subjectivity,0.29668126,6,FAVOR,XGBoost
word_count,0.2776164,6,FAVOR,XGBoost
avg_word_length,0.25894988,6,FAVOR,XGBoost
certainty_verbs_count,0.22489458,6,FAVOR,XGBoost
std_word_length,0.20685633,6,FAVOR,XGBoost
disgust,0.15070637,6,FAVOR,XGBoost
pronoun_ratio,0.1411703,6,FAVOR,XGBoost
subordinate_clause_ratio,0.13471603,6,FAVOR,XGBoost
sentence_count,0.11021117,6,FAVOR,XGBoost
hedge_C_count,0.1096267,6,FAVOR,XGBoost
surprise,0.10427398,6,FAVOR,XGBoost
punctuation_usage,0.0965923,6,FAVOR,XGBoost
type_token_ratio,0.087306775,6,FAVOR,XGBoost
doubt_adverbs_count,0.06362075,6,FAVOR,XGBoost
readability_score,0.055137362,6,FAVOR,XGBoost
hapax_legomena,0.05300274,6,FAVOR,XGBoost
sentiment_polarity,0.052499704,6,FAVOR,XGBoost
sentence_length_variation,0.03187719,6,FAVOR,XGBoost
adv_ratio,0.0,6,FAVOR,XGBoost
avg_dependency_depth,0.0,6,FAVOR,XGBoost
certainty_adverbs_count,0.0,6,FAVOR,XGBoost
certainty_adjectives_count,0.0,6,FAVOR,XGBoost
doubt_verbs_count,0.0,6,FAVOR,XGBoost
doubt_adjectives_count,0.0,6,FAVOR,XGBoost
hedges_score,0.0,6,FAVOR,XGBoost
hedge_D_count,0.0,6,FAVOR,XGBoost
hedge_E_count,0.0,6,FAVOR,XGBoost
hedge_I_count,0.0,6,FAVOR,XGBoost
hedge_N_count,0.0,6,FAVOR,XGBoost
C_ratio,0.0,6,FAVOR,XGBoost
D_ratio,0.0,6,FAVOR,XGBoost
E_ratio,0.0,6,FAVOR,XGBoost
I_ratio,0.0,6,FAVOR,XGBoost
N_ratio,0.0,6,FAVOR,XGBoost
