feature,Logistic Regression,XGBoost,correct_mean_std,incorrect_mean_std
C_ratio,0.2368891310516584,0.04708793759346008,0.9861 ± 0.0299,0.9879 ± 0.0283
D_ratio*,0.04802532888930296,0.0,0.0051 ± 0.0175,0.0022 ± 0.0104
E_ratio,-0.2538246933277644,0.0,0.0059 ± 0.02,0.004 ± 0.0164
I_ratio,-0.1335190294784731,0.0,0.0 ± 0.0,0.0007 ± 0.0072
N_ratio,-0.13410014600355544,0.0,0.0028 ± 0.0132,0.0052 ± 0.0188
adj_ratio,-0.16992260726875213,0.016294892877340317,0.0586 ± 0.0496,0.0624 ± 0.0493
adv_ratio*,-0.1571251358343,0.015439474955201149,0.0285 ± 0.036,0.0377 ± 0.0474
anger*,0.40834412684115745,0.02299530990421772,0.2484 ± 0.274,0.1658 ± 0.2118
avg_dependency_depth,0.0,0.0,1.0 ± 0.0,1.0 ± 0.0
avg_word_length*,0.16204311637325733,0.03917064517736435,4.7054 ± 0.9272,4.4348 ± 0.8027
certainty_adjectives_count,-0.033584639220536526,0.010964161716401577,0.2645 ± 0.5116,0.3306 ± 0.5599
certainty_adverbs_count,0.20473710197039707,0.014372482895851135,0.1736 ± 0.411,0.1653 ± 0.4243
certainty_verbs_count,0.08975362421376393,0.05309920385479927,0.438 ± 0.6985,0.3967 ± 0.6935
disgust,0.2501001429184652,0.039069030433893204,0.0221 ± 0.1054,0.0086 ± 0.0275
doubt_adjectives_count,-0.08871792627040591,0.027867216616868973,0.0868 ± 0.2821,0.1074 ± 0.3234
doubt_adverbs_count,-0.14357948583096933,0.06257939338684082,0.2645 ± 0.5196,0.3554 ± 0.6023
doubt_verbs_count*,-0.5914409086451214,0.0,0.0 ± 0.0,0.0289 ± 0.1679
fear,0.03561036241416795,0.018272489309310913,0.3874 ± 0.3733,0.45 ± 0.3765
function_word_ratio*,-0.4755074041061882,0.029152583330869675,0.2966 ± 0.1497,0.3371 ± 0.1373
hapax_legomena,-0.7004534144263793,0.018450429663062096,0.8269 ± 0.1165,0.8066 ± 0.1279
hedge_C_count,0.38275390699476664,0.021430620923638344,19.3017 ± 9.5058,20.8471 ± 9.5268
hedge_D_count*,0.24071633991162633,0.0,0.1157 ± 0.4113,0.0496 ± 0.2175
hedge_E_count,0.5686033746179403,0.0,0.1033 ± 0.3434,0.0744 ± 0.2783
hedge_I_count,-0.23649843613883748,0.0,0.0 ± 0.0,0.0165 ± 0.1569
hedge_N_count,0.2351637338975507,0.0,0.0785 ± 0.3616,0.1198 ± 0.4151
hedges_score,-0.025851522016185555,0.10211630165576935,0.2043 ± 0.3854,0.1753 ± 0.3689
joy,-0.12528987840904796,0.024713924154639244,0.0465 ± 0.1387,0.0664 ± 0.1736
noun_ratio*,-0.23246860019710444,0.0252886563539505,0.3925 ± 0.1513,0.3593 ± 0.1279
pronoun_ratio,0.3100926232502337,0.023388896137475967,0.0416 ± 0.0527,0.0445 ± 0.0515
punctuation_density,-0.5373954477030533,0.015820370987057686,0.3379 ± 0.1922,0.3109 ± 0.1645
punctuation_usage,0.45381580110036396,0.01782260835170746,0.0882 ± 0.0636,0.0807 ± 0.0609
readability_score*,0.011497156272789846,0.023120947182178497,9.3715 ± 4.5191,8.5089 ± 3.8744
sadness,0.019478325206881444,0.01812102273106575,0.1062 ± 0.174,0.1004 ± 0.1739
sentence_count*,-0.4871801914691591,0.03792782127857208,1.9174 ± 1.1565,2.1942 ± 1.3231
sentence_length_variation,0.09416519242766139,0.01875557005405426,2.6385 ± 3.4259,3.0208 ± 3.364
sentiment_polarity,-0.04210470638338388,0.04244589805603027,0.0266 ± 0.2393,0.0628 ± 0.2466
sentiment_subjectivity,0.049956144143040476,0.023356549441814423,0.2805 ± 0.3096,0.3112 ± 0.2814
std_word_length,0.19609459929700995,0.037151139229536057,3.442 ± 1.229,3.2688 ± 0.9298
stopword_ratio*,-0.174789382335705,0.024638116359710693,0.2434 ± 0.1347,0.2727 ± 0.1208
subordinate_clause_ratio,0.10795377443871891,0.012989983893930912,0.05 ± 0.0478,0.048 ± 0.047
surprise,-0.01622474286149605,0.02773437462747097,0.0622 ± 0.1283,0.0783 ± 0.1506
type_token_ratio*,0.6637404033466913,0.02713738940656185,0.9016 ± 0.0715,0.8863 ± 0.0813
verb_ratio,-0.399517537248234,0.03303011879324913,0.1267 ± 0.0701,0.1356 ± 0.0615
word_count*,-0.2578420534827306,0.028194377198815346,24.9959 ± 11.4889,27.2025 ± 11.7951
