target,text,stance,word_count,sentence_count,avg_word_length,std_word_length,type_token_ratio,hapax_legomena,stopword_ratio,punctuation_density,noun_ratio,verb_ratio,adj_ratio,adv_ratio,pronoun_ratio,avg_dependency_depth,function_word_ratio,punctuation_usage,readability_score,sentence_length_variation,subordinate_clause_ratio,sentiment_polarity,sentiment_subjectivity,anger,joy,fear,sadness,disgust,surprise,certainty_adverbs_count,certainty_verbs_count,certainty_adjectives_count,doubt_adverbs_count,doubt_verbs_count,doubt_adjectives_count,hedges_score,hedge_C_count,hedge_D_count,hedge_E_count,hedge_I_count,hedge_N_count,C_ratio,D_ratio,E_ratio,I_ratio,N_ratio
Atheism,Why would I listen to someone that is not doing anything to better their life compared to a successful millionaire?#DonaldTrump #ACN #SemST,2,27.0,1.0,4.37037037037037,3.0809828656422846,0.8518518518518519,0.7777777777777778,0.4074074074074074,0.14814814814814814,0.25925925925925924,0.18518518518518517,0.037037037037037035,0.037037037037037035,0.07407407407407407,1.0,0.5833333333333334,0.037037037037037035,6.4,0.0,0.0,0.625,0.725,0.05835588648915291,0.0032009128481149673,0.9321209192276001,0.0018849876942113042,0.000602973741479218,0.001972536789253354,0.0,0.0,1.0,1.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Atheism,Ya....cuz Nicky Hilton HAD to marry up? Really? You had to land a bloody Rothschild too?? #SemST,2,24.0,4.0,3.3333333333333335,2.1921577396609844,0.8333333333333334,0.75,0.3333333333333333,0.375,0.3333333333333333,0.125,0.041666666666666664,0.08333333333333333,0.041666666666666664,1.0,0.375,0.3333333333333333,1.9,3.2691742076555053,0.16666666666666666,-0.30000000000000004,0.55,0.38116195797920227,0.005214950535446405,0.05070343613624573,0.02700703963637352,0.0031465492211282253,0.523349940776825,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Climate Change is a Real Concern,67 degrees Fahrenheit on July 8th. I love this weather! #PureMichigan #SemST,2,16.0,3.0,4.0625,3.2876425824593523,0.9375,0.875,0.1875,0.25,0.375,0.0625,0.0,0.0,0.0625,1.0,0.1875,0.125,3.3,1.632993161855452,0.0,0.625,0.6,0.008645636029541492,0.8978053331375122,0.06269592046737671,0.01602509431540966,0.000394589442294091,0.00847629550844431,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Feminist Movement,Some men do not deserve to be called gentlemen #SemST,2,11.0,1.0,4.0,2.3741027013091993,1.0,1.0,0.45454545454545453,0.09090909090909091,0.2727272727272727,0.36363636363636365,0.0,0.09090909090909091,0.0,1.0,0.45454545454545453,0.0,3.7,0.0,0.09090909090909091,0.0,0.0,0.912639856338501,0.0015832297503948212,0.018231693655252457,0.059804122895002365,0.003328666789457202,0.0018723590765148401,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Hillary Clinton,I don't know how well a socialist is gonna play with southern democrats. #BernieSanders #SemST,2,20.0,2.0,4.0,3.22490309931942,0.95,0.9,0.3,0.2,0.1,0.25,0.05,0.1,0.05,1.0,0.4,0.05,4.4,5.5,0.1,0.0,0.0,0.015113859437406063,0.004288155119866133,0.9595390558242798,0.016528652980923653,0.0006683903629891574,0.0024178449530154467,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Hillary Clinton,"While I like Bernie as much as the next liberal, if we nominate him we could actually lose to some RWNJ #SemST",2,24.0,1.0,3.7083333333333335,2.030582155168534,0.9166666666666666,0.8333333333333334,0.4583333333333333,0.08333333333333333,0.16666666666666666,0.125,0.041666666666666664,0.125,0.16666666666666666,1.0,0.5833333333333334,0.0,8.3,0.0,0.16666666666666666,0.06666666666666667,0.10000000000000002,0.08200199902057648,0.026034438982605934,0.6913577914237976,0.1310371458530426,0.002032826654613018,0.0364355742931366,1.0,1.0,0.0,2.0,0.0,0.0,0.9709073901176453,20.0,0.0,0.0,0.0,2.0,0.9090909090909091,0.0,0.0,0.0,0.09090909090909091
Hillary Clinton,@OutnumberedFNC: Hillary chooses Brianna Keilar for her first interview. What can we expect? #SemST,2,19.0,3.0,4.526315789473684,3.3145361039650076,1.0,1.0,0.2631578947368421,0.2631578947368421,0.3157894736842105,0.05263157894736842,0.15789473684210525,0.0,0.10526315789473684,1.0,0.3333333333333333,0.10526315789473684,6.0,3.299831645537222,0.0,0.25,0.3333333333333333,0.020793939009308815,0.03890962153673172,0.8332836031913757,0.006178445648401976,0.0004363392072264105,0.08630625903606415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Hillary Clinton,@N_Fatale @bayareahausfrau ILLEGAL IMMIGRATION IS GOOD FOR THE ECONOMY AND GOOD FOR OUR CHILDREN #tcot #SemST,2,20.0,1.0,4.7,3.579106033634656,0.8,0.6,0.3,0.25,0.75,0.05,0.05,0.0,0.0,1.0,0.3333333333333333,0.0,11.9,0.0,0.0,0.3,0.5666666666666668,0.6965821981430054,0.010038338601589203,0.26830747723579407,0.018649747595191002,0.0005845572450198233,0.004207597579807043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Hillary Clinton,If Hillary wins next year it'll be the first time two presidents have had sex with each other #SemST,2,21.0,1.0,3.9047619047619047,1.8747637795266214,1.0,1.0,0.42857142857142855,0.09523809523809523,0.3333333333333333,0.14285714285714285,0.09523809523809523,0.0,0.047619047619047616,1.0,0.6190476190476191,0.0,6.0,0.0,0.09523809523809523,0.10625000000000001,0.22708333333333333,0.029868802055716515,0.11754649877548218,0.7232446670532227,0.014639551751315594,0.006418105214834213,0.06858287751674652,0.0,0.0,0.0,0.0,0.0,0.0,0.9711852669715881,18.0,0.0,0.0,0.0,1.0,0.9473684210526315,0.0,0.0,0.0,0.05263157894736842
Hillary Clinton,A circus Act such as Donald Trump is short term entertainment. Soon to be canceled. #SemST,2,19.0,3.0,3.9473684210526314,2.9104834868838925,0.9473684210526315,0.8947368421052632,0.3157894736842105,0.15789473684210525,0.42105263157894735,0.15789473684210525,0.10526315789473684,0.0,0.0,1.0,0.3157894736842105,0.10526315789473684,4.1,4.189935029992179,0.0,0.0,0.4,0.07806478440761566,0.004419357981532812,0.08950461447238922,0.8094449043273926,0.0019194727065041661,0.009938151575624943,0.0,1.0,0.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
