target,text,stance,dataset,word_count,sentence_count,avg_word_length,std_word_length,type_token_ratio,hapax_legomena,stopword_ratio,punctuation_density,noun_ratio,verb_ratio,adj_ratio,adv_ratio,pronoun_ratio,avg_dependency_depth,function_word_ratio,punctuation_usage,readability_score,sentence_length_variation,subordinate_clause_ratio,sentiment_polarity,sentiment_subjectivity,anger,joy,fear,sadness,disgust,surprise,certainty_adverbs_count,certainty_verbs_count,certainty_adjectives_count,doubt_adverbs_count,doubt_verbs_count,doubt_adjectives_count,hedges_score,hedge_C_count,hedge_D_count,hedge_E_count,hedge_I_count,hedge_N_count,C_ratio,D_ratio,E_ratio,I_ratio,N_ratio,type,label
healthcare,Anthem Proposes To Acquire Cigna Corporation For $184 Per Share In Cash And Stock -  https://t.co/x6msG6ay2a,2,wtwt,19.0,1.0,4.842105263157895,3.8149726893516047,1.0,1.0,0.2105263157894736,0.3684210526315789,0.5263157894736842,0.0526315789473684,0.0,0.0,0.0,1.0,0.2777777777777778,0.0526315789473684,10.3,0.0,0.0526315789473684,0.0,0.0,0.0612017884850502,0.3762940168380737,0.1367616057395935,0.0618615001440048,0.0064540230669081,0.0716354548931121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0
entertainment,Disney / Fox deal could give Nascar more Primetime coverage on Fox Network. https://t.co/Eh2OEapwhp #NASCAR,2,wtwt,19.0,2.0,4.894736842105263,3.697719593736904,0.9473684210526316,0.8947368421052632,0.1052631578947368,0.4210526315789473,0.5789473684210527,0.0526315789473684,0.1052631578947368,0.0,0.0,1.0,0.2352941176470588,0.1052631578947368,8.8,5.5,0.0,0.5,0.5,0.0461868643760681,0.3043876886367798,0.4970834255218506,0.0152736557647585,0.0008799030911177,0.0925855189561843,0.0,0.0,0.0,1.0,0.0,0.0,0.9520270228385924,14.0,0.0,1.0,0.0,0.0,0.9333333333333332,0.0,0.0666666666666666,0.0,0.0,,1
entertainment,"Gotta say, I'll never understand why Disney did Robin Hood with a fox but never did ZORRO with a fox.",2,wtwt,24.0,1.0,3.4166666666666665,1.9773017529507788,0.7916666666666666,0.5833333333333334,0.375,0.125,0.3333333333333333,0.1666666666666666,0.0,0.0833333333333333,0.0416666666666666,1.0,0.5416666666666666,0.0416666666666666,8.7,0.0,0.125,0.0,0.0,0.0493786446750164,0.0047012600116431,0.011201231740415,0.0165205262601375,0.0609941184520721,0.5822686553001404,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1
healthcare,"Bizarre. Florida granted approval to $AET, $HUM deal in Feb (https://t.co/hFkOsLzXwk), but now one of eight states joining DOJ in suit.",2,wtwt,31.0,2.0,3.7096774193548394,3.25470922725921,0.8709677419354839,0.7419354838709677,0.1935483870967742,0.4193548387096774,0.3870967741935484,0.064516129032258,0.0,0.032258064516129,0.0,1.0,0.2758620689655172,0.0967741935483871,5.0,9.5,0.0,0.4,0.6,0.0593866221606731,0.0101923793554306,0.0102948639541864,0.0176777131855487,0.4863260090351105,0.349949449300766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0
Feminist Movement,I'll eat mac and cheese out of your front hole but only if you ask first #SemST,2,semeval,19.0,1.0,3.3157894736842106,1.2999041089714178,1.0,1.0,0.4736842105263157,0.1052631578947368,0.1578947368421052,0.1052631578947368,0.1578947368421052,0.0526315789473684,0.1578947368421052,1.0,0.631578947368421,0.0,3.5341176470588245,0.0,0.0526315789473684,0.125,0.6666666666666666,0.0363422743976116,0.0148638021200895,0.4796372950077057,0.0141233587637543,0.0017312822164967,0.0703332349658012,0.0,0.0,0.0,0.0,0.0,0.0,0.9037946462631226,16.0,0.0,0.0,0.0,1.0,0.9411764705882352,0.0,0.0,0.0,0.0588235294117647,test,0
healthcare,CVS plans to issue $40 billion debt to fund Aetna takeover which puts it on risk for potential credit downgrade.… https://t.co/a9IRzRbgZ0,2,wtwt,24.0,1.0,4.875,3.527422335549478,0.9583333333333334,0.9166666666666666,0.25,0.2916666666666667,0.375,0.1666666666666666,0.0416666666666666,0.0,0.0416666666666666,1.0,0.25,0.0833333333333333,10.3,0.0,0.0833333333333333,0.0,1.0,0.0145849036052823,0.0039674355648458,0.9351516962051392,0.0174970477819442,0.0019907592795789,0.0073180156759917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,1.0,0.0,0.0,0.9523809523809524,0.0,0.0476190476190476,0.0,0.0,,0
entertainment,Our J.G. Collins take on who wins and who loses in the Disney/Fox deal.  $CMCSA $SNE $DIS $FOXA https://t.co/uBKLkEkhUX,2,wtwt,27.0,3.0,3.703703703703704,3.297752487341046,0.8148148148148148,0.7037037037037037,0.2592592592592592,0.4814814814814814,0.4074074074074074,0.074074074074074,0.0,0.0,0.037037037037037,1.0,0.2962962962962963,0.1481481481481481,4.6,4.189935029992178,0.037037037037037,0.0,0.15,0.0497401244938373,0.1438826918601989,0.0670162811875343,0.1932028979063034,0.0031062765046954,0.2555167973041534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1
entertainment,Former Walt Disney chief executive Michael Eisner completes his takeover of League One Portsmouth https://t.co/9Gpm0kvehr,2,wtwt,17.0,1.0,6.294117647058823,3.626125884099398,1.0,1.0,0.1176470588235294,0.2941176470588235,0.7058823529411765,0.0588235294117647,0.0588235294117647,0.0,0.0588235294117647,1.0,0.2666666666666666,0.0588235294117647,10.3,0.0,0.0,0.0,0.0,0.016858460381627,0.4108411371707916,0.025542801246047,0.0978917330503463,0.002254927996546,0.2113708704710006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1
entertainment,DIS WEEKEND (AUG 19 &amp; 20) IS DA BEATMINERZ HOUSESTYLE TAKEOVER. UR FAV BMZ DJs PLAYING DA BEST HOUSE &amp; DISCO ON… https://t.co/S7corvF5TI,2,wtwt,32.0,2.0,3.8125,3.4499773549981456,0.875,0.75,0.03125,0.375,0.6875,0.0,0.0,0.0,0.0,1.0,0.064516129032258,0.0625,5.4,0.5,0.0,1.0,0.3,0.0124765401706099,0.1592637449502945,0.0024617598392069,0.066079631447792,0.002159756841138,0.2783882021903991,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1
Donald Trump,@HillaryClinton lies again She WAS subpoenaed! She violated law etc! #RedNationRising #SemST,2,semeval,17.0,3.0,4.764705882352941,4.304982226713409,0.8235294117647058,0.6470588235294118,0.2352941176470588,0.2941176470588235,0.2941176470588235,0.2352941176470588,0.0588235294117647,0.0588235294117647,0.1176470588235294,1.0,0.25,0.1176470588235294,12.316666666666666,1.632993161855452,0.0588235294117647,0.0,0.0,0.2139285951852798,0.0027864435687661,0.7708063721656799,0.0087536722421646,0.000528771081008,0.0020384266972541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,test,0
