target,text,stance,word_count,sentence_count,avg_word_length,std_word_length,type_token_ratio,hapax_legomena,stopword_ratio,punctuation_density,noun_ratio,verb_ratio,adj_ratio,adv_ratio,pronoun_ratio,avg_dependency_depth,function_word_ratio,punctuation_usage,readability_score,sentence_length_variation,subordinate_clause_ratio,sentiment_polarity,sentiment_subjectivity,anger,joy,fear,sadness,disgust,surprise,certainty_adverbs_count,certainty_verbs_count,certainty_adjectives_count,doubt_adverbs_count,doubt_verbs_count,doubt_adjectives_count,hedges_score,hedge_C_count,hedge_D_count,hedge_E_count,hedge_I_count,hedge_N_count,C_ratio,D_ratio,E_ratio,I_ratio,N_ratio
Legalization of Abortion,@__Porky @P226_Sig @_HankRearden @jrmadmen @aemdee who is for it. I'm not. But am for a women's right to her own body. #SemST,1,33.0,4.0,3.1515151515151514,2.5716544859729846,0.7878787878787878,0.696969696969697,0.3939393939393939,0.45454545454545453,0.42424242424242425,0.09090909090909091,0.030303030303030304,0.030303030303030304,0.09090909090909091,1.0,0.5357142857142857,0.09090909090909091,2.9,4.031128874149275,0.0,0.44285714285714284,0.7678571428571428,0.2738732695579529,0.11841962486505508,0.45375943183898926,0.1236460953950882,0.0010711116483435035,0.01783975400030613,0.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Legalization of Abortion,Anti choice laws are sexist because they only effect women*.   #SemST,1,14.0,2.0,4.071428571428571,1.9072899889740986,1.0,1.0,0.2857142857142857,0.21428571428571427,0.5,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,1.0,0.26666666666666666,0.07142857142857142,6.4,4.5,0.14285714285714285,0.0,1.0,0.8604546785354614,0.006416380871087313,0.10470736771821976,0.015137801878154278,0.0071687353774905205,0.0034075025469064713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Legalization of Abortion,So anti-choice laws are telling these women they're incapable and shouldn't make decisions that involve their own body.   #SemST,1,23.0,2.0,4.695652173913044,2.474825994914384,1.0,1.0,0.391304347826087,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.13043478260869565,0.08695652173913043,0.08695652173913043,1.0,0.46153846153846156,0.043478260869565216,9.5,8.5,0.043478260869565216,0.6,1.0,0.12572552263736725,0.018075164407491684,0.8095325827598572,0.030550381168723106,0.003080352209508419,0.007812515832483768,0.0,0.0,0.0,2.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Legalization of Abortion,I would never expect an 11 year old girl to have to carry a pregnancy to term #SemST,1,19.0,1.0,3.526315789473684,2.0096719044249243,0.8947368421052632,0.8421052631578947,0.3684210526315789,0.05263157894736842,0.2631578947368421,0.15789473684210525,0.05263157894736842,0.05263157894736842,0.05263157894736842,1.0,0.47368421052631576,0.0,6.8,0.0,0.10526315789473684,0.1,0.2,0.019018182530999184,0.014826972037553787,0.9123488664627075,0.008661982603371143,0.000793929910287261,0.038367919623851776,0.0,0.0,0.0,1.0,0.0,0.0,0.9458644390106201,17.0,1.0,0.0,0.0,0.0,0.9444444444444444,0.05555555555555555,0.0,0.0,0.0
Legalization of Abortion,Women ARE capable of making decisions #SemST,1,8.0,1.0,4.75,2.48746859276655,1.0,1.0,0.25,0.125,0.5,0.125,0.125,0.0,0.0,1.0,0.25,0.0,9.6,0.0,0.0,0.2,0.4,0.05034544691443443,0.027414478361606598,0.8064284324645996,0.0076911561191082,0.0016179265221580863,0.07395356148481369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Legalization of Abortion,Anti choice laws only effect women.  People don't care about things that don't effect men #SemST,1,20.0,2.0,4.0,1.61245154965971,0.85,0.7,0.25,0.2,0.5,0.15,0.0,0.15,0.0,1.0,0.3333333333333333,0.05,4.1,2.0,0.0,0.0,1.0,0.36213746666908264,0.015628281980752945,0.5802555084228516,0.021794678643345833,0.0036549444776028395,0.009766882285475731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Legalization of Abortion,People with a uterus can be pro choice. People who have been pregnant can be pro choice. People who lost a child can be prochoice #SemST,1,29.0,3.0,3.8275862068965516,2.1183755246079543,0.6206896551724138,0.3448275862068966,0.4482758620689655,0.10344827586206896,0.27586206896551724,0.20689655172413793,0.13793103448275862,0.0,0.0,1.0,0.4482758620689655,0.06896551724137931,2.0,0.4714045207910317,0.0,0.3333333333333333,0.5,0.021444594487547874,0.11691012978553772,0.33876803517341614,0.4856182634830475,0.002232671482488513,0.012836365960538387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Legalization of Abortion,Anti-choice laws are entirely men controlling women  #SemST,1,9.0,1.0,5.666666666666667,3.366501646120693,1.0,1.0,0.1111111111111111,0.2222222222222222,0.5555555555555556,0.2222222222222222,0.0,0.1111111111111111,0.0,1.0,0.08333333333333333,0.0,10.0,0.0,0.0,0.0,0.625,0.19849155843257904,0.01184037234634161,0.7681248784065247,0.01397637091577053,0.002703239908441901,0.003318512812256813,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Legalization of Abortion,Anti choice laws are sexist because they ignore the fact that men abandon their pregnant partners & those men face no punishment  #SemST,1,24.0,1.0,4.708333333333333,2.1885909977781495,0.9583333333333334,0.9166666666666666,0.3333333333333333,0.08333333333333333,0.375,0.16666666666666666,0.08333333333333333,0.0,0.08333333333333333,1.0,0.32,0.0,9.5,0.0,0.125,0.3333333333333333,0.5,0.47237879037857056,0.0038444134406745434,0.5026252865791321,0.01357381884008646,0.004877528641372919,0.001390092191286385,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Legalization of Abortion,@paigeymadisonn: 12. something you hate.  People who don't believe abortion should be kept safe and sterile. #SemST,1,23.0,3.0,4.260869565217392,3.123785208119315,0.9565217391304348,0.9130434782608695,0.2608695652173913,0.30434782608695654,0.21739130434782608,0.21739130434782608,0.13043478260869565,0.043478260869565216,0.043478260869565216,1.0,0.3333333333333333,0.13043478260869565,4.2,4.109609335312651,0.0,-0.15000000000000002,0.7,0.7348149418830872,0.020591512322425842,0.2019997090101242,0.03540807217359543,0.002060779370367527,0.0034634575713425875,0.0,1.0,0.0,1.0,0.0,0.0,0.9118249416351318,16.0,1.0,0.0,0.0,0.0,0.9411764705882353,0.058823529411764705,0.0,0.0,0.0
