target,text,stance
Climate Change is a Real Concern,The Weather app keeps taunting us with rain. #PNW #drought #SemST,2
Climate Change is a Real Concern,@UCSUSA @POTUS @NSCPress @DHSgov @nytimes Criminal capitalist wrecked economy08Now misleadingInvestors as to Risk of #Ecocide #SemST,1
Climate Change is a Real Concern,The stock market froze  In the summer ?!! #SemST,2
Climate Change is a Real Concern,"What has been will be again, what has been done will be done again; there is nothing new under the sun. Ecclesiastes 1:9 #SemST",2
Climate Change is a Real Concern,@xrisham Reminds me of Nottingham in the early 1960's #ActOnClimate #SemST,1
Climate Change is a Real Concern,"#ClimateChangeDefinitions ""settled science"" = flawed computer models with jiggered data to force a predefined conclusion. #SemST",0
Climate Change is a Real Concern,@algore: Will we change? That's the reason we are here. Be of good cheer. We're going to win this #CSOTA #SemST,1
Climate Change is a Real Concern,"@wattsupwiththat yes ironic that the alarmists are the actual ""deniers #SemST",0
Climate Change is a Real Concern,@JustinTrudeau Hey Justin I will give you 50 cents if you stop talking about climate 'Change' #Ottawa #davidsuzuki #cbc #SemST,0
Climate Change is a Real Concern,If @EPA & @POTUS don't have to follow SCOTUS why should anyone else have to #ClimateFraud #SpecialReport #WakeUpAmerica #SemST,0
Climate Change is a Real Concern,"Govt announcement on zero carbon homes ""short-sighted, unnecessary, retrograde and damaging"" says @UKGBC #energyefficiency #SemST",0
Climate Change is a Real Concern,"We are not ""killing the Earth"". The Earth has been through worse and will be fine after all humans suffocate, drown or starve #SemST",0
Climate Change is a Real Concern,@Agent350 This is not a fantasy this is negligence collusion with criminal corporations acting with negligence to #Ecocide #SemST,1
