target,text,stance,word_count,sentence_count,avg_word_length,std_word_length,type_token_ratio,hapax_legomena,stopword_ratio,punctuation_density,noun_ratio,verb_ratio,adj_ratio,adv_ratio,pronoun_ratio,avg_dependency_depth,function_word_ratio,punctuation_usage,readability_score,sentence_length_variation,subordinate_clause_ratio,sentiment_polarity,sentiment_subjectivity,anger,joy,fear,sadness,disgust,surprise,certainty_adverbs_count,certainty_verbs_count,certainty_adjectives_count,doubt_adverbs_count,doubt_verbs_count,doubt_adjectives_count,hedges_score,hedge_C_count,hedge_D_count,hedge_E_count,hedge_I_count,hedge_N_count,C_ratio,D_ratio,E_ratio,I_ratio,N_ratio
Legalization of Abortion,Need a ProLife R.E. Agent? - Support a ProLife Group (U-choose) at NoCost ProLifeRealEstate@Yahoo.com #SemST,0,22.0,3.0,4.2727272727272725,3.863368974704686,0.9090909090909091,0.8181818181818182,0.13636363636363635,0.45454545454545453,0.5454545454545454,0.045454545454545456,0.0,0.0,0.0,1.0,0.14285714285714285,0.18181818181818182,6.0,3.7416573867739413,0.0,0.0,0.0,0.022936366498470306,0.034466665238142014,0.29638490080833435,0.026988890022039413,0.0011650815140455961,0.12511876225471497,0.0,1.0,1.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Legalization of Abortion,I get several requests with petitions to save whales but never to stop the slaughter of babies in the wombs of mothers. #abortion. #SemST,0,28.0,3.0,4.071428571428571,2.5344564284585958,0.8214285714285714,0.6428571428571429,0.35714285714285715,0.14285714285714285,0.32142857142857145,0.10714285714285714,0.03571428571428571,0.03571428571428571,0.03571428571428571,1.0,0.4642857142857143,0.07142857142857142,10.3,9.899494936611665,0.03571428571428571,0.0,0.0,0.010117489844560623,0.00697345519438386,0.9583693742752075,0.020162105560302734,0.0014435478951781988,0.0017223588656634092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Legalization of Abortion,PRAYERS FOR BABIES Urgent prayer one in Lexington KY&two in Dallas TX&in Chattanooga TN  Life begins at conception  #SemST,0,24.0,1.0,4.25,2.8613807855648994,0.875,0.7916666666666666,0.20833333333333334,0.125,0.5833333333333334,0.041666666666666664,0.0,0.0,0.0,1.0,0.22727272727272727,0.0,10.7,0.0,0.0,0.0,0.0,0.0256511103361845,0.08501090109348297,0.7095151543617249,0.1482972651720047,0.0004455563030205667,0.018076680600643158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Legalization of Abortion,I have a right to identify as pregnant and have an abortion. Having an abortion confirms my power of choice. #PregnancyForAll #SemST,0,26.0,3.0,4.269230769230769,3.334639783425955,0.8076923076923077,0.6153846153846154,0.46153846153846156,0.15384615384615385,0.2692307692307692,0.19230769230769232,0.038461538461538464,0.0,0.07692307692307693,1.0,0.4230769230769231,0.07692307692307693,6.4,4.109609335312651,0.0,0.30952380952380953,0.5178571428571428,0.006121652200818062,0.05081142485141754,0.9164959788322449,0.022540710866451263,0.0011079584946855903,0.0016631681937724352,0.0,1.0,0.0,0.0,0.0,1.0,0.0,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Legalization of Abortion,It's undeniable that conception may also be the birth of a soul unto life itself. Why mess with that? #SemST,0,24.0,3.0,3.7083333333333335,2.3359360484016296,0.9583333333333334,0.9166666666666666,0.4166666666666667,0.16666666666666666,0.25,0.08333333333333333,0.08333333333333333,0.041666666666666664,0.08333333333333333,1.0,0.5416666666666666,0.08333333333333333,4.8,6.018490028422596,0.08333333333333333,-0.175,0.175,0.059251610189676285,0.005847538821399212,0.8495317101478577,0.014034862630069256,0.0020955854561179876,0.040345534682273865,0.0,0.0,0.0,0.0,0.0,0.0,0.9683977365493774,19.0,0.0,1.0,0.0,0.0,0.95,0.0,0.05,0.0,0.0
Legalization of Abortion,"The idea that a ""fetus"" isn't human is outrageous, I mean what else would it be? A dog? A dragon? The unborn are HUMAN BEINGS! #SemST",0,35.0,5.0,3.142857142857143,2.044405007999808,0.8571428571428571,0.7428571428571429,0.37142857142857144,0.2571428571428571,0.22857142857142856,0.14285714285714285,0.05714285714285714,0.05714285714285714,0.05714285714285714,1.0,0.45714285714285713,0.11428571428571428,4.8,5.5641710972974225,0.05714285714285714,-0.328125,0.47187500000000004,0.8737977743148804,0.002721103373914957,0.0961545780301094,0.0014086001319810748,0.015759281814098358,0.007341375574469566,0.0,0.0,0.0,2.0,1.0,1.0,0.8405584096908569,24.0,1.0,0.0,0.0,1.0,0.9230769230769231,0.038461538461538464,0.0,0.0,0.038461538461538464
Legalization of Abortion,@prolife_wife You can say that again! #AbortionIsMurder #AllLivesMatter #ProLifeYouth #SemST,0,16.0,2.0,5.1875,5.052459178459535,0.8125,0.75,0.25,0.4375,0.3125,0.0625,0.0625,0.0625,0.0625,1.0,0.3333333333333333,0.0625,11.1,1.0,0.0,0.0,0.0,0.00974347535520792,0.0014433579053729773,0.9833754897117615,0.004300773609429598,0.00033654950675554574,0.0005032915505580604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Legalization of Abortion,@__Porky @P226_Sig @_HankRearden @jrmadmen @aemdee who is for it. I'm not. But am for a women's right to her own body. #SemST,1,33.0,4.0,3.1515151515151514,2.5716544859729846,0.7878787878787878,0.696969696969697,0.3939393939393939,0.45454545454545453,0.42424242424242425,0.09090909090909091,0.030303030303030304,0.030303030303030304,0.09090909090909091,1.0,0.5357142857142857,0.09090909090909091,2.9,4.031128874149275,0.0,0.44285714285714284,0.7678571428571428,0.2738732695579529,0.11841962486505508,0.45375943183898926,0.1236460953950882,0.0010711116483435035,0.01783975400030613,0.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Legalization of Abortion,Anti choice laws are sexist because they only effect women*.   #SemST,1,14.0,2.0,4.071428571428571,1.9072899889740986,1.0,1.0,0.2857142857142857,0.21428571428571427,0.5,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,1.0,0.26666666666666666,0.07142857142857142,6.4,4.5,0.14285714285714285,0.0,1.0,0.8604546785354614,0.006416380871087313,0.10470736771821976,0.015137801878154278,0.0071687353774905205,0.0034075025469064713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Legalization of Abortion,So anti-choice laws are telling these women they're incapable and shouldn't make decisions that involve their own body.   #SemST,1,23.0,2.0,4.695652173913044,2.474825994914384,1.0,1.0,0.391304347826087,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.13043478260869565,0.08695652173913043,0.08695652173913043,1.0,0.46153846153846156,0.043478260869565216,9.5,8.5,0.043478260869565216,0.6,1.0,0.12572552263736725,0.018075164407491684,0.8095325827598572,0.030550381168723106,0.003080352209508419,0.007812515832483768,0.0,0.0,0.0,2.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Legalization of Abortion,"Fair IS fair if U believe an unborn child has no right to life, then UR saying I can decide if you do?? #SemST",0,28.0,2.0,3.107142857142857,1.7995889553348745,0.9285714285714286,0.8571428571428571,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.17857142857142858,0.07142857142857142,0.03571428571428571,0.07142857142857142,1.0,0.42857142857142855,0.07142857142857142,7.9,11.0,0.25,0.41904761904761906,0.7785714285714286,0.3239043056964874,0.0417463481426239,0.5464320778846741,0.0133183803409338,0.002176692709326744,0.04403599724173546,0.0,2.0,0.0,0.0,1.0,0.0,0.971710741519928,21.0,1.0,0.0,1.0,1.0,0.875,0.041666666666666664,0.0,0.041666666666666664,0.041666666666666664
Legalization of Abortion,#FF #Patriot --> PigsWalkUpright.  Thanks 4 following back!! #Truth #Liberty #Justice #ProIsrael #2A #RiseUpAmerica #ProudAmerican #SemST,2,30.0,3.0,4.033333333333333,4.135080275990889,0.6666666666666666,0.6,0.0,0.5333333333333333,0.36666666666666664,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.0,1.0,0.03225806451612903,0.1,8.8,1.8856180831641267,0.0,0.06666666666666667,0.10000000000000002,0.0457397885620594,0.27990850806236267,0.6588147282600403,0.008709699846804142,0.0008050155593082309,0.0029605210293084383,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Legalization of Abortion,"Meanwhile, @JustinTrudeau wants to waste your money to kill innocent children in the womb. #dangerous #hypocrite #noChoice #SemST",0,25.0,2.0,4.48,3.336105513918887,0.84,0.76,0.2,0.28,0.24,0.12,0.12,0.08,0.04,1.0,0.25,0.04,6.8,5.0,0.08,-0.024999999999999994,0.425,0.004260419402271509,0.001815162249840796,0.9915829300880432,0.0012633719015866518,0.0003650599392130971,0.00036771848681382835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
