feature,shap_importance,iteration,stance,model
type_token_ratio,1.0109336205804067,2,AGAINST,Logistic Regression
function_word_ratio,0.780004364737259,2,AGAINST,Logistic Regression
adv_ratio,0.7255954914884373,2,AGAINST,Logistic Regression
hedges_score,0.678659749207575,2,AGAINST,Logistic Regression
doubt_adverbs_count,0.6730006489419322,2,AGAINST,Logistic Regression
anger,0.5653794655574608,2,AGAINST,Logistic Regression
readability_score,0.5348775797176198,2,AGAINST,Logistic Regression
sentence_length_variation,0.4860019358153893,2,AGAINST,Logistic Regression
avg_word_length,0.4212697591720717,2,AGAINST,Logistic Regression
noun_ratio,0.3713927237696764,2,AGAINST,Logistic Regression
pronoun_ratio,0.36088380047904367,2,AGAINST,Logistic Regression
hapax_legomena,0.29568951716749525,2,AGAINST,Logistic Regression
hedge_C_count,0.2945083746426729,2,AGAINST,Logistic Regression
sentence_count,0.27564268341309933,2,AGAINST,Logistic Regression
C_ratio,0.23692942269107153,2,AGAINST,Logistic Regression
certainty_adverbs_count,0.2136845930490474,2,AGAINST,Logistic Regression
adj_ratio,0.2126802882700932,2,AGAINST,Logistic Regression
hedge_D_count,0.1991659576564774,2,AGAINST,Logistic Regression
fear,0.19084394167766924,2,AGAINST,Logistic Regression
N_ratio,0.185538941342165,2,AGAINST,Logistic Regression
doubt_adjectives_count,0.17810509937649635,2,AGAINST,Logistic Regression
verb_ratio,0.16017840236776118,2,AGAINST,Logistic Regression
punctuation_density,0.1565338081874681,2,AGAINST,Logistic Regression
sadness,0.15258330551570246,2,AGAINST,Logistic Regression
hedge_N_count,0.1356851253111733,2,AGAINST,Logistic Regression
punctuation_usage,0.10959150632305366,2,AGAINST,Logistic Regression
sentiment_polarity,0.10625284053280787,2,AGAINST,Logistic Regression
sentiment_subjectivity,0.10021815717495124,2,AGAINST,Logistic Regression
std_word_length,0.09920415308603092,2,AGAINST,Logistic Regression
certainty_verbs_count,0.08513211517991941,2,AGAINST,Logistic Regression
disgust,0.08463683726590933,2,AGAINST,Logistic Regression
joy,0.0714621653755511,2,AGAINST,Logistic Regression
hedge_E_count,0.06803137182577479,2,AGAINST,Logistic Regression
subordinate_clause_ratio,0.06765422680326517,2,AGAINST,Logistic Regression
doubt_verbs_count,0.06226337623342472,2,AGAINST,Logistic Regression
stopword_ratio,0.05736436592996566,2,AGAINST,Logistic Regression
surprise,0.048495949324105087,2,AGAINST,Logistic Regression
E_ratio,0.03324152088573337,2,AGAINST,Logistic Regression
certainty_adjectives_count,0.02473408789382149,2,AGAINST,Logistic Regression
D_ratio,0.019900927585537995,2,AGAINST,Logistic Regression
word_count,0.017703546558219044,2,AGAINST,Logistic Regression
hedge_I_count,0.01383530773145789,2,AGAINST,Logistic Regression
I_ratio,0.008791277718063366,2,AGAINST,Logistic Regression
avg_dependency_depth,0.0,2,AGAINST,Logistic Regression
