target,text,stance
Donald Trump,Today & everyday I am proud to be an American. I'm honored to be apart of the best the world has to offer! #4thofJuly #SemST,0
Donald Trump,I feel like the 2016 Presidential race is @realDonaldTrump vs. Matropolis ie The Machine.    Lets defeat the machine #SemST,1
Donald Trump,"Holy shit ,the @realDonaldTrump is one looney mother fucker.  He'll never make it to the first debate #sideshow #SemST",0
Donald Trump,@moonlightnstars @RichardFLopes @edmontalbans you're right and I didn't vote for Obonzo and not voting for #Hillary #SemST,2
Donald Trump,NASCAR abandons Trump. Some good news to end my day with   #Trump #SemST,0
Donald Trump,"just want to give a big #shoutout to my #1 man these days, @realDonaldTrump  Get 'er done, big guy!!  #SemST",1
Donald Trump,"hey y'all giving a big old s/o to donald trump, we settled our differences and are butt tight now #SemST",1
Donald Trump,"Goodbye Macy's, nbc,univision. Illegals are raping&murdering thx to Obama. Trump is right. #SemST",0
Donald Trump,@inmatemd @ChuckNellis @Oh_MarieLoDuca We can only hope #SemST,2
Donald Trump,@POTUS The whole light thing with the people's house was disgraceful.  #SemST,2
Donald Trump,Go back to focusing on brainless beauties... Oh wait you can't cuz you've been fired #NBC #youlose #sorrynotsorry #SemST,0
Donald Trump,I'm voting for Donald Trump ! #SemST,0
Donald Trump,Top 10 Questions at Declaration of Independence signing  8. Are all Mexicans rapists and murderers? #4thjuly #SemST,0
Donald Trump,"Donald Trump gets the boot from #NBC for calling immigrants rapists and murderers. Hey Donnie, where's your wife from again? #SemST",0
Donald Trump,No you see Donald Trump was saying Mexican immigrants are all *rappists* like with the hip hop y'all  #Trump #SemST,1
Donald Trump,Donald Trump is only saying what ALL the other 2016 GOP Presidential candidates are thinking! Bad things!! #GOP #Trump #POTUS #SemST,0
Donald Trump,@Rene_gadeCowboy @danoroadblade yes but if a cop bust a bunch of people having a riot it is a hate crime #SemST,2
Donald Trump,@ChrisleyChase think your adorable. Remind me of my nephew. Stay young. The new comb over you're sporting is aging you. #SemST,0
Donald Trump,#KellyFile remember the days when we believed #SCOTUS would follow the #constitution well they gone #SemST,0
