feature,shap_importance,iteration,stance,model
hedge_C_count,0.5298622573207886,10,All_Stances,Logistic Regression
type_token_ratio,0.441059322613605,10,All_Stances,Logistic Regression
word_count,0.37689826050561254,10,All_Stances,Logistic Regression
hapax_legomena,0.3700362582037902,10,All_Stances,Logistic Regression
avg_word_length,0.3286990256693341,10,All_Stances,Logistic Regression
fear,0.2848060704086142,10,All_Stances,Logistic Regression
verb_ratio,0.26811075259804507,10,All_Stances,Logistic Regression
stopword_ratio,0.2631656837335722,10,All_Stances,Logistic Regression
function_word_ratio,0.2090091774046704,10,All_Stances,Logistic Regression
hedges_score,0.1747167532355095,10,All_Stances,Logistic Regression
std_word_length,0.16147610518012234,10,All_Stances,Logistic Regression
certainty_adjectives_count,0.15704825344758255,10,All_Stances,Logistic Regression
punctuation_density,0.15510102587728597,10,All_Stances,Logistic Regression
surprise,0.10643035381693926,10,All_Stances,Logistic Regression
sentence_count,0.09968251704414607,10,All_Stances,Logistic Regression
readability_score,0.09276804715099861,10,All_Stances,Logistic Regression
E_ratio,0.08990722287019118,10,All_Stances,Logistic Regression
sadness,0.07994257604189857,10,All_Stances,Logistic Regression
sentence_length_variation,0.07862230205833491,10,All_Stances,Logistic Regression
doubt_adverbs_count,0.07404167100767649,10,All_Stances,Logistic Regression
C_ratio,0.06607682003573066,10,All_Stances,Logistic Regression
certainty_adverbs_count,0.056518322861858615,10,All_Stances,Logistic Regression
joy,0.055908936718831105,10,All_Stances,Logistic Regression
hedge_D_count,0.055905281728893315,10,All_Stances,Logistic Regression
pronoun_ratio,0.0555674270319763,10,All_Stances,Logistic Regression
sentiment_subjectivity,0.05352847080991034,10,All_Stances,Logistic Regression
adj_ratio,0.05191336681286467,10,All_Stances,Logistic Regression
anger,0.04816701034019256,10,All_Stances,Logistic Regression
D_ratio,0.04671775178392854,10,All_Stances,Logistic Regression
disgust,0.04471003806128483,10,All_Stances,Logistic Regression
subordinate_clause_ratio,0.03819905188060556,10,All_Stances,Logistic Regression
noun_ratio,0.036361628144000444,10,All_Stances,Logistic Regression
doubt_verbs_count,0.03456178005348663,10,All_Stances,Logistic Regression
hedge_N_count,0.028195439160658788,10,All_Stances,Logistic Regression
doubt_adjectives_count,0.02320646847943428,10,All_Stances,Logistic Regression
adv_ratio,0.02051905517057458,10,All_Stances,Logistic Regression
punctuation_usage,0.018929787973841917,10,All_Stances,Logistic Regression
sentiment_polarity,0.01431350031603984,10,All_Stances,Logistic Regression
hedge_E_count,0.013509614804628485,10,All_Stances,Logistic Regression
certainty_verbs_count,0.01132364294934358,10,All_Stances,Logistic Regression
N_ratio,0.007453647865030824,10,All_Stances,Logistic Regression
hedge_I_count,0.006004876628857127,10,All_Stances,Logistic Regression
I_ratio,0.004293818465199036,10,All_Stances,Logistic Regression
avg_dependency_depth,0.0,10,All_Stances,Logistic Regression
