target,text,stance
stay_at_home_orders,"@sanket True that! In fact the Virus is in its much stronger avatar and it probably has learnt to adapt to the weather. This one is more dangerous than the original version.
We need more preparedness and more precautions.

#CoronaVirus",1
stay_at_home_orders,"@GavinNewsom be the Governor I thought you were and order another #StayAtHome mandate. Clearly you know the numbers, #FlattenTheCurve &amp; save #California - for your children &amp; mine! #GavinNewsom #Covid_19",1
stay_at_home_orders,"@thegoodgodabove &amp; some AHOLE from #Texas just drove all way to #Montana to start Coughing uncontrollably in next aisle over from me, heard him keep coughing until a Store Manager ASKED HIM TO LEAVE...
i counted 7 different Out-of-State Plates in 3blocks... WTF",1
stay_at_home_orders,@FoxNews Protecting the vulnerable is a big part of the plumeting of death rates.,1
stay_at_home_orders,"@Matthew_Xing @thehill ""During a highly infectious and deadly global pandemic maybe we want people to stay home you stupid POS.""
#DontDieForWallStreet",1
stay_at_home_orders,"#FridayFeeling 
#FridayMotivation 
:point_right::point_right:Live Today As it is Your LasT day:face_with_rolling_eyes::face_with_rolling_eyes::innocent::innocent::innocent:
#StayHomeStaySafe",1
stay_at_home_orders,A good friend is sobbing to my wife as her aunt is dying of COVID-19 because she had the nerve to get a kidney stone and have to go to a hospital. So with all due respect (which is none) fuck all of you ghouls who want to,1
stay_at_home_orders,"@anushkasen_04 Happy birthday the cutest girl in the world :smiling_face_with_3_hearts::smiling_face_with_3_hearts::innocent:
.
.
.
.
.
#StayAtHome",1
stay_at_home_orders,@News24 @City_Press This is a very real danger I see in people around me. Please observe all health protocols. It could save your life.,1
stay_at_home_orders,"Will somebody ask Trump how, exactly, he, personally, will reopen the economy?

I'd really like to know what the fk he thinks he can do other than make grunting noises
#DailyBriefing #COVID19 ",1
stay_at_home_orders,"#Florida @GovRonDeSantis is an irresponsible nut job. 

#Covid19 #WearAMask ",1
stay_at_home_orders,"@abidlll @diprjk @kansalrohit69 @DrSyedSehrish @airnewsalerts @ANI @PTI_News @ddnews_jammu @ddnewsSrinagar @HealthMedicalE1 Brother we ourselves are as much responsible for our health n wellbeing.
We should follow all the guidelines wear face Masks and do our bit in this fight against Covid19.",1
stay_at_home_orders,"COVID-19 Ireland Day 26: We applauded our health workers. A long over due reward. 
#Coronavirusireland #COVID19IRELAND #Coronacrisis ",1
stay_at_home_orders,"@DrAlGrossAK #Alaska opens up, allows visitors and GUESS what happens:exclamation_question_mark_selector: #COVID19 #SURGE #WTF Where is “Leadership” taking us - to the #Morgue :exclamation_question_mark_selector::scream:#WearAMask",1
stay_at_home_orders,"@DDNational Great initiative now to #breakdown  #COVID19 by #Lockdown21 completely.

",1
stay_at_home_orders,"Extremely concerned to hear about the news of Shri @SrBachchan Ji &amp; @juniorbachchan testing COVID Positive. My prayers for their speedy &amp; safe recovery. We look forward to seeing them hale and hearty. 
Once Again my appeal to everyone - #WearAMask",1
stay_at_home_orders,Covid19 is real. I just lost cousing brother now.,1
stay_at_home_orders,"@TMZ @TooFab I feel bad for people that get this virus, but also your an idiot to act like your invincible and that your not going to get it or that it's the flu. It's not the fucking flu people. #WearADamnMask, #StaySafe, #StayHealthy, and",1
stay_at_home_orders,"I hate that I have to add the words “When we get to meet each other....” talking to some of my closest friends. 
#WearAMask #WearADamnMask",1
stay_at_home_orders,Can @NAkufoAddo please lockdown. At this point it is the right call!,1
