feature,shap_importance,iteration,stance,model
avg_word_length,0.6575588498851477,3,All_Stances,Logistic Regression
noun_ratio,0.4522099468178683,3,All_Stances,Logistic Regression
word_count,0.44221721423477756,3,All_Stances,Logistic Regression
fear,0.4126555174094446,3,All_Stances,Logistic Regression
punctuation_density,0.3451656821793625,3,All_Stances,Logistic Regression
hedge_N_count,0.2620933064014906,3,All_Stances,Logistic Regression
hedge_C_count,0.24588849021297385,3,All_Stances,Logistic Regression
N_ratio,0.23833037823125067,3,All_Stances,Logistic Regression
function_word_ratio,0.2304780698022232,3,All_Stances,Logistic Regression
std_word_length,0.21912864681465985,3,All_Stances,Logistic Regression
C_ratio,0.2181960446745483,3,All_Stances,Logistic Regression
sentence_count,0.20743823863576188,3,All_Stances,Logistic Regression
adj_ratio,0.178725748126424,3,All_Stances,Logistic Regression
certainty_adjectives_count,0.16095410839146984,3,All_Stances,Logistic Regression
joy,0.15106891167314454,3,All_Stances,Logistic Regression
certainty_adverbs_count,0.1390640669986784,3,All_Stances,Logistic Regression
stopword_ratio,0.12751594584577777,3,All_Stances,Logistic Regression
readability_score,0.12129521051116972,3,All_Stances,Logistic Regression
pronoun_ratio,0.09849454350092844,3,All_Stances,Logistic Regression
verb_ratio,0.08845616298773701,3,All_Stances,Logistic Regression
doubt_adjectives_count,0.08786176582954108,3,All_Stances,Logistic Regression
subordinate_clause_ratio,0.07936105984619861,3,All_Stances,Logistic Regression
E_ratio,0.0762166999625675,3,All_Stances,Logistic Regression
sentiment_subjectivity,0.07042396491337564,3,All_Stances,Logistic Regression
sentence_length_variation,0.06554416424512613,3,All_Stances,Logistic Regression
hedge_D_count,0.05651578596592356,3,All_Stances,Logistic Regression
punctuation_usage,0.05130152216887562,3,All_Stances,Logistic Regression
hapax_legomena,0.050585399860366406,3,All_Stances,Logistic Regression
anger,0.044553865454220534,3,All_Stances,Logistic Regression
hedges_score,0.039087889637684406,3,All_Stances,Logistic Regression
disgust,0.03742208095498513,3,All_Stances,Logistic Regression
D_ratio,0.037246664119256506,3,All_Stances,Logistic Regression
type_token_ratio,0.037011131064070814,3,All_Stances,Logistic Regression
sadness,0.03334559494363477,3,All_Stances,Logistic Regression
surprise,0.026321187943097176,3,All_Stances,Logistic Regression
adv_ratio,0.024697197863262767,3,All_Stances,Logistic Regression
hedge_E_count,0.022009633319029012,3,All_Stances,Logistic Regression
sentiment_polarity,0.01853710900847232,3,All_Stances,Logistic Regression
certainty_verbs_count,0.010191480472354502,3,All_Stances,Logistic Regression
doubt_verbs_count,0.0030387426234551127,3,All_Stances,Logistic Regression
hedge_I_count,0.0009130332988374758,3,All_Stances,Logistic Regression
I_ratio,0.00025726061118610003,3,All_Stances,Logistic Regression
doubt_adverbs_count,8.978087602917959e-05,3,All_Stances,Logistic Regression
avg_dependency_depth,0.0,3,All_Stances,Logistic Regression
