"target"	"tweet"	"domain"	"stance"
"CVS_AET"	"Deals , deals and more ...CVS buying Aetna for combo of cash( $145 ) and stock ($62)"	"healthcare"	"support"
"AET_HUM"	"Do investigating all the Chinese hacks: OPM which put unverifiable intel agents into our systems Aetna Humana.... https://t.co/I6BO8suJ5u"	"healthcare"	"unrelated"
"ANTM_CI"	"INVESTMENT NEWS Zacks Industry Outlook Highlights: Anthem, Cigna, Aetna and Humana https://t.co/HB26EywC3j … https://t.co/GtdNW1SpVi"	"healthcare"	"unrelated"
"ANTM_CI"	"#TSXVenture #stocks: #Merger #Acquisition: Anthem Ventures Capital : meager growth for Oct 2015. http://t.co/eigm2OaCAv #Merger"	"healthcare"	"unrelated"
"ANTM_CI"	"#NTT #NipponTelegraph &amp; #Telephone Corporation:  #MHI and #NTT Conclude Agreement https://t.co/sbXHTUn87F"	"healthcare"	"unrelated"
"AET_HUM"	"What Aetna’s $37B acquisition of Humana could mean for digital health http://t.co/uNyj0esSVZ #corporatehealth http://t.co/J1XoVL1rW5"	"healthcare"	"comment"
"CVS_AET"	"The future of #healthcare is difficult to predict but recent poll shows CVS and Aetna will have the greatest impact… https://t.co/u7yJMe1HoT"	"healthcare"	"comment"
"AET_HUM"	"Seven reasons to say no to the Aetna-Humana merger #department https://t.co/s5LTa2kVgn"	"healthcare"	"refute"
"CVS_AET"	"#Aetna takes 1Q loss on failed Humana bid, ups 2017 forecast. Read more: https://t.co/SJJ9X0RS7A $AET"	"healthcare"	"unrelated"
"CVS_AET"	"Aetna pulls out of profitable deal b/c they're pissd at Obama admin for not letting them merge with Humana. Where is the press? #ACARepeal"	"healthcare"	"unrelated"
"ANTM_CI"	"Wall Street Hates The Anthem-Cigna Deal: The Two Companies Have Already Lost $3B In Value"	"healthcare"	"refute"
"AET_HUM"	"Why did @Aetna &amp; @Humana LEAVE THE #ACA - a #SPITE - #Aetna tried to MERGE with #HUMANA for its #MedicareHMO Product and the #FEDERALTADECO…"	"healthcare"	"comment"
"CI_ESRX"	"Express Scripts diversifies with $3.6 billion eviCore acquisition https://t.co/2S7KhI9ugi https://t.co/xZQH17nPlq"	"healthcare"	"unrelated"
"ANTM_CI"	"@Ci_Gotti plz get jaz she the bid in here"	"healthcare"	"unrelated"
"CVS_AET"	"CVS BID FOR AETNA: A $66 billion bet on cutting drug costs $CVS $AET - Reuters https://t.co/yIFc9G5TaO"	"healthcare"	"support"
"CVS_AET"	"US pharmacy firm CVS to buy Aetna for $69 billion https://t.co/WURkBlMqYz"	"healthcare"	"support"
"AET_HUM"	"Hum Network Limited (HUMNL) &amp; Eros International Ink Content Agreement
http://t.co/7k0zBnihEY http://t.co/KoRRKIHcVm"	"healthcare"	"unrelated"
"AET_HUM"	"Pending mergers (Aetna-Humana &amp; Cigna-Anthem) could further concentrate #MedicareAdvantage enrollment among insurers https://t.co/KL9jPXBDMZ"	"healthcare"	"comment"
"CVS_AET"	"@RobinsonTunesia Very interesting to read about this. Looks like CVS is staying up on their #PESTEL assesment. Inst… https://t.co/cpRC2dZQfZ"	"healthcare"	"unrelated"
"CVS_AET"	"Uber approaches current or former officials from Disney, Wal-Mart and CVS in bid to bring discipline to its culture https://t.co/RUZweI5dbH"	"healthcare"	"unrelated"
"ANTM_CI"	"$UNH looking very bullish here with earnings coming up. Could be they are getting ready to announce $CI bid very soon as well."	"healthcare"	"unrelated"
"CVS_AET"	"$AET $CVS deal is a blockbuster virtually no one foresaw. Will be interesting to follow given the latest $T $TWX snag."	"healthcare"	"comment"
"ANTM_CI"	"@Ci_Gotti I was just thinking the same thing sometime I tweet stuff cuz ik he was goina comment an bid with me😔"	"healthcare"	"unrelated"
"CVS_AET"	"BBC to remove grades from CVs in bid to recruit fewer posh people https://t.co/mYgbZEjgMz"	"healthcare"	"unrelated"
"CVS_AET"	"The Reinvention of Vital Service Distribution in the Age of #CVS-Aetna | https://t.co/DwWkEebXee… https://t.co/Qm76yzRUqF"	"healthcare"	"comment"
"ANTM_CI"	"Good news: Court blocks merger of insurers Anthem &amp; Cigna! We need national PUBLIC health insurance, NOT PRIVATE. https://t.co/s8oFX77EnW"	"healthcare"	"refute"
"AET_HUM"	"TBEV High Performance Beverage Co. Bid
http://t.co/gKSZ0dXqyv

$TBEV $GDX $HUM $EPI #TBEV #tradeideas #investing"	"healthcare"	"unrelated"
"ANTM_CI"	"U.S. hospitals urge antitrust probe of Anthem-Cigna deal http://t.co/lioyAdA0rp"	"healthcare"	"refute"
"AET_HUM"	"Banner, Humana announce accountable care agreement: Banner Network Colorado and Humana Inc. announced a new… http://t.co/gdWhDxPP5l"	"healthcare"	"unrelated"
"ANTM_CI"	"Aetna may be targeting a major health insurer as an acquisition prospect.  Most likely: Humana – or is it CIGNA? #healthinsurance"	"healthcare"	"support"
"ANTM_CI"	"Cigna gets a value based agreement for cholesterol medications https://t.co/wpD5bnnfep via @WSJ"	"healthcare"	"unrelated"
"ANTM_CI"	"@akrabat that depends on how good your code review gating is (ie. Gerrit with at least 2 peer reviews and CI approve before merge possible)"	"healthcare"	"unrelated"
"ANTM_CI"	"Anthem Announces Acquisition of TNA – Dixie Carter Moved to Advisory Board https://t.co/E3QMSaURCM"	"healthcare"	"unrelated"
"AET_HUM"	"When @flblue @aetna @humana @myUHC talks #icd10, you'll want to listen! Join in the call Nov 21: http://t.co/05WQEVQBNa @ShimCode @Availity"	"healthcare"	"unrelated"
"ANTM_CI"	"Fine for #UK to have new national #anthem provided spirit of Good Friday Agreement is respected &amp; words make no claim on Northern #Ireland"	"healthcare"	"unrelated"
"ANTM_CI"	"Another 60 mins of tunes picked by you guys on #Takeover ! What is your ultimate Friday anthem?"	"healthcare"	"unrelated"
"ANTM_CI"	"ICYMI, #CO DOI postponed action on Anthem-Cigna merger in light of federal suits  https://t.co/ubIkfA86V9 via @denbizjournal #cohealth"	"healthcare"	"comment"
"ANTM_CI"	"Bleacher Report - Chelsea Transfer News: Juventus Plan Oscar Bid, Latest Paul Pogba Rumours https://t.co/PepJJoTOKu #CI"	"healthcare"	"unrelated"
"CVS_AET"	"AdWeek: ""Yes, the #CVS and #Aetna Merger Will Transform #Healthcare. CVS and Aetna have a new vision for healthcare… https://t.co/FhfwpS2Ssb"	"healthcare"	"comment"
"AET_HUM"	"Consumer Groups To DOJ: No Way To Protect Consumers If Anthem-Cigna,  Aetna-Humana, Merge https://t.co/L7HSmQk8sn"	"healthcare"	"comment"
"ANTM_CI"	"#IfYouMissedIt Cigna balks at $47 billion bid http://t.co/jxcarBvX7I  http://t.co/CWTumx9B5U"	"healthcare"	"support"
"CVS_AET"	"@jamie_allen Yeah, this one keeps sending me CVs along with a contract agreement form. About to block the agency."	"healthcare"	"unrelated"
