feature,mean_shap_importance,std_shap_importance,num_iterations,iterations_list,coefficient_of_variation,consistency_score,mean_directional,std_directional,positive_ratio,negative_ratio,consistent_direction,direction_strength
type_token_ratio,0.42972,0.286694,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6672,0.42972,0.09933126759899437,0.6347200011229984,0.5219807158032358,0.4780192841967642,Positive,0.15649619652490454
avg_word_length,0.417334,0.245383,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.588,0.417334,0.10637690555504253,0.5902192230150604,0.6054910933159013,0.3945089066840987,Positive,0.18023286874544828
word_count,0.363539,0.122219,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.3362,0.363539,-0.06924859536063575,0.5377284431609114,0.49370812224219646,0.5062918777578036,Negative,0.12877986082673143
hapax_legomena,0.311758,0.19153,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6144,0.311758,-0.07002920546826177,0.4341671894792973,0.4557934302990685,0.5442065697009315,Negative,0.16129547683991044
fear,0.289472,0.126567,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.4372,0.289472,-0.03699490848874508,0.3700898315006112,0.6069619218826605,0.39303807811733943,Negative,0.09996196690711918
hedge_C_count,0.268736,0.179773,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.669,0.268736,0.035049319566255704,0.44649561080464484,0.4809609413302827,0.5190390586697172,Positive,0.07849868606346495
noun_ratio,0.24296,0.242464,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.998,0.24296,-0.050570601988420866,0.41226287366286124,0.4526883477692433,0.5473116522307566,Negative,0.1226659104965081
stopword_ratio,0.234994,0.120464,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5126,0.234994,0.01376395071294931,0.3135948813890113,0.5267200522961268,0.47327994770387316,Positive,0.0438908639486581
punctuation_density,0.231419,0.124998,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5401,0.231419,-0.011732719049556006,0.32032407820881775,0.4572642588658278,0.5427357411341722,Negative,0.03662765143627757
verb_ratio,0.198898,0.115336,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5799,0.198898,0.008669581493976836,0.27673653835313355,0.5262297761072071,0.47377022389279294,Positive,0.0313279237801069
std_word_length,0.181042,0.100297,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.554,0.181042,-0.027480549530493007,0.2634072431017662,0.461513319169799,0.538486680830201,Negative,0.10432723171778424
function_word_ratio,0.166453,0.115489,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6938,0.166453,0.011688425114211956,0.2393286151538501,0.5174048047066514,0.4825951952933486,Positive,0.048838391591052535
sentence_count,0.14417,0.089799,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6229,0.14417,-0.03580590293823152,0.23378374133253343,0.549926458571662,0.45007354142833794,Negative,0.15315821879896732
certainty_adjectives_count,0.141646,0.037601,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.2655,0.141646,0.022762317071203873,0.1990027359140719,0.23713025004085636,0.7628697499591437,Positive,0.11438192456415901
C_ratio,0.139686,0.083345,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5967,0.139686,-0.005693219036075822,0.23976706129293657,0.2049354469684589,0.7950645530315411,Negative,0.02374479116492233
hedge_N_count,0.111398,0.081038,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.7275,0.111398,-0.0011425315352118573,0.3543834880086938,0.8168001307403171,0.18319986925968296,Negative,0.0032239975665679234
adj_ratio,0.110652,0.103082,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.9316,0.110652,-0.005779527606273889,0.18747720862650236,0.47115541755188756,0.5288445824481124,Negative,0.030827892842746056
N_ratio,0.100047,0.081222,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.8118,0.100047,0.003089714820246955,0.3544224792456477,0.18319986925968296,0.8168001307403171,Positive,0.00871760374693801
doubt_adverbs_count,0.086654,0.048686,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5618,0.086654,0.005543554817395357,0.12540967525047272,0.7926131720869423,0.20738682791305768,Positive,0.04420356215968145
joy,0.082771,0.033512,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.4049,0.082771,0.009309335849989022,0.13703198948316755,0.3196600751756823,0.6803399248243177,Positive,0.06793548868220771
hedges_score,0.082331,0.04075,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.495,0.082331,-0.0017437894525373138,0.12847634465972757,0.7494688674620036,0.2505311325379964,Negative,0.013572843478909238
anger,0.080539,0.042525,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.528,0.080539,0.0009318916689301766,0.13573798035346257,0.7174374897859127,0.2825625102140873,Positive,0.006865371046849337
readability_score,0.073828,0.058832,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.7969,0.073828,-0.0033544980263853393,0.11759291955891257,0.4873345317862396,0.5126654682137605,Negative,0.028526358165988017
surprise,0.069367,0.037522,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5409,0.069367,-0.0008488821629648597,0.10315411263041342,0.5719888870730512,0.4280111129269488,Negative,0.008229260656951967
pronoun_ratio,0.068176,0.059005,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.8655,0.068176,-0.00587198062034971,0.11402618682691994,0.47475077627063245,0.5252492237293676,Negative,0.05149676814410266
certainty_adverbs_count,0.066184,0.040112,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6061,0.066184,-0.0004854092096719457,0.11911337611279761,0.12028109168164733,0.8797189083183526,Negative,0.004075186051820192
subordinate_clause_ratio,0.065251,0.04558,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6985,0.065251,-0.0024517401060628104,0.0945303246175511,0.49893773492400717,0.5010622650759928,Negative,0.02593601425385841
hedge_D_count,0.062539,0.031339,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5011,0.062539,-0.0006404388237982853,0.16355946418553144,0.3981042654028436,0.6018957345971564,Negative,0.003915632689499921
adv_ratio,0.059348,0.033303,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5611,0.059348,0.00013482855638537102,0.09028615564333187,0.5120117666285341,0.4879882333714659,Positive,0.001493346798201623
sentiment_subjectivity,0.056192,0.045482,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.8094,0.056192,0.007041044906867867,0.08267382143633378,0.47949011276352344,0.5205098872364765,Positive,0.08516654888905324
certainty_verbs_count,0.050703,0.054352,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",1.072,0.050703,0.001622017466297257,0.09815194062095209,0.5795064553031541,0.4204935446968459,Positive,0.016525575457600857
doubt_adjectives_count,0.048553,0.02775,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5715,0.048553,0.0020809151522537817,0.09044357503331323,0.6551724137931034,0.3448275862068966,Positive,0.023007880011471405
punctuation_usage,0.048395,0.034729,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.7176,0.048395,-0.0037705769605518203,0.08153890990503111,0.5549926458571662,0.4450073541428338,Negative,0.046242665035831174
E_ratio,0.048257,0.038901,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.8061,0.048257,-0.0014020827926385215,0.10962956799440689,0.4610230429808792,0.5389769570191207,Negative,0.01278927474034474
sadness,0.045778,0.025639,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5601,0.045778,-0.0006494583722358948,0.08975909125392398,0.6978264422291224,0.3021735577708776,Negative,0.007235571247517394
hedge_E_count,0.045427,0.031747,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6989,0.045427,-0.0033196105993456146,0.09424382353100003,0.33780029416571333,0.6621997058342867,Negative,0.035223637186338363
D_ratio,0.043998,0.031763,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.7219,0.043998,0.0005940082463155402,0.13336512230407907,0.5363621506782154,0.4636378493217846,Positive,0.004453999602843509
sentence_length_variation,0.039118,0.032382,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.8278,0.039118,-0.005044911702260664,0.06700225331611452,0.5048210491910443,0.4951789508089557,Negative,0.07529464606977429
sentiment_polarity,0.032552,0.025587,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.786,0.032552,-0.0002254489088302447,0.0640766894931096,0.4579179604510541,0.542082039548946,Negative,0.003518422618731916
doubt_verbs_count,0.016776,0.009152,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5455,0.016776,-0.004180235379641401,0.04557634529844432,0.3124693577381925,0.6875306422618075,Negative,0.09171938721883903
disgust,0.015101,0.013329,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.8827,0.015101,-0.0023012804269837,0.07176184011234162,0.27455466579506455,0.7254453342049354,Negative,0.03206829845358077
hedge_I_count,0.00548,0.006754,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",1.2325,0.00548,0.0001939429297517033,0.0703801184730492,0.6903088739990194,0.30969112600098053,Positive,0.00275564898728439
I_ratio,0.005034,0.00629,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",1.2495,0.005034,0.00019914552809926686,0.07238485295935199,0.4610230429808792,0.38503023369831674,Positive,0.002751204049541378
avg_dependency_depth,0.0,0.0,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",,0.0,0.0,0.0,0.0,0.0,Negative,0.0
