feature,shap_importance,linear_importance,linear_std,linear_count,_merge,shap_rank,linear_rank,overlap_status
joy,1.161605,0.05047756343936686,0.02915117160922257,13.0,both,1.0,4.0,Both methods
function_word_ratio,0.571359,0.06000259618919623,0.06759680449802334,13.0,both,2.0,1.0,Both methods
punctuation_density,0.524701,0.039062733690325986,0.017104479278736793,13.0,both,3.0,9.0,Both methods
noun_ratio,0.481752,0.0390907481599312,0.055211124345288784,13.0,both,4.0,8.0,Both methods
stopword_ratio,0.475406,0.03546928908102784,0.035399911320801794,13.0,both,5.0,12.0,Both methods
fear,0.424109,0.029196542042952252,0.021079201779385257,13.0,both,6.0,15.0,Both methods
surprise,0.40006,0.035342833313804375,0.025950345973194955,13.0,both,7.0,13.0,Both methods
disgust,0.384216,0.03309095393006613,0.013782888777417767,13.0,both,8.0,14.0,Both methods
anger,0.368782,0.020559227416435063,0.00983260554795091,13.0,both,9.0,26.0,Both methods
adj_ratio,0.334896,0.01827216775228193,0.005731382851557679,13.0,both,10.0,30.0,Both methods
sadness,0.304074,0.02688666325635629,0.011234638794945745,13.0,both,11.0,16.0,Both methods
type_token_ratio,0.271215,0.024810970295220575,0.0185178793376215,13.0,both,12.0,20.0,Both methods
word_count,0.269987,0.03685098098447687,0.02964526033378789,13.0,both,13.0,10.0,Both methods
avg_word_length,0.261999,0.02398742742549909,0.011054757544101061,13.0,both,14.0,21.0,Both methods
std_word_length,0.254345,0.02358586835460015,0.012279961659680034,13.0,both,15.0,22.0,Both methods
verb_ratio,0.251173,0.02035640251751126,0.012067911449593407,13.0,both,16.0,27.0,Both methods
pronoun_ratio,0.227263,0.05278802075638214,0.036651599893030615,13.0,both,17.0,3.0,Both methods
subordinate_clause_ratio,0.222348,0.02254049118178391,0.012091355141355422,13.0,both,18.0,23.0,Both methods
sentiment_subjectivity,0.221985,0.016882713776654863,0.009205090129242394,13.0,both,19.0,32.0,Both methods
sentiment_polarity,0.22138,0.03623544761481187,0.01684031597971536,13.0,both,20.0,11.0,Both methods
hedge_C_count,0.202072,0.025198720682125766,0.014188934863162611,13.0,both,21.0,19.0,Both methods
punctuation_usage,0.195882,0.022027999162673912,0.009337008800723905,13.0,both,22.0,24.0,Both methods
sentence_length_variation,0.16607,0.021376157264140463,0.010339420276334802,11.0,both,23.0,25.0,Both methods
sentence_count,0.137259,0.059736945236531565,0.0689957030567307,13.0,both,24.0,2.0,Both methods
readability_score,0.134279,0.017383576120034945,0.007284499142591678,13.0,both,25.0,31.0,Both methods
hapax_legomena,0.127213,0.01972929287988401,0.010616340226679883,13.0,both,26.0,28.0,Both methods
certainty_verbs_count,0.125631,0.04113933296563719,0.02370804657351825,12.0,both,27.0,7.0,Both methods
adv_ratio,0.080324,0.01945834754345314,0.0077417089845434085,12.0,both,28.0,29.0,Both methods
hedges_score,0.060011,0.025764428651130412,0.020967261594780958,13.0,both,29.0,18.0,Both methods
doubt_adverbs_count,0.050595,0.026282867368233025,0.016879400979275875,12.0,both,30.0,17.0,Both methods
certainty_adverbs_count,0.020559,,,,left_only,31.0,38.5,SHAP only
doubt_adjectives_count,0.016735,,,,left_only,32.0,38.5,SHAP only
E_ratio,0.01401,0.04588517386998444,0.03226731000628983,7.0,both,33.0,6.0,Both methods
C_ratio,0.012757,0.048271370679140044,0.020651362473099042,10.0,both,34.0,5.0,Both methods
certainty_adjectives_count,0.006764,,,,left_only,35.0,38.5,SHAP only
I_ratio,0.0,,,,left_only,40.0,38.5,SHAP only
avg_dependency_depth,0.0,,,,left_only,40.0,38.5,SHAP only
N_ratio,0.0,,,,left_only,40.0,38.5,SHAP only
D_ratio,0.0,,,,left_only,40.0,38.5,SHAP only
hedge_N_count,0.0,,,,left_only,40.0,38.5,SHAP only
doubt_verbs_count,0.0,,,,left_only,40.0,38.5,SHAP only
hedge_D_count,0.0,,,,left_only,40.0,38.5,SHAP only
hedge_E_count,0.0,,,,left_only,40.0,38.5,SHAP only
hedge_I_count,0.0,,,,left_only,40.0,38.5,SHAP only
