target,text,stance
fauci,"@IngrahamAngle I’ll believe the epidemiology expert #DrFauci over the failed ophthalmologist @RandPaul.

I wouldn’t trust crazy #RandPaul to lance a boil.

Are all @GOP Stupid?

The only way we’re going to beat #Trump’s #coronavirus is electing #Biden President.

#TrumpLiesPeopleDie
#VoteBiden",1
fauci,"If Trump was smarter than the scientists and Dr Fauci, we wouldn’t have:
134,000 deaths and counting.
Over 3m infected
A resurgence of infections, specially in AZ, FL and TX
But he isn’t. So we have
#TrumpVirus
#DonTheCon
So",1
fauci,I'm incredibly grateful that we have Dr. Fauci to lead us through this pandemic and communicate the science we need to make decisions. The administration's silencing of him is dangerous and misguided. #COVID19 #TrustinFauci #ScienceFirst,1
fauci,To all the right wing jackasses threatening #DrFauci because they still think Covid-19 is a hoax: I hope you or someone you know contracts the virus...maybe then you’ll realize this is not a hoax #TrumpLiesAmericansDie #TrumpOwnsEveryDeath,1
fauci,".@SRuhle @FoxNews As a registered nurse, I value the important expert public health guidance provided by #DrFauci &amp; the stupid #FoxNews idiots &amp; cult followers are dangerous the wrong minded public health critics raise the risk of themselves being #COVID19 infected",1
fauci,@IngrahamAngle Sports? That's what you are worried about? WTF is wrong with you? #ShutThisCountryDown and save lives! Masks alone won't do it! The #FoxFictionFactory propaganda network of the Presidency and for the Republican party needs to be SHUT DOWN! #StayAtHome #WearADamnMask,1
fauci,"@Liz_Cheney Wearing a mask can only help America resume some sense of ""normalcy."" It's either we want freedom to come and go as pleased without the fear of infection, or we don't.  #WearAMaskSaveALife ",1
fauci,Watching Dr. Fauci’s glasses stream up is truth. Thanks Doc for showing that we are all in the struggle together.  Wearing a mask sucks but there he is leading by example.  I Red heart #DrFauci! #COVIDTASKFORCE,1
fauci,"Listen to the experts. Wear a mask.

#DrFauciManOfTheYear",1
fauci,On the coronavirus I trust the advice of Dr. Fauci over @realDonaldTrump all day long. #COVID19,1
fauci,I love Dr. Fauci. That’s it. That’s the tweet. #DrFauci #coronavirus #WhiteHouseBriefing,1
fauci,"#BreakingNews:loudspeaker: 
During this ever worsening #coronavirus 
outbreak, #DiamondandSilk has had more 
access to #DonaldTrump than pandemic 
specialist #DrFauci:mask: 
#amjoy #reidout #msnbc @TheRevAl  
#nytimes #foxnews #pbs #reiders #npr 
#cnn. #Maga? 
#WeAreTheLaughingStockOfTheWorld:zany_face:",1
fauci,Number one in cases and deaths so #derangeddonald needs to blame #DrFauci. After 5 months @realDonaldTrump might wear a mask! @CNN @MSNBC @gtconway3d @TheRickWilson @crampell @sarahcpr,1
fauci,"#DrFauci claims he has been sidelined for speaking the truth about #COVID__19 

@realDonaldTrump doesn’t want America to know the truth about his complete failure in handling #COVID19 

Trump continues to ignore the doctors and scientists, &amp; wants to put our children in harms way",1
fauci,"@Yamiche Thank you #DrFauci! I wish you could convince @vp and @realDonaldTrump of THEIR societal responsibilities!
#COVID19 
#TrumpIsUnfitForOffice 
#GOPCowards
#VoteBlueNoMatterWho2020",1
stay_at_home_orders,@GovAndyBeshear Would you rather have loss of JOBS or loss of LIVES on your conscious? Especially with opening schools where most kids are attending. COVID cases are going to spread more rapidly than ever. Why take the “let’s wait and see approach?”,1
stay_at_home_orders,"@thehill Me to 8yr old: Do you miss school? Are you excited to go back? 

8yo: ALREADY?! NOOO!

Believe it or not, our kids DO love us &amp; loke being @home with us. Mine love having their dad wk from home. 
And when school starts in Aug. they’ll be safe at home w/us then too.",1
face_masks,"Maybe if people want to walk around without masks on they can organize into fenced-off private mask nudist colonies, keep their idiotic sense of “liberty”, and the rest of us can live in a FUCKING SOCIETY. #WearAMask",1
face_masks,"@Constance8News Deepest condolences on your loss. Covid killed my uncle &amp; almost killed my cousin, who is still struggling w/ its effects. #WearAMask",1
face_masks,I’m noticing it’s mostly the childless crowd who are anti-mask. Maybe that attitude and the fact you’re childless are related? Stop being selfish. #TuesdayThoughtNuggets,1
face_masks,"@FitzTrubey @ajc @CherokeeSchools start Aug 3 with masks merely “encouraged”. Irresponsible &amp; reckless to the staff, teachers, students &amp; all their families. Social distancing in middle/high schools is not even practical in classrooms or hallways. #ScienceMatters #FactsMatter",1
face_masks,@realDonaldTrump @Mike_Pence What a disaster of a group. Not everyone is wearing masks. What are you people thinking?! Lead by example.,1
face_masks,"For anyone claiming that fear is the killer and not covid: fear is an incentive for self preservation. Fear for others creates responsibility. It doesn’t have to be negative. It also helps you be a mask wearing informed human. 
So yes I am afraid.  
#COVIDIOTS",1
face_masks,"If you have enough $$ to buy a non-essential gadget from Best Buy, you have enough to buy a mask!! (V rough estimate but I’d say ~60% of customers at Best Buy @ eaton centre were not wearing a mask :mask:) #COVID19 ",1
face_masks,At a MEDICAL BUILDING this morning and as I walked throught the lobby for my appointment someone was getting their mail and not wearing an effing mask.,1
face_masks,"Flock everyone not wearing a mask and not following directives from *real* public health officials.

You're stupid selfish a$sholes.

We're currently on track to  +230K deaths by November.
If everyone wore a mask, we are likely to save FORTY THOUSAND lives.",1
face_masks,"@Timewalkproject @BBCNormanS @BBCNews A lot less palaver than being hooked up to a life support machine! 
#WearAMask ",1
face_masks,"@JD69486354 @DrsuzanneH The scary part of this is how many people will BELIEVE THIS TO BE TRUE.  
#WearAMask",1
face_masks,Why can’t people take this virus seriously and wear a damn mask? I can’t comprehend the childish behaviour of some people who refuse to wear one. I just can’t.,1
face_masks,"If a soldier can wear a gas mask for 24 hrs in a desert you can probably wear a piece of cloth for 40 minutes.

Wear a mask you ape

#WearAMask",1
face_masks,"@_ReaalAmerican_ @GOP No masks , no social distancing.  Florida has enough deaths their hospitals are full why would you go there to hurt people @realDonaldTrump ?  Shame on this administration for not caring about the health of people.  Criminal negligence.   #Criminalnegligence",1
face_masks,"A :clap: GLOBAL :clap: PANDEMIC :clap: can :clap: not :clap: be :clap: eradicated :clap: in :clap: 120 :clap: days :clap:
#WearAMask",1
school_closures,"@thehill @FLOTUS Soooo... open schools so children can be paranoid about germs and risk coronavirus with potential lifelong damaging effects &amp; risking getting elder family sick, so they may die before the kid graduates? Is that how it works?",1
school_closures,Insults were hurled at @MmusiMaimane and we were cyber-bullied for supporting the call for schools not to reopen under unsafe conditions. Y'all are a confused bunch. Honestly.,1
school_closures,"Our three kids are not returning to the physical school until there is a vaccine.  The world needs to adjust, instead of trying to do business as usual. We are following science, not an agenda. 
#TrumpVirus",1
school_closures,Stop calling them heroes and get them the help they need. American teachers shouldn't have to die. #TeacherSafetyIsEssential,1
school_closures,"2020: the year the president urged us to sacrifice children and teachers so that he can hopefully prop up the stock market by a few points thereby slightly increasing his chances of keeping a job he hates.

#SchoolReopening #schoolsreopening",1
school_closures,"@donwinslow @PressSec We ALL want schools to open, but we want it done when it’s safe. It isn’t safe now.",1
school_closures,"bro i dont care about kids getting the corona virus, im scared of who theyre going to spread it TO.",1
school_closures,There are so many cases coming from schools and lots of other people are getting infected do they want us to die school must shutdown now school must shutdown or we are all going to die :sob::sob::sob::sob::sob::sob::sob::sob::sob::sob:,1
school_closures,"@murrayparkderby coronavirus is going to put a big impact towards this country, I believe if we want the safety of our children we need to close down the schools temporally till further notice. My two children are complaining and I can't sit still and do nothing",1
school_closures,"@mdnij34 Don't do it. Zero leadership, a rampant spreading virus. I don't see how any school can safely open now until there's a vaccine.",1
school_closures,"@DNCWarRoom @IMontoyaResists There is no way my 3 kids are physically going back to school in the Fall. They all want to, but Trump has purposefully bungled our response to Covid so badly schools can't reasonably be made safe right now.",1
school_closures,"For those so “pro-life” you want me to sacrifice my children and myself (teacher) for “normalcy”. Funny how the D’s are accused of making masks political, while Trump &amp; ilk sacrificed 100k Americans &amp; are now coming for the children to win an election/raise economy!",1
school_closures,@nowthisnews How do these ppl sleep at night? Their audacity to callously ignore the extreme dangers they’re putting not just our kids in  is just beyond...We all want schools to re-open but NOT in the middle of a pandemic. Control the cases FIRST then talk abt schools.,1
school_closures,@DiPasqualeDeb @denisewu @hsbanik @NikkiHaley @realDonaldTrump But the kicker is that he canceled his convention because of skyrocketing COVID-19 but it is ok to send kids to school :thinking_face::thinking_face::thinking_face::thinking_face:,1
school_closures,@B52Malmet Our schools are offering either online only or 2 days in person supplemented with online. We chose online only for our HS Junior.  Just got word that the Univ. our college student attends will be online only.,1
school_closures,"Remote learning is not perfect, but it can improve enormously with more focus on fewer subjects at a time. 

Children CAN die of Covid-19, as can teachers, all school staff, and family members. 

Covid-19 leaves longterm damage we are just learning about.",1
school_closures,This is so stupid. Someone has to fricking get corona virus in order for the school to close :face_with_rolling_eyes:,1
school_closures,"Knowing what I know from working on the COVID-19 response, I would not send my children to school (if I had any) in the situation Trump is demanding under our current pandemic situation.",1
school_closures,"Ok @ScottMorrisonMP @DanielAndrewsMP  now a student @CareyBaptist tests +ve, what are you waiting for to close schools? #ScoMoAct #AUSPMACT #9News #coronavirus #COVID19Aus #ClosetheschoolsAustralia",1
school_closures,why wait for STUDENTS! yes! FUCKING STUDENTS! to get the corona virus before closing schools! close schools before the virus spreads further!,1
school_closures,"The Trump Cult can send their children to school because obviously they are not to smart, but SMART Americans are NOT sending our children to the SUPER SPREADER schools. Absolutely RIDICULOUS for politicians to expect this while the virus is out of control!!!",1
school_closures,"My nephew came back from school with news of an alleged positive case of his physical sciences teacher, who also lost his wife to covid.

The school is continuing as usual, keeping things :zipper__mouth_face:

Why weren't teachers &amp; students tested upon returning to schools?",1
school_closures,"People will surprise you. They want schools to be shut, the power is in your hands, don't send your kids to school, why do we want to be told that schools are shut before doing so. if everyone doesn't send their kids to school there wont be a school.",1
school_closures,Better to be safe than sorry. #OnlineClasses offer continued learning in a safe environment. Let schools function and provide education. It's easy to destroy with such senseless orders.,1
school_closures,so are public schools going to wait until students start getting infected with corona virus to close them or...? :face_with_rolling_eyes: #CUNY,1
school_closures,"To anyone that thinks schools should open in regions with outbreaks, I invite you to become a teacher and put your money where your mouth is. There will be plenty of openings in the next two months. You're only sharing a classroom with 40 to 300 people per day.",1
school_closures,Cancels #GOP convention but wants schools reopened! Conservatives are only saving themselves! #TrumpVirus #GestapoTrump,1
school_closures,"Fredrick Ingram, president of Florida's largest teachers' union has accused DeSantis, tЯump of ""playing politics with children's lives"" as they continue to push for schools to reopen even as new coronavirus cases are on the rise in Florida and across the country.",1
school_closures,Betsy DeVos wants to force children into crowded schools during a pandemic because teaching kids that Republicans don't care if they live or die is the closest thing to an education that she's willing to give them.,1
school_closures,@MichaelSteele You think someone actually wrote that line for her?  What a stupid thing to say.  But I guess Pence started it with CDC guidelines 'won't be the reason we won't open schools.',1
school_closures,"Everyone is so ""Pro-Life"" until parents just want to keep their child(ren) safe during a pandemic and government officials demand we re-open schools. Tell me, is it a ""return to normalcy"" when their classmates start dying?",1
school_closures,"I just heard on the radio, that SA will close a school IF a case of Covid-19 is confirmed. Isn’t that a bit like closing the gate once the the horse has bolted???",1
school_closures,"Cancelling public events and social gatherings...Amazing! But schools are still open for 100s of people to mix 6 hours a day, 5 days a week. I’m no expert but...#coronavirus #COVID19 #coronavirusuk",1
school_closures,"@SatterleyAndrew @GOP @realDonaldTrump The plan is .... that having no guidance, leaving it up to schools to figure it out, gives them the guilt free feelz. Just like in Florida, Georgia, Texas, Arizona.....  no worries. #COVIDIOTS",1
school_closures,"@RiegerReport Do you want to trust the people who cage babies with your children in schools? They. Just. Do. Not. Care. About anyone but their rich friends, who don’t attend public schools. ##NotMyPresident",1
school_closures,"I know I have like zero followers, but I had to quit my teaching job today because so many #COVIDIOTS think it’s a hoax and my school is going full steam ahead and opening face to face with NO face masks. I’m devastated. I loved my job.",1
