feature,shap_importance,iteration,stance,model
punctuation_density,1.4512497586323947,9,FAVOR,Logistic Regression
noun_ratio,1.1048001410913726,9,FAVOR,Logistic Regression
avg_word_length,0.9464033703334898,9,FAVOR,Logistic Regression
verb_ratio,0.7162476571806915,9,FAVOR,Logistic Regression
sentiment_polarity,0.5753327762159702,9,FAVOR,Logistic Regression
sentence_count,0.4708694478447044,9,FAVOR,Logistic Regression
hedges_score,0.3966589460506038,9,FAVOR,Logistic Regression
type_token_ratio,0.3867083781530448,9,FAVOR,Logistic Regression
surprise,0.3674422341753356,9,FAVOR,Logistic Regression
pronoun_ratio,0.3393826643920286,9,FAVOR,Logistic Regression
hedge_N_count,0.33691402995011593,9,FAVOR,Logistic Regression
hapax_legomena,0.3320968195226665,9,FAVOR,Logistic Regression
hedge_D_count,0.32275874120099013,9,FAVOR,Logistic Regression
adv_ratio,0.3193993259823439,9,FAVOR,Logistic Regression
stopword_ratio,0.2844841484574407,9,FAVOR,Logistic Regression
word_count,0.27400128285611436,9,FAVOR,Logistic Regression
adj_ratio,0.2731148765627414,9,FAVOR,Logistic Regression
sadness,0.24786832440539444,9,FAVOR,Logistic Regression
fear,0.24216912302206603,9,FAVOR,Logistic Regression
readability_score,0.22748168641724187,9,FAVOR,Logistic Regression
doubt_adverbs_count,0.22475682028073427,9,FAVOR,Logistic Regression
D_ratio,0.17207211541072617,9,FAVOR,Logistic Regression
sentence_length_variation,0.15693206312380287,9,FAVOR,Logistic Regression
E_ratio,0.11567289831893071,9,FAVOR,Logistic Regression
N_ratio,0.09238143402121553,9,FAVOR,Logistic Regression
sentiment_subjectivity,0.08949921055029762,9,FAVOR,Logistic Regression
punctuation_usage,0.08295317647357107,9,FAVOR,Logistic Regression
doubt_verbs_count,0.07757868666739227,9,FAVOR,Logistic Regression
function_word_ratio,0.07611181638688881,9,FAVOR,Logistic Regression
C_ratio,0.074855903931983,9,FAVOR,Logistic Regression
certainty_adjectives_count,0.06781043965872041,9,FAVOR,Logistic Regression
doubt_adjectives_count,0.062173290689273485,9,FAVOR,Logistic Regression
certainty_adverbs_count,0.05125547128066354,9,FAVOR,Logistic Regression
hedge_E_count,0.04635822887773407,9,FAVOR,Logistic Regression
joy,0.04613186339928485,9,FAVOR,Logistic Regression
certainty_verbs_count,0.04188506984595059,9,FAVOR,Logistic Regression
anger,0.025480839812988012,9,FAVOR,Logistic Regression
hedge_C_count,0.024192743441302393,9,FAVOR,Logistic Regression
std_word_length,0.0200266111703007,9,FAVOR,Logistic Regression
subordinate_clause_ratio,0.006771712711228261,9,FAVOR,Logistic Regression
disgust,9.766020242648352e-05,9,FAVOR,Logistic Regression
avg_dependency_depth,0.0,9,FAVOR,Logistic Regression
hedge_I_count,0.0,9,FAVOR,Logistic Regression
I_ratio,0.0,9,FAVOR,Logistic Regression
