Feature,LR Coef,Significant,Effect Size,Impact,Max Misclass Rate
disgust,-0.659,yes,Cliff's delta (small),↓ Correct,"67.9% ((-0.000872, 0.00046])"
anger,-0.634,yes,Cliff's delta (negligible),↓ Correct,"63.3% ((0.228, 0.945])"
fear,-0.565,yes,Cliff's delta (small),↓ Correct,"71.4% ((0.875, 0.995])"
N_ratio,-0.474,yes,Cliff's delta (negligible),↓ Correct,"50.0% ((-0.001, 0.118])"
punctuation_usage,-0.405,yes,Cliff's delta (small),↓ Correct,"64.3% ((0.0536, 0.0971])"
type_token_ratio,-0.376,yes,Cliff's delta (negligible),↓ Correct,"63.0% ((0.862, 0.938])"
punctuation_density,-0.260,yes,Cliff's delta (small),↓ Correct,"82.1% ((0.174, 0.271])"
adv_ratio,-0.259,yes,Cliff's delta (small),↓ Correct,"62.1% ((0.03, 0.0645])"
surprise,-0.255,yes,Cliff's delta (small),↓ Correct,"67.9% ((-0.000362, 0.00463])"
adj_ratio,-0.167,yes,Cliff's delta (small),↓ Correct,"78.6% ((0.032, 0.0611])"
stopword_ratio,-0.133,yes,Cliff's delta (medium),↓ Correct,"75.0% ((0.345, 0.571])"
