feature,dataset,target,stance,source,t_pvalue,u_pvalue,cohens_d,cliffs_delta,cohen_strength,cliff_strength,distributions_normal,preferred_effect,preferred_strength,significant
word_count,whole,ALL,AGAINST,whole,0.01,0.0042,0.2504,0.1628,small,small,False,Cliff's delta,small,yes
sentence_count,whole,ALL,AGAINST,whole,0.2578,0.3882,0.1024,0.0473,small,negligible,False,Cliff's delta,negligible,no
avg_word_length,whole,ALL,AGAINST,whole,0.2192,0.5437,0.1146,0.0345,small,negligible,False,Cliff's delta,negligible,no
std_word_length,whole,ALL,AGAINST,whole,0.1601,0.0524,-0.1291,-0.1102,small,negligible,False,Cliff's delta,negligible,no
type_token_ratio,whole,ALL,AGAINST,whole,0.6392,0.6473,-0.0453,-0.026,small,negligible,False,Cliff's delta,negligible,no
hapax_legomena,whole,ALL,AGAINST,whole,0.52,0.6852,-0.0593,-0.023,small,negligible,False,Cliff's delta,negligible,no
stopword_ratio,whole,ALL,AGAINST,whole,0.2866,0.2481,0.1138,0.0656,small,negligible,True,Cohen's d,small,no
punctuation_density,whole,ALL,AGAINST,whole,0.0043,0.0011,-0.2975,-0.186,small,small,False,Cliff's delta,small,yes
noun_ratio,whole,ALL,AGAINST,whole,0.3437,0.3251,-0.0972,-0.0559,small,negligible,False,Cliff's delta,negligible,no
verb_ratio,whole,ALL,AGAINST,whole,0.173,0.1844,0.1381,0.0754,small,negligible,False,Cliff's delta,negligible,no
adj_ratio,whole,ALL,AGAINST,whole,0.0537,0.1129,-0.2156,-0.0896,small,negligible,False,Cliff's delta,negligible,no
adv_ratio,whole,ALL,AGAINST,whole,0.6353,0.6576,0.0465,0.0247,small,negligible,False,Cliff's delta,negligible,no
pronoun_ratio,whole,ALL,AGAINST,whole,0.9239,0.8726,-0.0096,-0.0091,small,negligible,False,Cliff's delta,negligible,no
avg_dependency_depth,whole,ALL,AGAINST,whole,,1.0,0.0,0.0,small,negligible,True,Cohen's d,small,no
function_word_ratio,whole,ALL,AGAINST,whole,0.4657,0.5143,0.075,0.0371,small,negligible,False,Cliff's delta,negligible,no
punctuation_usage,whole,ALL,AGAINST,whole,0.6669,0.4641,-0.0472,0.0415,small,negligible,False,Cliff's delta,negligible,no
readability_score,whole,ALL,AGAINST,whole,0.1036,0.3708,0.1468,0.0509,small,negligible,False,Cliff's delta,negligible,no
sentence_length_variation,whole,ALL,AGAINST,whole,0.7522,0.8456,0.0301,0.011,small,negligible,False,Cliff's delta,negligible,no
subordinate_clause_ratio,whole,ALL,AGAINST,whole,0.0209,0.068,0.2046,0.1022,small,negligible,False,Cliff's delta,negligible,yes
sentiment_polarity,whole,ALL,AGAINST,whole,0.0133,0.0041,-0.2471,-0.1609,small,small,False,Cliff's delta,small,yes
sentiment_subjectivity,whole,ALL,AGAINST,whole,0.6756,0.6703,0.039,0.024,small,negligible,False,Cliff's delta,negligible,no
anger,whole,ALL,AGAINST,whole,0.0002,0.1967,0.2923,0.0734,small,negligible,False,Cliff's delta,negligible,yes
joy,whole,ALL,AGAINST,whole,0.022,0.0,-0.2887,-0.2984,small,small,False,Cliff's delta,small,yes
fear,whole,ALL,AGAINST,whole,0.0953,0.1823,-0.1592,-0.0758,small,negligible,False,Cliff's delta,negligible,no
sadness,whole,ALL,AGAINST,whole,0.0052,0.6459,0.2016,0.0261,small,negligible,False,Cliff's delta,negligible,yes
disgust,whole,ALL,AGAINST,whole,0.0006,0.0002,0.1645,0.2114,small,small,False,Cliff's delta,small,yes
surprise,whole,ALL,AGAINST,whole,0.0782,0.0014,-0.1763,-0.1816,small,small,False,Cliff's delta,small,yes
certainty_adverbs_count,whole,ALL,AGAINST,whole,0.4913,0.5465,-0.0718,-0.0244,small,negligible,False,Cliff's delta,negligible,no
certainty_verbs_count,whole,ALL,AGAINST,whole,0.0334,0.0122,0.2069,0.1282,small,negligible,False,Cliff's delta,negligible,yes
certainty_adjectives_count,whole,ALL,AGAINST,whole,0.1504,0.2431,0.1293,0.0548,small,negligible,False,Cliff's delta,negligible,no
doubt_adverbs_count,whole,ALL,AGAINST,whole,0.0622,0.2011,0.1569,0.0592,small,negligible,False,Cliff's delta,negligible,no
doubt_verbs_count,whole,ALL,AGAINST,whole,0.1198,0.2734,0.1078,0.0157,small,negligible,False,Cliff's delta,negligible,no
doubt_adjectives_count,whole,ALL,AGAINST,whole,0.9008,0.6295,0.0131,0.0165,small,negligible,False,Cliff's delta,negligible,no
hedges_score,whole,ALL,AGAINST,whole,0.1577,0.1824,0.1297,0.0539,small,negligible,False,Cliff's delta,negligible,no
hedge_C_count,whole,ALL,AGAINST,whole,0.0022,0.0007,0.2987,0.1919,small,small,False,Cliff's delta,small,yes
hedge_D_count,whole,ALL,AGAINST,whole,0.0601,0.2141,0.1345,0.0326,small,negligible,False,Cliff's delta,negligible,no
hedge_E_count,whole,ALL,AGAINST,whole,0.2613,0.2987,0.0927,0.0248,small,negligible,False,Cliff's delta,negligible,no
hedge_I_count,whole,ALL,AGAINST,whole,0.6405,0.5552,-0.0582,-0.004,small,negligible,False,Cliff's delta,negligible,no
hedge_N_count,whole,ALL,AGAINST,whole,0.2761,0.7725,0.084,0.0081,small,negligible,False,Cliff's delta,negligible,no
C_ratio,whole,ALL,AGAINST,whole,0.2441,0.2008,-0.1046,-0.0513,small,negligible,False,Cliff's delta,negligible,no
D_ratio,whole,ALL,AGAINST,whole,0.19,0.2275,0.1061,0.0317,small,negligible,False,Cliff's delta,negligible,no
E_ratio,whole,ALL,AGAINST,whole,0.7411,0.3243,0.0335,0.0235,small,negligible,False,Cliff's delta,negligible,no
I_ratio,whole,ALL,AGAINST,whole,0.5942,0.5517,-0.0721,-0.0041,small,negligible,False,Cliff's delta,negligible,no
N_ratio,whole,ALL,AGAINST,whole,0.503,0.7986,0.0568,0.0071,small,negligible,False,Cliff's delta,negligible,no
word_count,whole,ALL,FAVOR,whole,0.179,0.1823,0.1484,0.0846,small,negligible,False,Cliff's delta,negligible,no
sentence_count,whole,ALL,FAVOR,whole,0.2671,0.2843,0.1191,0.0661,small,negligible,False,Cliff's delta,negligible,no
avg_word_length,whole,ALL,FAVOR,whole,0.5225,0.4884,-0.0656,-0.044,small,negligible,False,Cliff's delta,negligible,no
std_word_length,whole,ALL,FAVOR,whole,0.8417,0.6951,0.021,-0.0249,small,negligible,False,Cliff's delta,negligible,no
