feature,mean_shap_importance,std_shap_importance,num_iterations,iterations_list,coefficient_of_variation,consistency_score,mean_directional,std_directional,positive_ratio,negative_ratio,consistent_direction,direction_strength
fear,0.427729,0.198598,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.4643,0.427729,0.02626885785591927,0.6120319073898194,0.46886746200359536,0.5311325379964047,Positive,0.042920731925142286
anger,0.42586,0.120164,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.2822,0.42586,0.011667932056934302,0.525798986413656,0.5316228141853244,0.4683771858146756,Positive,0.022190860265079167
noun_ratio,0.397081,0.178447,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.4494,0.397081,-0.056254722900668415,0.5370212799530821,0.5205098872364765,0.47949011276352344,Negative,0.1047532452681405
joy,0.381068,0.093644,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.2457,0.381068,0.024802227561009967,0.4845599249963232,0.4765484556300049,0.5234515443699951,Positive,0.051185056315475534
verb_ratio,0.365553,0.097183,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.2659,0.365553,0.007330631070200033,0.46042703616134945,0.5115214904396144,0.4884785095603857,Positive,0.01592137371450401
surprise,0.361885,0.132637,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.3665,0.361885,0.002572242148601079,0.490790919064452,0.5866971727406439,0.41330282725935613,Positive,0.0052410140372893595
avg_word_length,0.335561,0.109783,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.3272,0.335561,0.06306436922557444,0.4603334852212797,0.5827749632292858,0.41722503677071415,Positive,0.1369971333397318
punctuation_density,0.305619,0.11233,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.3675,0.305619,-0.0022711502766922676,0.41397717941260254,0.47932668736721684,0.5206733126327832,Negative,0.005486172510893249
disgust,0.286651,0.051408,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.1793,0.286651,0.02356063322668247,0.3879329793129688,0.5350547475077627,0.4649452524922373,Positive,0.06073377071748517
sadness,0.274293,0.054794,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.1998,0.274293,0.022380617456147407,0.3534470471074463,0.5880045759110966,0.41199542408890344,Positive,0.06332098968175537
