feature,mean_shap_importance,std_shap_importance,num_iterations,iterations_list,coefficient_of_variation,consistency_score
avg_word_length,0.551609,0.30424,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5516,0.551609
type_token_ratio,0.409812,0.123401,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.3011,0.409812
function_word_ratio,0.322675,0.30855,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.9562,0.322675
hapax_legomena,0.315348,0.118471,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.3757,0.315348
noun_ratio,0.280706,0.252039,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.8979,0.280706
std_word_length,0.276956,0.086011,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.3106,0.276956
verb_ratio,0.223301,0.111842,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5009,0.223301
word_count,0.211421,0.175476,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.83,0.211421
adj_ratio,0.205178,0.095111,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.4636,0.205178
stopword_ratio,0.20315,0.118465,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5831,0.20315
fear,0.173071,0.125703,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.7263,0.173071
certainty_adjectives_count,0.168424,0.069947,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.4153,0.168424
hedge_C_count,0.157938,0.108868,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6893,0.157938
N_ratio,0.149862,0.084993,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5671,0.149862
joy,0.147842,0.072716,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.4918,0.147842
C_ratio,0.131989,0.098971,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.7498,0.131989
hedge_N_count,0.109395,0.066789,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6105,0.109395
sentiment_subjectivity,0.10405,0.082009,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.7882,0.10405
punctuation_density,0.103551,0.072342,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6986,0.103551
anger,0.098158,0.044475,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.4531,0.098158
certainty_verbs_count,0.097359,0.070342,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.7225,0.097359
sentiment_polarity,0.087633,0.06116,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6979,0.087633
adv_ratio,0.083171,0.058965,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.709,0.083171
sentence_count,0.08077,0.069851,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.8648,0.08077
hedge_E_count,0.072654,0.055261,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.7606,0.072654
hedges_score,0.07233,0.0506,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6996,0.07233
pronoun_ratio,0.070638,0.053756,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.761,0.070638
subordinate_clause_ratio,0.069724,0.054519,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.7819,0.069724
hedge_D_count,0.069599,0.051874,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.7453,0.069599
sadness,0.064574,0.032321,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5005,0.064574
punctuation_usage,0.057005,0.032447,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5692,0.057005
readability_score,0.055618,0.037655,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.677,0.055618
sentence_length_variation,0.055113,0.040303,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.7313,0.055113
E_ratio,0.050344,0.034734,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6899,0.050344
doubt_adverbs_count,0.050323,0.027068,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5379,0.050323
doubt_adjectives_count,0.048718,0.043112,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.8849,0.048718
surprise,0.046245,0.030922,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6687,0.046245
certainty_adverbs_count,0.038391,0.031196,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.8126,0.038391
I_ratio,0.035378,0.041416,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",1.1707,0.035378
doubt_verbs_count,0.031061,0.025067,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.807,0.031061
disgust,0.030114,0.024322,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.8077,0.030114
D_ratio,0.029939,0.020137,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6726,0.029939
hedge_I_count,0.021687,0.025871,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",1.1929,0.021687
avg_dependency_depth,0.0,0.0,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",,0.0
