feature,Logistic Regression,XGBoost,correct_mean_std,incorrect_mean_std
C_ratio,-0.24594772368390375,0.03270449861884117,0.9879 ± 0.0291,0.9902 ± 0.0248
D_ratio,0.054464113452132916,0.0,0.0022 ± 0.0112,0.0022 ± 0.0107
E_ratio,-0.24950722799505556,0.10678809136152267,0.0048 ± 0.0167,0.0042 ± 0.0165
I_ratio,0.08059822190572095,0.0,0.0005 ± 0.0048,0.0003 ± 0.0046
N_ratio,0.5621487844507976,0.0,0.0046 ± 0.0199,0.0031 ± 0.0144
adj_ratio,0.10464022125050329,0.013788710348308086,0.0564 ± 0.0484,0.0584 ± 0.0494
adv_ratio*,-0.055023107116218786,0.020920682698488235,0.0231 ± 0.0365,0.0281 ± 0.0397
anger,-0.10040783774716205,0.03023899532854557,0.118 ± 0.2106,0.1411 ± 0.2163
avg_dependency_depth,0.0,0.0,1.0 ± 0.0,1.0 ± 0.0
avg_word_length,-0.7206509994376478,0.02130230888724327,4.7943 ± 0.8525,4.7133 ± 0.8786
certainty_adjectives_count,0.16883859398470288,0.01993248052895069,0.2142 ± 0.4685,0.2309 ± 0.4747
certainty_adverbs_count,0.24051782686731327,0.02565983682870865,0.1361 ± 0.4063,0.1253 ± 0.3618
certainty_verbs_count*,-0.1591490862538764,0.01814097724854946,0.1633 ± 0.3984,0.2916 ± 0.6001
disgust,-0.07170803080666122,0.020172616466879845,0.0077 ± 0.0473,0.0106 ± 0.0624
doubt_adjectives_count*,-0.17157754807756445,0.03660151734948158,0.0744 ± 0.2695,0.1214 ± 0.3464
doubt_adverbs_count*,-0.03220628193821462,0.02431461401283741,0.2287 ± 0.5031,0.2982 ± 0.5845
doubt_verbs_count,0.06236331602773938,0.0,0.0218 ± 0.1461,0.0185 ± 0.1347
fear*,-0.4959079793219656,0.02788592129945755,0.1917 ± 0.296,0.3806 ± 0.3817
function_word_ratio*,-0.10252359724854838,0.023421064019203186,0.2661 ± 0.1405,0.2895 ± 0.14
hapax_legomena*,-0.5309523862060118,0.02308504283428192,0.858 ± 0.1207,0.8291 ± 0.132
hedge_C_count*,-0.0021143530485472017,0.04602348804473877,15.9673 ± 4.7208,18.9274 ± 8.7676
hedge_D_count,-0.06157823615005279,0.0,0.0399 ± 0.205,0.0449 ± 0.2071
hedge_E_count,0.2135654891617108,0.0,0.0853 ± 0.286,0.0765 ± 0.2758
hedge_I_count,-0.04150564365330124,0.0,0.0109 ± 0.1039,0.0092 ± 0.1405
hedge_N_count,-0.6788495915702359,0.0,0.0853 ± 0.3643,0.0765 ± 0.3516
hedges_score,-0.06707134131303445,0.03095424920320511,0.1654 ± 0.3592,0.1607 ± 0.3534
joy*,0.20801273068922788,0.02447708509862423,0.1632 ± 0.2263,0.0826 ± 0.1674
noun_ratio*,0.32432343308190825,0.02591121755540371,0.457 ± 0.1342,0.4125 ± 0.1474
pronoun_ratio*,0.010744005100891931,0.031472526490688324,0.0227 ± 0.0357,0.0304 ± 0.0435
punctuation_density*,0.2785778234975064,0.023983905091881752,0.3994 ± 0.1766,0.3598 ± 0.1716
punctuation_usage,-0.053702513700356794,0.01728115603327751,0.0815 ± 0.0554,0.0832 ± 0.0587
readability_score,0.05779279952083817,0.01468679029494524,9.5722 ± 4.0183,9.3862 ± 3.96
sadness,-0.06334500987886266,0.019121255725622177,0.1074 ± 0.1939,0.0949 ± 0.175
sentence_count*,-0.40084352739447604,0.05509628355503082,1.3612 ± 0.6538,1.8496 ± 1.2114
sentence_length_variation*,-0.13984995016471763,0.03266947343945503,1.1698 ± 2.2996,2.3611 ± 3.4104
sentiment_polarity*,0.07653921072394523,0.02474457211792469,0.0874 ± 0.253,0.0493 ± 0.2259
sentiment_subjectivity,0.06951478850828102,0.019501088187098503,0.2742 ± 0.3332,0.2818 ± 0.2997
std_word_length*,0.3256971187779435,0.017204416915774345,3.6906 ± 0.8162,3.5614 ± 0.9037
stopword_ratio*,0.22565573726203178,0.017438974231481552,0.211 ± 0.1213,0.2327 ± 0.1224
subordinate_clause_ratio,0.009926741305416374,0.024580715224146843,0.0422 ± 0.0508,0.0428 ± 0.0474
surprise*,-0.13540498115709085,0.04183425381779671,0.1463 ± 0.1557,0.1124 ± 0.1671
type_token_ratio*,0.5705531878200419,0.02599920891225338,0.9219 ± 0.0699,0.9019 ± 0.0821
verb_ratio*,0.08877861703899327,0.020401611924171448,0.1066 ± 0.0696,0.1211 ± 0.0706
word_count*,-0.2580895151955445,0.04166039079427719,21.1561 ± 5.7269,25.0026 ± 11.6014
