target,text,stance
Hillary Clinton,#mtp @meetthepress How is deleting emails -part of the government record -different from erasing parts of a tape? #nixon #p2 #SemST,0
Hillary Clinton,"@nyinvesting big banker buds need to ratchet up their ""Hillary cares about the little people"" propaganda  #SemST",0
Hillary Clinton,@GOP Why should I believe you on this? The GOP leaders in congress won't fight Obama now!!! #tcot #SemST,0
Hillary Clinton,"@RushetteNY @TwitchyTeam Hillary to press: ""Curtsy while you're thinking what to say, it saves time"" #throughthelookingglass  #SemST",0
Hillary Clinton,"#IfIhadAdollarFor wondering, was I that stupid when I was a #Democrats? #Obama #2A #NoAmnesty #WakeUpAmerica #SemST",0
Hillary Clinton,"@LVNancy @incessantpatrio @bcwilliams92 Yes! #SoMuchUgly in #HillaryClinton, Hollow Acts Are Infamous! #WhyImNotVotingForHillary #SemST",0
Hillary Clinton,Does #hillaryclinton lie and engage in cover-ups to do damage to the country or does she do it out of habit?  #tcot #uniteblue #SemST,0
Hillary Clinton,"@Conservativeind @cannoneerfour Lets hope!  She's a killer, liar and a coward! #WakeUpAmerica #MakeAmericaGreatAgain #SemST",0
Hillary Clinton,"@DaGodfather907 @NahBabyNah If Jebb is our candidate, we will hand Hillary the keys to 1600?Penn Ave. #WakeUpAmerica #SemST",0
Hillary Clinton,"RT @harrisongolden: ""So Clinton-esque,"" Brit Hume said of Hillary's email controversy. ""You never quite get the whole truth.""> #SemST",0
Hillary Clinton,"Beware of #Kochtrolls bashing our candidates. I will not bash #Hillary. She's my plan B, for gosh sakes. #Bernie2016 #SemST",0
Hillary Clinton,"@Breaking911 Probably she made a promise to support gun rights to one citizen, while promising to ban guns to the other #SemST",0
Hillary Clinton,@nolyklibs Awww does #Killary think posing for that pic will make her look like a real human? @jlconnell66 #Benghazi #Shillary #SemST,0
Hillary Clinton,"@HillaryClinton had a duty to preserve ESI Now it's someone's duty to prosecute & sanction her Apparently ""duty"" is irrelevant #SemST",0
Hillary Clinton,@dougshelton749 @realDonaldTrump  #HRC would be an even bigger threat to America than #Obummer.   #WakeUpAmerica #SemST,0
Hillary Clinton,@AppSame: Queen @HillaryClinton Was asked What she thought about @realDonaldTrump comments on illegals She Said LET ME EAT PIE #SemST,0
Hillary Clinton,@dougshelton749   Let's hope her campaign unravels before Dec.  We can't have this liar as next President.  #SemST,0
Hillary Clinton,"@dougshelton749  If @realDonaldTrump finds evidence, he will expose #HRC as the horrible candidate she is.  #SemST",0
Hillary Clinton,@dougshelton749 @realDonaldTrump  I'd be happy if that scandal brings her down.  There will be others...  #SemST,0
Hillary Clinton,Hillary Clinton is a devious & deceitful career politician. She is the Richard Nixon of our time. #SemST,0
Hillary Clinton,@politicalmath @BoboFromTexas doesn't matter. Nobody cares if the Clintons make mistakes as long as the checks keep coming. #SemST,0
Hillary Clinton,The recent comments of #HillaryClinton sounded like it was #Netanyahu speaking. Doesn't bode well. #SemST,0
Hillary Clinton,@HillaryClinton condemns anti-Israel boycotts as 'counter-productive' #SemST,0
Hillary Clinton,@OutnumberedFNC: Hillary chooses Brianna Keilar for her first interview. What can we expect? Disgusting slobbering over her. #SemST,0
Hillary Clinton,@CNN @jimsciutto Good i'view #Brianna. #Hillary NOT responsible 4 slander/libel-lies r indefensible. WILL be next #POTUS. #SemST,0
Hillary Clinton,"Obama is 'opportunist,' Hillary Clinton no different just 'more militant' - Chomsky #TruthBeTold #notmypresident #SemST",0
Hillary Clinton,@AC360 of course she is disappointed. Hillary only approves of lying to Americans. #WakeUpAmerica #pjnet #SemST,0
Hillary Clinton,ROFLMAO! 2012 @GOP couldnt kiss enough of #DonaldTrump ass! Now GOP cant run fast enough. #tcot #uniteblue #Bernie2016 #SemST,0
Hillary Clinton,Hillary upset GOP candidates didn't respond to Trump's illegal imm comments immediately-yet we're still waiting for her emails. #SemST,0
Hillary Clinton,@HillaryClinton Will #BillClinton assault #MonicaLewinsky on her birthday? #liberals #HillaryClinton #SemST,0
Hillary Clinton,Technology has exposed more bad politicians than bad cops....Where Is Our Server Hillary? #CNN #SemST,0
Hillary Clinton,@CheerUpKaci @tmacGA70 It's the Clinton history of scandalous behavior.  #Integrity knows no sex. #HillaryonCNN #SemST,0
Hillary Clinton,Imagine @JoeBiden runs for POTUS. Without a doubt a strong & popularly likable candidate against the Clinton. ------- #SemST,0
Hillary Clinton,"#Democrats and #Obama reduce OUR Army by 40,000   MEANWHILE   Has increased IRS to 100,000  #HillaryClinton #Hillary #SemST",0
Hillary Clinton,"@forewit @HillaryClinton is a degenerate liar who will do, say, cheat, delete, anything to get another squat at 1600 Penn Ave. #SemST",0
Hillary Clinton,"Can't #UniteBlue, RT LindaSuhler: Hillary:People Trust Me, Blames 'Constant Barrage of Attacks' By the Right #delusional #WakeUpA... #SemST",0
Hillary Clinton,"#WhatILearnedToday @HillaryClinton already admitted to having at least 2 devices, more lies, it never stops #SemST",0
Hillary Clinton,.@jaketapper The way @HillaryClinton keeps lying I swear her father's real last name is Geppetto. #TCOT #WakeUpAmerica #SemST,0
Hillary Clinton,@ahbrees @TODAYshow  Attack? More like the daily liberal media defend Hillary and her lies!! #SemST,0
Hillary Clinton,"Hillary Clinton has amassed $329 million in her career (3 of her top 5 donors are Citigroup, Goldman & JP Morgan). #Bernie2016 #SemST",0
Hillary Clinton,#HillaryonCNN   The wicked person flees when no one is chasing them - Proverbs  #SemST,0
Hillary Clinton,Hilarity of the day: Hillary said she went 'above and beyond' in transparency. Really? What about the 30k deleted emails? #SemST,0
Hillary Clinton,".@HillaryClinton blames her lack of trust among the populace on @GOP, forgetting that she's a lying, conniving, murderous, cheat. #SemST",0
Hillary Clinton,@realDonaldTrump has my vote! The truth will set you free and we need transparency in Washington now more than ever! #SemST,0
Hillary Clinton,.@HillaryClinton is a liar & corrupt.  Period. End of story.  #criminal #liar #hillaryforprison #uppers #tcot #SemST,0
Hillary Clinton,Hillary has learned The Blame Game well from Obama - she blames GOP for everything! #SemST,0
Hillary Clinton,@JOEROWE409 @ScotsFyre Hillaey Clinton can't help but lie...it's who she really is. #SemST,0
Hillary Clinton,Hillary gave her first big interview. Did she talk about the issues? Did she rally the left? Nope. Total dud. #Bernie2016 #SemST,0
Hillary Clinton,@CNN and CNN proved they are not a legitimate news organization by not calling her out about all her lies. #JournalismIsDead #SemST,0
Hillary Clinton,'Hilary is not electable' then you stand no chance @realDonaldTrump #carnivalbarker #SemST,0
Hillary Clinton,"If Hillary Clinton is elected president in 2016, this nation will surely experience unprecedented destruction. #SemST",0
Hillary Clinton,"@HillaryClinton : ""Change religious beliefs"" to accommodate the violence of abortion?! #WhyI'mNotVotingForHillary #SemST",0
Hillary Clinton,@HillaryClinton had a Legal obligation to prevent the destruction (preserve) Gov't & related documents (email). She didn't. #SemST,0
Hillary Clinton,Why did you lie about the #Benghazi subpoena? @HillaryClinton  No wonder no one trusts you.  #SemST,0
Hillary Clinton,"@JoanOfArgghh I won't use the c-word, so I'll just say that everything Clinton does is a ""cunning stunt"". #HillaryonCNN #SemST",0
Hillary Clinton,@AC360 asked @realDonaldTrump the tough questions.  Too bad @CNN didn't ask @HillaryClinton the tough questions.  #SemST,0
Hillary Clinton,#EpicLiberalFail Hilary lied about Banghazi and is caught on audio biahahaha #p2 #uniteblue #libcrib #libtards #SemST,0
Hillary Clinton,GOP Busted Trey Gowdy proved their #Benghazi hearings are politically motivated when he leaked documents to the press  #SemST,0
Hillary Clinton,Trey Gowdy proved their #Benghazi hearings are politically motivated when he leaked documents to the press   #SemST,0
Hillary Clinton,hey @HillaryClinton when you LIED about the lack of a subpoena...you REALLY thought you wouldn't get caught? #LIAR #Corruptocrat #SemST,0
Hillary Clinton,"@HillaryClinton lies just for the fun of it, its CRAZY!!!!! #NoHillary #WhyImNotVotingForHillary #SemST",0
Hillary Clinton,@murphymike @blakehounshell @ScottFConroy let's see jebs emails from 2000 when he helped his idiot brother steal the presidency #SemST,0
Hillary Clinton,@JessicaAndSandr I have 2 words for u  #Benghazi  #whitewater. She's morally questionable. We as women should demand better #SemST,0
Hillary Clinton,"@LeahR77 @HillaryClinton the unethical lying granny strikes again.  No charisma, no character, no accomplishments, no warmth #SemST",0
