feature,p_value,significance,correct_mean,incorrect_mean,correct_mean_std,incorrect_mean_std,XGBoost_coef
hedges_score,0.11757747086958377,,0.1051,0.1444,0.1051 ± 0.2978,0.1444 ± 0.3387,0.07361968606710434
certainty_adjectives_count*,0.01452971012427895,*,0.2105,0.13,0.2105 ± 0.4718,0.13 ± 0.3548,0.06369568407535553
hedge_N_count,0.11543564506776832,,0.0743,0.0372,0.0743 ± 0.3445,0.0372 ± 0.2464,0.053895846009254456
sentiment_polarity*,0.008542894959682952,*,0.0741,0.0299,0.0741 ± 0.228,0.0299 ± 0.1967,0.05251992493867874
verb_ratio*,1.1351129138609104e-07,*,0.0829,0.1131,0.0829 ± 0.0698,0.1131 ± 0.0735,0.05241047590970993
sentence_count,0.06963200801875784,,1.4458,1.582,1.4458 ± 0.7431,1.582 ± 1.1237,0.0481717586517334
pronoun_ratio,0.1569798845438191,,0.0247,0.0201,0.0247 ± 0.0446,0.0201 ± 0.0371,0.03921690583229065
std_word_length*,0.0008676031655639393,*,4.0225,3.777,4.0225 ± 1.0294,3.777 ± 0.8245,0.035730067640542984
fear,0.4314341147558488,,0.3298,0.3527,0.3298 ± 0.3578,0.3527 ± 0.3803,0.03469130024313927
surprise,0.1862246691256337,,0.1365,0.1193,0.1365 ± 0.1739,0.1193 ± 0.1575,0.032238636165857315
joy*,1.0460121218497645e-05,*,0.1377,0.0775,0.1377 ± 0.2009,0.0775 ± 0.1376,0.03195199370384216
anger*,0.000780779870317422,*,0.0833,0.131,0.0833 ± 0.1454,0.131 ± 0.2082,0.03189324215054512
subordinate_clause_ratio*,0.0008030837354118882,*,0.0265,0.0384,0.0265 ± 0.0429,0.0384 ± 0.047,0.029672855511307716
stopword_ratio,0.7944328072387543,,0.1913,0.1937,0.1913 ± 0.117,0.1937 ± 0.119,0.02788284793496132
N_ratio*,0.022932760094756057,*,0.0041,0.0014,0.0041 ± 0.0192,0.0014 ± 0.0094,0.027484841644763947
C_ratio,0.5716299316952157,,0.9923,0.9913,0.9923 ± 0.0245,0.9913 ± 0.0234,0.02664383314549923
adj_ratio,0.35687646107586724,,0.0579,0.054,0.0579 ± 0.0555,0.054 ± 0.0503,0.024631377309560776
sentiment_subjectivity,0.754094490809303,,0.2277,0.2353,0.2277 ± 0.3055,0.2353 ± 0.3094,0.02306864783167839
punctuation_density*,0.0034773146050512053,*,0.4454,0.4071,0.4454 ± 0.1642,0.4071 ± 0.1681,0.022258000448346138
sadness,0.1394140520458834,,0.0791,0.0984,0.0791 ± 0.1523,0.0984 ± 0.1787,0.022102126851677895
doubt_adverbs_count,0.056726210466223594,,0.1455,0.2136,0.1455 ± 0.4101,0.2136 ± 0.493,0.02202838473021984
readability_score,0.10067950381008327,,10.5411,9.938,10.5411 ± 5.3142,9.938 ± 3.9033,0.021823639050126076
punctuation_usage,0.36486089220812745,,0.0797,0.084,0.0797 ± 0.0625,0.084 ± 0.0569,0.021491901949048042
type_token_ratio*,0.00014928906832492882,*,0.8847,0.9132,0.8847 ± 0.1037,0.9132 ± 0.0846,0.02087831124663353
avg_word_length,0.7236488950124118,,4.9382,4.9631,4.9382 ± 0.8863,4.9631 ± 0.903,0.019446197897195816
adv_ratio,0.36718189447268357,,0.0177,0.0202,0.0177 ± 0.0378,0.0202 ± 0.0332,0.019101332873106003
noun_ratio,0.27916912843428593,,0.469,0.4568,0.469 ± 0.136,0.4568 ± 0.1498,0.019026903435587883
sentence_length_variation*,0.046544147620650754,*,1.2141,1.6253,1.2141 ± 2.1985,1.6253 ± 2.9837,0.018916843459010124
word_count,0.15928852743075075,,21.5418,22.6161,21.5418 ± 7.5016,22.6161 ± 11.4662,0.015720602124929428
disgust,0.12444318801383336,,0.003,0.0076,0.003 ± 0.0108,0.0076 ± 0.0531,0.013545737601816654
hedge_C_count*,0.0012833955782459278,*,15.0372,16.7307,15.0372 ± 5.8928,16.7307 ± 7.3382,0.012849930673837662
doubt_adjectives_count,0.6368568456981125,,0.1207,0.1084,0.1207 ± 0.3448,0.1084 ± 0.3211,0.012037375941872597
function_word_ratio,0.8349492456585184,,0.2409,0.2432,0.2409 ± 0.1456,0.2432 ± 0.1332,0.011411650106310844
hapax_legomena*,0.0009230980452950783,*,0.8103,0.8478,0.8103 ± 0.1506,0.8478 ± 0.1352,0.008991464972496033
hedge_D_count*,0.016791755568954944,*,0.0124,0.0433,0.0124 ± 0.1108,0.0433 ± 0.2039,0.008949661627411842
avg_dependency_depth,,,1.0,1.0,1.0 ± 0.0,1.0 ± 0.0,
certainty_adverbs_count,0.7917307969000151,,0.0836,0.0898,0.0836 ± 0.2988,0.0898 ± 0.297,
doubt_verbs_count,0.5245979304160455,,0.0186,0.0124,0.0186 ± 0.1352,0.0124 ± 0.1108,
certainty_verbs_count,0.21034007019903453,,0.1517,0.195,0.1517 ± 0.4154,0.195 ± 0.4619,
hedge_I_count,0.3176860929055903,,0.0,0.0093,0.0 ± 0.0,0.0093 ± 0.1669,
hedge_E_count,0.05642036430357847,,0.0433,0.0805,0.0433 ± 0.2186,0.0805 ± 0.2725,
D_ratio,0.08537962120255918,,0.0009,0.0022,0.0009 ± 0.0084,0.0022 ± 0.0115,
E_ratio,0.07960450795837394,,0.0027,0.0049,0.0027 ± 0.0139,0.0049 ± 0.0182,
I_ratio,0.3176860929055903,,0.0,0.0002,0.0 ± 0.0,0.0002 ± 0.0033,
