stance,feature,quartile,shap_rank,linear_rank,shap_importance,linear_importance,mean_directional,positive_ratio,negative_ratio,direction_strength,mean_feat_when_shap_positive,mean_feat_when_shap_negative,feature_shap_correlation,count_shap_positive,count_shap_negative
All_Stances,type_token_ratio,Q1,1.0,2.0,0.42972,0.4640347679845868,0.0993312675989943,0.5219807158032358,0.4780192841967642,0.1564961965249045,-0.7596091776885298,0.6653668042185993,-0.8060592562613246,3194,2925
All_Stances,avg_word_length,Q1,2.0,1.0,0.417334,0.5170858220005631,0.1063769055550425,0.6054910933159013,0.3945089066840987,0.1802328687454482,-0.6118122012233997,0.7999676845308744,-0.8875735249346266,3705,2414
All_Stances,word_count,Q1,3.0,3.0,0.363539,0.4407864734207648,-0.0692485953606357,0.4937081222421964,0.5062918777578036,0.1287798608267314,-0.6838723348289518,0.6670279404406916,-0.9513919517003708,3021,3098
All_Stances,hapax_legomena,Q1,4.0,5.0,0.311758,0.3578302381531969,-0.0700292054682617,0.4557934302990685,0.5442065697009315,0.1612954768399104,0.5672168794896353,-0.6132378672784593,0.8121210856522036,2789,3330
All_Stances,fear,Q1,5.0,8.0,0.289472,0.2856266379098288,-0.036994908488745,0.6069619218826605,0.3930380781173394,0.0999619669071191,-0.7586931043903347,1.0827856145155224,-0.9087391741692332,3714,2405
All_Stances,hedge_C_count,Q1,6.0,6.0,0.268736,0.3399912007770813,0.0350493195662557,0.4809609413302827,0.5190390586697172,0.0784986860634649,0.6434842761338659,-0.5940033264580128,0.8119116025637187,2943,3176
All_Stances,noun_ratio,Q1,7.0,9.0,0.24296,0.2631855516212829,-0.0505706019884208,0.4526883477692433,0.5473116522307566,0.1226659104965081,0.4546396835529558,-0.4045417497711277,0.6088089834284179,2770,3349
All_Stances,stopword_ratio,Q2,8.0,13.0,0.234994,0.2224585131289213,0.0137639507129493,0.5267200522961268,0.4732799477038731,0.0438908639486581,0.7844487347498504,-0.8509422124564421,0.8971094955187152,3223,2896
All_Stances,punctuation_density,Q2,9.0,12.0,0.231419,0.23396881381115,-0.011732719049556,0.4572642588658278,0.5427357411341722,0.0366276514362775,0.9163908855513464,-0.7145302399939671,0.8767364084005796,2798,3321
All_Stances,verb_ratio,Q2,10.0,16.0,0.198898,0.1979611045792621,0.0086695814939768,0.5262297761072071,0.4737702238927929,0.0313279237801069,-0.5509190203721336,0.5853679149646253,-0.8089495325832144,3220,2899
All_Stances,std_word_length,Q1,11.0,10.0,0.181042,0.2408028912871867,-0.027480549530493,0.461513319169799,0.538486680830201,0.1043272317177842,0.7100389862542162,-0.6065507775817874,0.83978523498057,2824,3295
