feature,mean_shap_importance,std_shap_importance,num_iterations,iterations_list,coefficient_of_variation,consistency_score
fear,0.715206,0.22404,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.3133,0.715206
anger,0.525114,0.112502,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.2142,0.525114
function_word_ratio,0.483092,0.305845,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.6331,0.483092
verb_ratio,0.456627,0.185183,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.4055,0.456627
disgust,0.453773,0.126124,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.2779,0.453773
surprise,0.44485,0.097207,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.2185,0.44485
noun_ratio,0.417543,0.17948,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.4298,0.417543
std_word_length,0.38082,0.119711,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.3144,0.38082
avg_word_length,0.352032,0.109592,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.3113,0.352032
stopword_ratio,0.343838,0.089886,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.2614,0.343838
joy,0.341407,0.101142,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.2963,0.341407
word_count,0.269271,0.09675,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.3593,0.269271
type_token_ratio,0.2672,0.111016,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.4155,0.2672
readability_score,0.257604,0.064403,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.25,0.257604
adj_ratio,0.254463,0.086817,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.3412,0.254463
sadness,0.245309,0.070456,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.2872,0.245309
punctuation_usage,0.237516,0.072699,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.3061,0.237516
punctuation_density,0.226505,0.062425,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.2756,0.226505
sentiment_subjectivity,0.209834,0.046271,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.2205,0.209834
